"year","hhtyp","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1.46","1","524","1.42","1.5"
"1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1.6","1.5","1926","1.58","1.62"
"1985","1-Pers.- Haushalt","Laendlicher Raum","1.7","1.5","184","1.63","1.77"
"1985","1-Pers.- Haushalt","Staedtischer Raum","1.8","1.5","956","1.78","1.82"
"1985","Alleinerziehende","Laendlicher Raum","1.47","1","152","1.39","1.55"
"1985","Alleinerziehende","Staedtischer Raum","1.71","1.5","596","1.68","1.74"
"1985","Paar mit Kind(ern)","Laendlicher Raum","1.31","1","1989","1.29","1.33"
"1985","Paar mit Kind(ern)","Staedtischer Raum","1.49","1","7350","1.48","1.5"
"1985","Sonstige","Laendlicher Raum","1.15","1","291","1.1","1.2"
"1985","Sonstige","Staedtischer Raum","1.46","1","630","1.42","1.5"
"1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1.46","1","480","1.42","1.5"
"1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1.61","1.5","1930","1.59","1.63"
"1986","1-Pers.- Haushalt","Laendlicher Raum","1.69","1.5","171","1.62","1.76"
"1986","1-Pers.- Haushalt","Staedtischer Raum","1.79","1.5","907","1.76","1.82"
"1986","Alleinerziehende","Laendlicher Raum","1.52","1.5","147","1.44","1.6"
"1986","Alleinerziehende","Staedtischer Raum","1.69","1.5","561","1.65","1.73"
"1986","Paar mit Kind(ern)","Laendlicher Raum","1.31","1","1898","1.29","1.33"
"1986","Paar mit Kind(ern)","Staedtischer Raum","1.5","1","6894","1.49","1.51"
"1986","Sonstige","Laendlicher Raum","1.2","1","298","1.15","1.25"
"1986","Sonstige","Staedtischer Raum","1.47","1","596","1.43","1.51"
"1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1.44","1","494","1.4","1.48"
"1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1.6","1.5","1890","1.58","1.62"
