"year","regtyp","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1985","Laendlicher Raum","Ostdeutschland","","","","",""
"1985","Laendlicher Raum","Westdeutschland","1.38","1","3140","1.36","1.4"
"1985","Staedtischer Raum","Ostdeutschland","","","","",""
"1985","Staedtischer Raum","Westdeutschland","1.57","1.5","11458","1.56","1.58"
"1986","Laendlicher Raum","Ostdeutschland","","","","",""
"1986","Laendlicher Raum","Westdeutschland","1.38","1","2994","1.36","1.4"
"1986","Staedtischer Raum","Ostdeutschland","","","","",""
"1986","Staedtischer Raum","Westdeutschland","1.58","1.5","10888","1.57","1.59"
"1987","Laendlicher Raum","Ostdeutschland","","","","",""
"1987","Laendlicher Raum","Westdeutschland","1.39","1","2939","1.37","1.41"
"1987","Staedtischer Raum","Ostdeutschland","","","","",""
"1987","Staedtischer Raum","Westdeutschland","1.58","1.5","10697","1.57","1.59"
"1988","Laendlicher Raum","Ostdeutschland","","","","",""
"1988","Laendlicher Raum","Westdeutschland","1.41","1","2757","1.39","1.43"
"1988","Staedtischer Raum","Ostdeutschland","","","","",""
"1988","Staedtischer Raum","Westdeutschland","1.58","1.5","10254","1.57","1.59"
"1989","Laendlicher Raum","Ostdeutschland","","","","",""
"1989","Laendlicher Raum","Westdeutschland","1.41","1","2613","1.39","1.43"
"1989","Staedtischer Raum","Ostdeutschland","","","","",""
"1989","Staedtischer Raum","Westdeutschland","1.57","1.5","9972","1.56","1.58"
"1990","Laendlicher Raum","Ostdeutschland","1.59","1.5","3941","1.57","1.61"
"1990","Laendlicher Raum","Westdeutschland","1.4","1","2594","1.38","1.42"
"1990","Staedtischer Raum","Ostdeutschland","1.89","1.5","2011","1.88","1.9"
"1990","Staedtischer Raum","Westdeutschland","1.57","1.5","9838","1.56","1.58"
"1991","Laendlicher Raum","Ostdeutschland","1.6","1.5","3714","1.58","1.62"
"1991","Laendlicher Raum","Westdeutschland","1.4","1","2666","1.38","1.42"
"1991","Staedtischer Raum","Ostdeutschland","1.88","1.5","1821","1.86","1.9"
"1991","Staedtischer Raum","Westdeutschland","1.57","1.5","9805","1.56","1.58"
"1992","Laendlicher Raum","Ostdeutschland","1.6","1.5","3460","1.58","1.62"
"1992","Laendlicher Raum","Westdeutschland","1.41","1","2681","1.39","1.43"
"1992","Staedtischer Raum","Ostdeutschland","1.87","1.5","1782","1.85","1.89"
"1992","Staedtischer Raum","Westdeutschland","1.55","1.5","9740","1.54","1.56"
"1993","Laendlicher Raum","Ostdeutschland","1.59","1.5","3415","1.57","1.61"
"1993","Laendlicher Raum","Westdeutschland","1.42","1","2704","1.4","1.44"
"1993","Staedtischer Raum","Ostdeutschland","1.87","1.5","1752","1.85","1.89"
"1993","Staedtischer Raum","Westdeutschland","1.55","1.5","9656","1.54","1.56"
"1994","Laendlicher Raum","Ostdeutschland","1.59","1.5","3312","1.57","1.61"
"1994","Laendlicher Raum","Westdeutschland","1.39","1","2685","1.37","1.41"
"1994","Staedtischer Raum","Ostdeutschland","1.86","1.5","1720","1.84","1.88"
"1994","Staedtischer Raum","Westdeutschland","1.55","1.5","9416","1.54","1.56"
"1995","Laendlicher Raum","Ostdeutschland","1.59","1.5","3283","1.57","1.61"
"1995","Laendlicher Raum","Westdeutschland","1.41","1","2921","1.39","1.43"
"1995","Staedtischer Raum","Ostdeutschland","1.83","1.5","1578","1.81","1.85"
"1995","Staedtischer Raum","Westdeutschland","1.55","1.5","9930","1.54","1.56"
"1996","Laendlicher Raum","Ostdeutschland","1.57","1.5","3195","1.55","1.59"
"1996","Laendlicher Raum","Westdeutschland","1.39","1","2879","1.37","1.41"
"1996","Staedtischer Raum","Ostdeutschland","1.84","1.5","1602","1.82","1.86"
"1996","Staedtischer Raum","Westdeutschland","1.54","1.5","9663","1.53","1.55"
"1997","Laendlicher Raum","Ostdeutschland","1.56","1.5","3137","1.54","1.58"
"1997","Laendlicher Raum","Westdeutschland","1.38","1","2836","1.36","1.4"
"1997","Staedtischer Raum","Ostdeutschland","1.83","1.5","1546","1.81","1.85"
"1997","Staedtischer Raum","Westdeutschland","1.54","1.5","9487","1.53","1.55"
"1998","Laendlicher Raum","Ostdeutschland","1.55","1.5","3349","1.53","1.57"
"1998","Laendlicher Raum","Westdeutschland","1.35","1","3270","1.33","1.37"
"1998","Staedtischer Raum","Ostdeutschland","1.8","1.5","1585","1.78","1.82"
"1998","Staedtischer Raum","Westdeutschland","1.55","1.5","10552","1.54","1.56"
"1999","Laendlicher Raum","Ostdeutschland","1.55","1.5","3228","1.53","1.57"
"1999","Laendlicher Raum","Westdeutschland","1.35","1","3143","1.33","1.37"
"1999","Staedtischer Raum","Ostdeutschland","1.79","1.5","1543","1.77","1.81"
