"year","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","Ostdeutschland","","","","",""
"1984","Westdeutschland","1.53","1.5","16176","1.52","1.54"
"1985","Ostdeutschland","","","","",""
"1985","Westdeutschland","1.53","1.5","14598","1.52","1.54"
"1986","Ostdeutschland","","","","",""
"1986","Westdeutschland","1.53","1.5","13882","1.52","1.54"
"1987","Ostdeutschland","","","","",""
"1987","Westdeutschland","1.53","1.5","13636","1.52","1.54"
"1988","Ostdeutschland","","","","",""
"1988","Westdeutschland","1.54","1.5","13011","1.53","1.55"
"1989","Ostdeutschland","","","","",""
"1989","Westdeutschland","1.53","1.5","12585","1.52","1.54"
"1990","Ostdeutschland","1.7","1.5","6082","1.69","1.71"
"1990","Westdeutschland","1.53","1.5","12432","1.52","1.54"
"1991","Ostdeutschland","1.7","1.5","5667","1.69","1.71"
"1991","Westdeutschland","1.53","1.5","12474","1.52","1.54"
"1992","Ostdeutschland","1.71","1.5","5401","1.7","1.72"
"1992","Westdeutschland","1.52","1.5","12441","1.51","1.53"
"1993","Ostdeutschland","1.69","1.5","5167","1.68","1.7"
"1993","Westdeutschland","1.52","1.5","12360","1.51","1.53"
"1994","Ostdeutschland","1.69","1.5","5032","1.68","1.7"
"1994","Westdeutschland","1.51","1.5","12101","1.5","1.52"
"1995","Ostdeutschland","1.67","1.5","4861","1.66","1.68"
"1995","Westdeutschland","1.51","1.5","12851","1.5","1.52"
"1996","Ostdeutschland","1.67","1.5","4797","1.66","1.68"
"1996","Westdeutschland","1.5","1.5","12542","1.49","1.51"
"1997","Ostdeutschland","1.65","1.5","4683","1.64","1.66"
"1997","Westdeutschland","1.5","1","12324","1.49","1.51"
"1998","Ostdeutschland","1.63","1.5","4934","1.62","1.64"
"1998","Westdeutschland","1.5","1.5","13822","1.49","1.51"
"1999","Ostdeutschland","1.63","1.5","4771","1.62","1.64"
"1999","Westdeutschland","1.49","1","13217","1.48","1.5"
"2000","Ostdeutschland","1.61","1.5","7357","1.6","1.62"
"2000","Westdeutschland","1.5","1.5","24450","1.49","1.51"
"2001","Ostdeutschland","1.6","1.5","6738","1.59","1.61"
"2001","Westdeutschland","1.5","1","21990","1.49","1.51"
"2002","Ostdeutschland","1.6","1.5","6704","1.59","1.61"
"2002","Westdeutschland","1.49","1","23412","1.48","1.5"
"2003","Ostdeutschland","1.6","1.5","6547","1.59","1.61"
"2003","Westdeutschland","1.5","1","22245","1.49","1.51"
"2004","Ostdeutschland","1.61","1.5","6378","1.6","1.62"
"2004","Westdeutschland","1.5","1.5","21553","1.49","1.51"
"2005","Ostdeutschland","1.61","1.5","6150","1.6","1.62"
"2005","Westdeutschland","1.51","1.5","20555","1.5","1.52"
"2006","Ostdeutschland","1.61","1.5","6539","1.6","1.62"
"2006","Westdeutschland","1.51","1.5","22125","1.5","1.52"
"2007","Ostdeutschland","1.6","1.5","6124","1.59","1.61"
"2007","Westdeutschland","1.5","1.5","20494","1.49","1.51"
"2008","Ostdeutschland","1.59","1.5","5821","1.58","1.6"
"2008","Westdeutschland","1.49","1","19056","1.48","1.5"
"2009","Ostdeutschland","1.58","1.5","5582","1.57","1.59"
"2009","Westdeutschland","1.48","1","17639","1.47","1.49"
"2010","Ostdeutschland","1.57","1.5","7930","1.56","1.58"
"2010","Westdeutschland","1.47","1","29538","1.46","1.48"
"2011","Ostdeutschland","1.59","1.5","9146","1.58","1.6"
"2011","Westdeutschland","1.46","1","34855","1.45","1.47"
"2012","Ostdeutschland","1.59","1.5","8870","1.58","1.6"
"2012","Westdeutschland","1.46","1","33536","1.45","1.47"
"2013","Ostdeutschland","1.58","1.5","8836","1.57","1.59"
"2013","Westdeutschland","1.48","1","38829","1.48","1.48"
"2014","Ostdeutschland","1.6","1.5","8022","1.59","1.61"
"2014","Westdeutschland","1.47","1","33485","1.46","1.48"
"2015","Ostdeutschland","1.59","1.5","7723","1.58","1.6"
"2015","Westdeutschland","1.47","1","33329","1.46","1.48"
"2016","Ostdeutschland","1.58","1.5","7155","1.57","1.59"
"2016","Westdeutschland","1.47","1","29634","1.46","1.48"
"2017","Ostdeutschland","1.57","1.5","9111","1.56","1.58"
"2017","Westdeutschland","1.47","1","37963","1.47","1.47"
"2018","Ostdeutschland","1.57","1.5","9170","1.56","1.58"
"2018","Westdeutschland","1.47","1","38973","1.47","1.47"
"2019","Ostdeutschland","1.55","1.5","9468","1.54","1.56"
"2019","Westdeutschland","1.47","1","39095","1.47","1.47"
"2020","Ostdeutschland","1.57","1.5","9140","1.56","1.58"
"2020","Westdeutschland","1.47","1","40791","1.47","1.47"
