"year","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","1.65","1.5","7105","1.64","1.66"
"1995","2","1.53","1.5","4950","1.52","1.54"
"1995","3","1.49","1","3017","1.47","1.51"
"1995","4","1.48","1","1795","1.46","1.5"
"1995","5 Einkommensstärkstes Quintil","1.31","1","845","1.28","1.34"
"1996","1 Einkommensschwächstes Quintil","1.64","1.5","6374","1.63","1.65"
"1996","2","1.55","1.5","4936","1.54","1.56"
"1996","3","1.48","1","3156","1.46","1.5"
"1996","4","1.44","1","1901","1.42","1.46"
"1996","5 Einkommensstärkstes Quintil","1.35","1","972","1.32","1.38"
"1997","1 Einkommensschwächstes Quintil","1.63","1.5","5987","1.62","1.64"
"1997","2","1.54","1.5","4827","1.53","1.55"
"1997","3","1.49","1","3291","1.47","1.51"
"1997","4","1.43","1","1935","1.41","1.45"
"1997","5 Einkommensstärkstes Quintil","1.33","1","967","1.3","1.36"
"1998","1 Einkommensschwächstes Quintil","1.63","1.5","6439","1.62","1.64"
"1998","2","1.54","1.5","5174","1.53","1.55"
"1998","3","1.49","1","3597","1.47","1.51"
"1998","4","1.43","1","2383","1.41","1.45"
"1998","5 Einkommensstärkstes Quintil","1.33","1","1163","1.3","1.36"
"1999","1 Einkommensschwächstes Quintil","1.66","1.5","5258","1.65","1.67"
"1999","2","1.54","1.5","5303","1.53","1.55"
"1999","3","1.45","1","3663","1.43","1.47"
"1999","4","1.45","1","2438","1.43","1.47"
"1999","5 Einkommensstärkstes Quintil","1.31","1","1326","1.28","1.34"
"2000","1 Einkommensschwächstes Quintil","1.66","1.5","8689","1.65","1.67"
"2000","2","1.54","1.5","8714","1.53","1.55"
"2000","3","1.47","1","6738","1.46","1.48"
"2000","4","1.44","1","4752","1.43","1.45"
"2000","5 Einkommensstärkstes Quintil","1.37","1","2914","1.35","1.39"
"2001","1 Einkommensschwächstes Quintil","1.66","1.5","7277","1.65","1.67"
"2001","2","1.54","1.5","7647","1.53","1.55"
"2001","3","1.46","1","6305","1.45","1.47"
"2001","4","1.46","1","4636","1.45","1.47"
"2001","5 Einkommensstärkstes Quintil","1.35","1","2863","1.33","1.37"
"2002","1 Einkommensschwächstes Quintil","1.65","1.5","6246","1.64","1.66"
"2002","2","1.53","1.5","6580","1.52","1.54"
"2002","3","1.48","1","5965","1.47","1.49"
"2002","4","1.45","1","5859","1.44","1.46"
"2002","5 Einkommensstärkstes Quintil","1.35","1","5466","1.34","1.36"
"2003","1 Einkommensschwächstes Quintil","1.69","1.5","5780","1.68","1.7"
"2003","2","1.54","1.5","6126","1.53","1.55"
"2003","3","1.47","1","6132","1.46","1.48"
"2003","4","1.44","1","5838","1.43","1.45"
"2003","5 Einkommensstärkstes Quintil","1.35","1","4916","1.34","1.36"
"2004","1 Einkommensschwächstes Quintil","1.68","1.5","5565","1.67","1.69"
"2004","2","1.55","1.5","5923","1.54","1.56"
"2004","3","1.48","1","5887","1.47","1.49"
"2004","4","1.45","1","5687","1.44","1.46"
"2004","5 Einkommensstärkstes Quintil","1.36","1","4869","1.35","1.37"
"2005","1 Einkommensschwächstes Quintil","1.67","1.5","5387","1.66","1.68"
"2005","2","1.55","1.5","5494","1.54","1.56"
"2005","3","1.51","1.5","5538","1.5","1.52"
"2005","4","1.43","1","5455","1.42","1.44"
"2005","5 Einkommensstärkstes Quintil","1.39","1","4831","1.38","1.4"
"2006","1 Einkommensschwächstes Quintil","1.71","1.5","5718","1.7","1.72"
"2006","2","1.55","1.5","5929","1.54","1.56"
"2006","3","1.49","1","5913","1.48","1.5"
"2006","4","1.45","1","6055","1.44","1.46"
"2006","5 Einkommensstärkstes Quintil","1.37","1","5049","1.36","1.38"
"2007","1 Einkommensschwächstes Quintil","1.71","1.5","4896","1.7","1.72"
"2007","2","1.56","1.5","5413","1.55","1.57"
"2007","3","1.48","1","5605","1.47","1.49"
"2007","4","1.44","1","5736","1.43","1.45"
"2007","5 Einkommensstärkstes Quintil","1.36","1","4965","1.35","1.37"
"2008","1 Einkommensschwächstes Quintil","1.69","1.5","4284","1.68","1.7"
"2008","2","1.57","1.5","4676","1.56","1.58"
"2008","3","1.46","1","5399","1.45","1.47"
"2008","4","1.43","1","5548","1.42","1.44"
"2008","5 Einkommensstärkstes Quintil","1.34","1","4970","1.33","1.35"
"2009","1 Einkommensschwächstes Quintil","1.7","1.5","3778","1.69","1.71"
"2009","2","1.56","1.5","4308","1.55","1.57"
"2009","3","1.46","1","4874","1.45","1.47"
"2009","4","1.4","1","5353","1.39","1.41"
"2009","5 Einkommensstärkstes Quintil","1.37","1","4908","1.36","1.38"
"2010","1 Einkommensschwächstes Quintil","1.72","1.5","8133","1.71","1.73"
"2010","2","1.56","1.5","8359","1.55","1.57"
"2010","3","1.45","1","7221","1.44","1.46"
"2010","4","1.41","1","7305","1.4","1.42"
"2010","5 Einkommensstärkstes Quintil","1.35","1","6450","1.34","1.36"
"2011","1 Einkommensschwächstes Quintil","1.72","1.5","8577","1.71","1.73"
"2011","2","1.56","1.5","9269","1.55","1.57"
"2011","3","1.47","1","8745","1.46","1.48"
"2011","4","1.4","1","9296","1.39","1.41"
"2011","5 Einkommensstärkstes Quintil","1.35","1","8114","1.34","1.36"
"2012","1 Einkommensschwächstes Quintil","1.74","1.5","7137","1.73","1.75"
"2012","2","1.57","1.5","8571","1.56","1.58"
"2012","3","1.46","1","8842","1.45","1.47"
"2012","4","1.42","1","9321","1.41","1.43"
"2012","5 Einkommensstärkstes Quintil","1.35","1","8534","1.34","1.36"
"2013","1 Einkommensschwächstes Quintil","1.75","1.5","8781","1.74","1.76"
"2013","2","1.6","1.5","9619","1.59","1.61"
"2013","3","1.48","1","9346","1.47","1.49"
"2013","4","1.41","1","10558","1.4","1.42"
"2013","5 Einkommensstärkstes Quintil","1.35","1","9360","1.34","1.36"
"2014","1 Einkommensschwächstes Quintil","1.76","1.5","6541","1.75","1.77"
"2014","2","1.61","1.5","7845","1.6","1.62"
"2014","3","1.48","1","8242","1.47","1.49"
"2014","4","1.42","1","9637","1.41","1.43"
"2014","5 Einkommensstärkstes Quintil","1.35","1","9242","1.34","1.36"
"2015","1 Einkommensschwächstes Quintil","1.77","1.5","6567","1.76","1.78"
"2015","2","1.64","1.5","7217","1.63","1.65"
"2015","3","1.49","1","7978","1.48","1.5"
"2015","4","1.42","1","9548","1.41","1.43"
"2015","5 Einkommensstärkstes Quintil","1.35","1","9740","1.34","1.36"
"2016","1 Einkommensschwächstes Quintil","1.78","1.5","4996","1.77","1.79"
"2016","2","1.65","1.5","6183","1.64","1.66"
"2016","3","1.5","1","6807","1.49","1.51"
"2016","4","1.42","1","9264","1.41","1.43"
"2016","5 Einkommensstärkstes Quintil","1.36","1","9539","1.35","1.37"
"2017","1 Einkommensschwächstes Quintil","1.79","1.5","11246","1.79","1.79"
"2017","2","1.67","1.5","6448","1.66","1.68"
"2017","3","1.52","1.5","7356","1.51","1.53"
"2017","4","1.41","1","10181","1.4","1.42"
"2017","5 Einkommensstärkstes Quintil","1.35","1","11843","1.34","1.36"
"2018","1 Einkommensschwächstes Quintil","1.81","1.5","12279","1.81","1.81"
"2018","2","1.71","1.5","6324","1.7","1.72"
"2018","3","1.55","1.5","7085","1.54","1.56"
"2018","4","1.43","1","10370","1.42","1.44"
"2018","5 Einkommensstärkstes Quintil","1.34","1","12085","1.33","1.35"
"2019","1 Einkommensschwächstes Quintil","1.81","1.5","10048","1.81","1.81"
"2019","2","1.68","1.5","5947","1.67","1.69"
"2019","3","1.55","1.5","6293","1.54","1.56"
"2019","4","1.46","1","10227","1.45","1.47"
"2019","5 Einkommensstärkstes Quintil","1.34","1","16141","1.33","1.35"
"2020","1 Einkommensschwächstes Quintil","1.83","1.5","9756","1.83","1.83"
"2020","2","1.71","1.5","7350","1.7","1.72"
"2020","3","1.59","1.5","6491","1.58","1.6"
"2020","4","1.43","1","10550","1.42","1.44"
"2020","5 Einkommensstärkstes Quintil","1.37","1","15784","1.36","1.38"
