year,regtyp,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,Daily,0.05174,588,7457,0.04671,0.05677
1990,Urban regions,At least once per week,0.27518,2864,7457,0.26505,0.28532
1990,Urban regions,At least once per month,0.22798,2082,7457,0.21845,0.23750
1990,Urban regions,Seldom,0.16782,1606,7457,0.15934,0.17631
1990,Urban regions,Never,0.02211,317,7457,0.01877,0.02545
1990,Rural regions,Daily,0.03065,125,1962,0.02303,0.03828
1990,Rural regions,At least once per week,0.15370,657,1962,0.13774,0.16966
1990,Rural regions,At least once per month,0.16495,644,1962,0.14853,0.18138
1990,Rural regions,Seldom,0.12028,475,1962,0.10588,0.13467
1990,Rural regions,Never,0.01080,61,1962,0.00623,0.01538
1995,Urban regions,Daily,0.06166,735,8670,0.05660,0.06672
1995,Urban regions,At least once per week,0.31336,3552,8670,0.30360,0.32313
1995,Urban regions,At least once per month,0.24019,2412,8670,0.23120,0.24919
1995,Urban regions,Seldom,0.17829,1679,8670,0.17023,0.18635
1995,Urban regions,Never,0.02710,292,8670,0.02369,0.03052
1995,Rural regions,Daily,0.06304,348,4541,0.05597,0.07011
1995,Rural regions,At least once per week,0.31191,1779,4541,0.29843,0.32539
1995,Rural regions,At least once per month,0.24823,1419,4541,0.23567,0.26080
1995,Rural regions,Seldom,0.16541,890,4541,0.15461,0.17622
1995,Rural regions,Never,0.01751,105,4541,0.01370,0.02133
1998,Urban regions,Daily,0.06816,871,9207,0.06301,0.07331
1998,Urban regions,At least once per week,0.32857,3850,9207,0.31898,0.33817
1998,Urban regions,At least once per month,0.23726,2588,9207,0.22857,0.24595
1998,Urban regions,Seldom,0.17113,1709,9207,0.16343,0.17882
1998,Urban regions,Never,0.01890,189,9207,0.01611,0.02168
1998,Rural regions,Daily,0.06585,403,4946,0.05894,0.07277
1998,Rural regions,At least once per week,0.31812,1981,4946,0.30514,0.33110
1998,Rural regions,At least once per month,0.25513,1577,4946,0.24298,0.26728
1998,Rural regions,Seldom,0.15800,928,4946,0.14783,0.16816
1998,Rural regions,Never,0.01293,57,4946,0.00978,0.01608
2003,Urban regions,Daily,0.05680,1026,14638,0.05305,0.06055
2003,Urban regions,At least once per week,0.32438,5815,14638,0.31680,0.33197
2003,Urban regions,At least once per month,0.24223,4468,14638,0.23529,0.24917
2003,Urban regions,Seldom,0.17083,2926,14638,0.16473,0.17693
2003,Urban regions,Never,0.03087,403,14638,0.02807,0.03367
2003,Rural regions,Daily,0.06641,567,7400,0.06073,0.07208
2003,Rural regions,At least once per week,0.32560,2900,7400,0.31492,0.33628
2003,Rural regions,At least once per month,0.25486,2339,7400,0.24493,0.26479
2003,Rural regions,Seldom,0.16689,1464,7400,0.15839,0.17538
2003,Rural regions,Never,0.01830,130,7400,0.01524,0.02135
2008,Urban regions,Daily,0.06417,984,12610,0.05989,0.06845
2008,Urban regions,At least once per week,0.30940,4770,12610,0.30133,0.31747
2008,Urban regions,At least once per month,0.24339,3852,12610,0.23590,0.25088
2008,Urban regions,Seldom,0.18927,2721,12610,0.18243,0.19611
2008,Urban regions,Never,0.02675,283,12610,0.02393,0.02957
2008,Rural regions,Daily,0.06673,571,6624,0.06072,0.07274
2008,Rural regions,At least once per week,0.32491,2552,6624,0.31363,0.33619
2008,Rural regions,At least once per month,0.25753,2032,6624,0.24700,0.26806
2008,Rural regions,Seldom,0.17339,1333,6624,0.16427,0.18251
2008,Rural regions,Never,0.01939,136,6624,0.01606,0.02271
2013,Urban regions,Daily,0.05397,1192,16132,0.05048,0.05746
2013,Urban regions,At least once per week,0.26284,6075,16132,0.25605,0.26963
2013,Urban regions,At least once per month,0.22594,4948,16132,0.21949,0.23239
2013,Urban regions,Seldom,0.17552,3471,16132,0.16965,0.18140
2013,Urban regions,Never,0.02557,446,16132,0.02313,0.02800
2013,Rural regions,Daily,0.06856,844,9289,0.06342,0.07370
2013,Rural regions,At least once per week,0.29500,3589,9289,0.28572,0.30427
2013,Rural regions,At least once per month,0.24381,2773,9289,0.23508,0.25255
2013,Rural regions,Seldom,0.16498,1859,9289,0.15743,0.17253
2013,Rural regions,Never,0.02378,224,9289,0.02068,0.02688
2019,Urban regions,Daily,0.05196,1050,16323,0.04855,0.05536
2019,Urban regions,At least once per week,0.29157,5940,16323,0.28460,0.29854
2019,Urban regions,At least once per month,0.25357,5058,16323,0.24690,0.26025
2019,Urban regions,Seldom,0.19651,3680,16323,0.19042,0.20261
2019,Urban regions,Never,0.03339,595,16323,0.03063,0.03615
2019,Rural regions,Daily,0.06735,704,8775,0.06211,0.07259
2019,Rural regions,At least once per week,0.31669,3354,8775,0.30696,0.32643
2019,Rural regions,At least once per month,0.23882,2644,8775,0.22990,0.24774
2019,Rural regions,Seldom,0.18370,1815,8775,0.17560,0.19180
2019,Rural regions,Never,0.02360,258,8775,0.02042,0.02677
2021,Urban regions,Daily,0.06104,746,11384,0.05664,0.06544
2021,Urban regions,At least once per week,0.31790,4388,11384,0.30934,0.32645
2021,Urban regions,At least once per month,0.23647,3200,11384,0.22866,0.24427
2021,Urban regions,Seldom,0.17451,2574,11384,0.16754,0.18148
2021,Urban regions,Never,0.02882,476,11384,0.02574,0.03189
2021,Rural regions,Daily,0.09165,579,5796,0.08422,0.09908
2021,Rural regions,At least once per week,0.33969,2423,5796,0.32749,0.35188
2021,Rural regions,At least once per month,0.22153,1536,5796,0.21084,0.23222
2021,Rural regions,Seldom,0.16028,1127,5796,0.15083,0.16972
2021,Rural regions,Never,0.01704,131,5796,0.01371,0.02037
