year,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Daily,0.04486,713,9419,0.04068,0.04904
1990,At least once per week,0.23563,3521,9419,0.22706,0.24420
1990,At least once per month,0.20711,2726,9419,0.19893,0.21530
1990,Seldom,0.15210,2081,9419,0.14485,0.15935
1990,Never,0.01844,378,9419,0.01572,0.02116
1995,Daily,0.06210,1083,13211,0.05799,0.06622
1995,At least once per week,0.31290,5331,13211,0.30499,0.32080
1995,At least once per month,0.24277,3831,13211,0.23546,0.25008
1995,Seldom,0.17417,2569,13211,0.16770,0.18063
1995,Never,0.02403,397,13211,0.02142,0.02664
1998,Daily,0.06743,1274,14153,0.06329,0.07156
1998,At least once per week,0.32526,5831,14153,0.31754,0.33297
1998,At least once per month,0.24293,4165,14153,0.23587,0.25000
1998,Seldom,0.16696,2637,14153,0.16082,0.17311
1998,Never,0.01700,246,14153,0.01487,0.01913
2003,Daily,0.05985,1593,22038,0.05671,0.06298
2003,At least once per week,0.32477,8715,22038,0.31859,0.33095
2003,At least once per month,0.24623,6807,22038,0.24055,0.25192
2003,Seldom,0.16958,4390,22038,0.16463,0.17453
2003,Never,0.02688,533,22038,0.02475,0.02902
2008,Daily,0.06499,1555,19234,0.06150,0.06847
2008,At least once per week,0.31435,7322,19234,0.30779,0.32091
2008,At least once per month,0.24790,5884,19234,0.24180,0.25400
2008,Seldom,0.18421,4054,19234,0.17873,0.18968
2008,Never,0.02440,419,19234,0.02222,0.02658
2013,Daily,0.05873,2036,25421,0.05584,0.06162
2013,At least once per week,0.27332,9664,25421,0.26784,0.27880
2013,At least once per month,0.23177,7721,25421,0.22658,0.23696
2013,Seldom,0.17209,5330,25421,0.16745,0.17673
2013,Never,0.02499,670,25421,0.02307,0.02690
2019,Daily,0.05663,1780,25652,0.05380,0.05946
2019,At least once per week,0.29787,9435,25652,0.29227,0.30346
2019,At least once per month,0.24908,7858,25652,0.24378,0.25437
2019,Seldom,0.19378,5683,25652,0.18894,0.19862
2019,Never,0.03100,896,25652,0.02888,0.03312
2021,Daily,0.07079,1325,17181,0.06695,0.07462
2021,At least once per week,0.32499,6812,17181,0.31798,0.33199
2021,At least once per month,0.23166,4736,17181,0.22535,0.23796
2021,Seldom,0.16994,3701,17181,0.16432,0.17555
2021,Never,0.02506,607,17181,0.02272,0.02739
