year,sampreg,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,Daily,0.05659,713,9419,0.05193,0.06126
1990,West,At least once per week,0.29726,3521,9419,0.28803,0.30650
1990,West,At least once per month,0.26129,2726,9419,0.25242,0.27016
1990,West,Seldom,0.19189,2081,9419,0.18393,0.19984
1990,West,Never,0.02327,378,9419,0.02022,0.02631
1995,West,Daily,0.06258,830,9539,0.05771,0.06744
1995,West,At least once per week,0.30495,3851,9539,0.29571,0.31419
1995,West,At least once per month,0.24102,2633,9539,0.23244,0.24961
1995,West,Seldom,0.18089,1897,9539,0.17317,0.18862
1995,West,Never,0.02556,328,9539,0.02239,0.02872
1995,East,Daily,0.06013,253,3672,0.05244,0.06782
1995,East,At least once per week,0.34611,1480,3672,0.33072,0.36150
1995,East,At least once per month,0.25006,1198,3672,0.23605,0.26407
1995,East,Seldom,0.14605,672,3672,0.13463,0.15748
1995,East,Never,0.01766,69,3672,0.01340,0.02192
1998,West,Daily,0.06892,993,10297,0.06403,0.07381
1998,West,At least once per week,0.32404,4335,10297,0.31500,0.33308
1998,West,At least once per month,0.23102,2768,10297,0.22288,0.23916
1998,West,Seldom,0.17411,1995,10297,0.16678,0.18143
1998,West,Never,0.01808,206,10297,0.01550,0.02065
1998,East,Daily,0.06104,281,3856,0.05348,0.06860
1998,East,At least once per week,0.33046,1496,3856,0.31561,0.34531
1998,East,At least once per month,0.29387,1397,3856,0.27949,0.30825
1998,East,Seldom,0.13640,642,3856,0.12556,0.14723
1998,East,Never,0.01241,40,3856,0.00892,0.01591
2003,West,Daily,0.05898,1215,16719,0.05541,0.06255
2003,West,At least once per week,0.32263,6654,16719,0.31555,0.32972
2003,West,At least once per month,0.23753,4974,16719,0.23107,0.24398
2003,West,Seldom,0.17141,3429,16719,0.16570,0.17712
2003,West,Never,0.02855,447,16719,0.02602,0.03107
2003,East,Daily,0.06377,378,5319,0.05721,0.07034
2003,East,At least once per week,0.33443,2061,5319,0.32175,0.34711
2003,East,At least once per month,0.28562,1833,5319,0.27348,0.29776
2003,East,Seldom,0.16129,961,5319,0.15141,0.17118
2003,East,Never,0.01935,86,5319,0.01565,0.02306
2008,West,Daily,0.06421,1183,14480,0.06022,0.06820
2008,West,At least once per week,0.31184,5527,14480,0.30429,0.31938
2008,West,At least once per month,0.24042,4299,14480,0.23346,0.24738
2008,West,Seldom,0.18596,3134,14480,0.17962,0.19230
2008,West,Never,0.02532,337,14480,0.02276,0.02788
2008,East,Daily,0.06856,372,4754,0.06138,0.07575
2008,East,At least once per week,0.32588,1795,4754,0.31256,0.33921
2008,East,At least once per month,0.28232,1585,4754,0.26952,0.29511
2008,East,Seldom,0.17614,920,4754,0.16531,0.18697
2008,East,Never,0.02019,82,4754,0.01619,0.02418
2013,West,Daily,0.05662,1565,19722,0.05339,0.05984
2013,West,At least once per week,0.26749,7531,19722,0.26131,0.27366
2013,West,At least once per month,0.22208,5834,19722,0.21628,0.22788
2013,West,Seldom,0.17279,4249,19722,0.16751,0.17806
2013,West,Never,0.02590,543,19722,0.02368,0.02811
2013,East,Daily,0.06866,471,5699,0.06210,0.07523
2013,East,At least once per week,0.30084,2133,5699,0.28893,0.31275
2013,East,At least once per month,0.27745,1887,5699,0.26582,0.28907
2013,East,Seldom,0.16879,1081,5699,0.15906,0.17852
2013,East,Never,0.02068,127,5699,0.01699,0.02438
2019,West,Daily,0.05628,1379,20053,0.05309,0.05947
2019,West,At least once per week,0.29715,7423,20053,0.29083,0.30348
2019,West,At least once per month,0.24749,6036,20053,0.24152,0.25347
2019,West,Seldom,0.19379,4483,20053,0.18832,0.19926
2019,West,Never,0.03155,732,20053,0.02913,0.03397
2019,East,Daily,0.05880,401,5523,0.05260,0.06501
2019,East,At least once per week,0.30249,2001,5523,0.29037,0.31460
2019,East,At least once per month,0.25672,1800,5523,0.24520,0.26824
2019,East,Seldom,0.19240,1164,5523,0.18201,0.20280
2019,East,Never,0.02786,157,5523,0.02352,0.03220
2021,West,Daily,0.07005,1011,13564,0.06576,0.07435
2021,West,At least once per week,0.32170,5314,13564,0.31384,0.32956
2021,West,At least once per month,0.22894,3689,13564,0.22187,0.23601
2021,West,Seldom,0.17370,3032,13564,0.16732,0.18008
2021,West,Never,0.02653,518,13564,0.02383,0.02924
2021,East,Daily,0.07439,314,3617,0.06584,0.08295
2021,East,At least once per week,0.34109,1498,3617,0.32563,0.35654
2021,East,At least once per month,0.24497,1047,3617,0.23095,0.25899
2021,East,Seldom,0.15148,669,3617,0.13980,0.16317
2021,East,Never,0.01781,89,3617,0.01350,0.02212
