year,age_gr,migback,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,Daily,0.05414,133,1754,0.04355,0.06473
1990,17-29 y.,No migration background,At least once per week,0.28489,659,1754,0.26376,0.30602
1990,17-29 y.,No migration background,At least once per month,0.24216,546,1754,0.22211,0.26222
1990,17-29 y.,No migration background,Seldom,0.16569,377,1754,0.14828,0.18309
1990,17-29 y.,No migration background,Never,0.01771,39,1754,0.01153,0.02388
1990,17-29 y.,Direct migration background,Daily,0.10244,98,692,0.07983,0.12505
1990,17-29 y.,Direct migration background,At least once per week,0.42444,320,692,0.38759,0.46129
1990,17-29 y.,Direct migration background,At least once per month,0.18858,107,692,0.15941,0.21775
1990,17-29 y.,Direct migration background,Seldom,0.20093,117,692,0.17105,0.23081
1990,17-29 y.,Direct migration background,Never,0.05516,50,692,0.03814,0.07218
1990,17-29 y.,Indirect migration background,At least once per week,0.33050,111,214,0.26733,0.39367
1990,17-29 y.,Indirect migration background,At least once per month,0.23813,50,214,0.18093,0.29533
1990,17-29 y.,Indirect migration background,Seldom,0.23744,53,214,0.18029,0.29458
1990,30-45 y.,No migration background,Daily,0.03117,79,1904,0.02337,0.03898
1990,30-45 y.,No migration background,At least once per week,0.29742,729,1904,0.27688,0.31795
1990,30-45 y.,No migration background,At least once per month,0.26211,651,1904,0.24235,0.28187
1990,30-45 y.,No migration background,Seldom,0.18119,445,1904,0.16388,0.19850
1990,30-45 y.,Direct migration background,Daily,0.05592,52,839,0.04037,0.07148
1990,30-45 y.,Direct migration background,At least once per week,0.34738,334,839,0.31514,0.37962
1990,30-45 y.,Direct migration background,At least once per month,0.23723,192,839,0.20843,0.26603
1990,30-45 y.,Direct migration background,Seldom,0.21398,168,839,0.18621,0.24174
1990,30-45 y.,Direct migration background,Never,0.09756,93,839,0.07747,0.11765
1990,46-65 y.,No migration background,Daily,0.04714,125,1986,0.03782,0.05646
1990,46-65 y.,No migration background,At least once per week,0.25738,645,1986,0.23815,0.27662
1990,46-65 y.,No migration background,At least once per month,0.26904,693,1986,0.24953,0.28855
1990,46-65 y.,No migration background,Seldom,0.19498,488,1986,0.17755,0.21241
1990,46-65 y.,No migration background,Never,0.01511,35,1986,0.00975,0.02048
1990,46-65 y.,Direct migration background,Daily,0.07943,95,903,0.06178,0.09707
1990,46-65 y.,Direct migration background,At least once per week,0.30096,341,903,0.27103,0.33089
1990,46-65 y.,Direct migration background,At least once per month,0.20484,168,903,0.17850,0.23118
1990,46-65 y.,Direct migration background,Seldom,0.24203,213,903,0.21408,0.26998
1990,46-65 y.,Direct migration background,Never,0.07205,86,903,0.05518,0.08893
1990,66 and older,No migration background,Daily,0.08712,94,950,0.06917,0.10506
1990,66 and older,No migration background,At least once per week,0.28324,329,950,0.25457,0.31191
1990,66 and older,No migration background,At least once per month,0.23978,290,950,0.21261,0.26694
1990,66 and older,No migration background,Seldom,0.17548,200,950,0.15127,0.19968
1990,66 and older,No migration background,Never,0.03268,37,950,0.02137,0.04399
1990,66 and older,Direct migration background,At least once per week,0.34907,37,37,0.19336,0.50479
1995,17-29 y.,No migration background,Daily,0.07232,178,2290,0.06171,0.08293
1995,17-29 y.,No migration background,At least once per week,0.39053,919,2290,0.37054,0.41052
1995,17-29 y.,No migration background,At least once per month,0.29814,681,2290,0.27940,0.31688
1995,17-29 y.,No migration background,Seldom,0.20723,467,2290,0.19063,0.22384
1995,17-29 y.,No migration background,Never,0.02250,45,2290,0.01642,0.02857
1995,17-29 y.,Direct migration background,Daily,0.14015,86,602,0.11240,0.16791
1995,17-29 y.,Direct migration background,At least once per week,0.41814,307,602,0.37871,0.45758
1995,17-29 y.,Direct migration background,At least once per month,0.21463,113,602,0.18180,0.24745
1995,17-29 y.,Direct migration background,Seldom,0.14316,63,602,0.11516,0.17116
1995,17-29 y.,Direct migration background,Never,0.08019,33,602,0.05847,0.10190
1995,17-29 y.,Indirect migration background,Daily,0.10020,54,440,0.07211,0.12829
1995,17-29 y.,Indirect migration background,At least once per week,0.35106,194,440,0.30641,0.39571
