year,pgisced97,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,At least once per week,0.18087,39,137,0.11618,0.24556
1990,Pre-primary Level,At least once per month,0.35339,55,137,0.27305,0.43374
1990,Pre-primary Level,Seldom,0.28531,43,137,0.20942,0.36121
1990,Primary Level,Daily,0.10919,78,627,0.08476,0.13363
1990,Primary Level,At least once per week,0.36391,265,627,0.32622,0.40160
1990,Primary Level,At least once per month,0.18581,115,627,0.15534,0.21628
1990,Primary Level,Seldom,0.19230,106,627,0.16142,0.22317
1990,Primary Level,Never,0.10133,63,627,0.07769,0.12496
1990,Lower Secondary Level,Daily,0.08892,247,2450,0.07765,0.10020
1990,Lower Secondary Level,At least once per week,0.31907,946,2450,0.30061,0.33753
1990,Lower Secondary Level,At least once per month,0.25927,645,2450,0.24192,0.27663
1990,Lower Secondary Level,Seldom,0.17488,480,2450,0.15983,0.18992
1990,Lower Secondary Level,Never,0.03142,132,2450,0.02451,0.03833
1990,Upper Secondary Level,Daily,0.04828,306,4525,0.04204,0.05453
1990,Upper Secondary Level,At least once per week,0.29022,1720,4525,0.27699,0.30344
1990,Upper Secondary Level,At least once per month,0.25112,1378,4525,0.23849,0.26376
1990,Upper Secondary Level,Seldom,0.18020,992,4525,0.16900,0.19140
1990,Upper Secondary Level,Never,0.01800,129,4525,0.01412,0.02187
1990,Post-secondary Non-tertiary Level,At least once per week,0.30817,106,269,0.25289,0.36346
1990,Post-secondary Non-tertiary Level,At least once per month,0.31196,90,269,0.25649,0.36742
1990,Post-secondary Non-tertiary Level,Seldom,0.20920,73,269,0.16050,0.25790
1990,First Stage of Tertiary Education,At least once per week,0.25636,161,477,0.21714,0.29559
1990,First Stage of Tertiary Education,At least once per month,0.28451,187,477,0.24398,0.32504
1990,First Stage of Tertiary Education,Seldom,0.21369,129,477,0.17686,0.25051
1990,Second Stage of Tertiary Education,At least once per week,0.20403,216,664,0.17335,0.23471
1990,Second Stage of Tertiary Education,At least once per month,0.20518,227,664,0.17444,0.23592
1990,Second Stage of Tertiary Education,Seldom,0.18869,221,664,0.15891,0.21847
1995,Pre-primary Level,At least once per week,0.30338,88,256,0.24695,0.35980
1995,Pre-primary Level,At least once per month,0.33815,99,256,0.28008,0.39621
1995,Pre-primary Level,Seldom,0.26730,69,256,0.21298,0.32162
