year,sex,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,Daily,0.03208,271,4647,0.02701,0.03714
1990,male,At least once per week,0.22209,1676,4647,0.21014,0.23405
1990,male,At least once per month,0.21097,1368,4647,0.19924,0.22271
1990,male,Seldom,0.16723,1124,4647,0.15650,0.17796
1990,male,Never,0.01963,208,4647,0.01564,0.02362
1990,female,Daily,0.05687,442,4772,0.05030,0.06345
1990,female,At least once per week,0.24847,1845,4772,0.23620,0.26073
1990,female,At least once per month,0.20361,1358,4772,0.19219,0.21504
1990,female,Seldom,0.13800,957,4772,0.12821,0.14778
1990,female,Never,0.01734,170,4772,0.01363,0.02104
1995,male,Daily,0.04943,449,6374,0.04411,0.05475
1995,male,At least once per week,0.29039,2467,6374,0.27925,0.30154
1995,male,At least once per month,0.25413,1920,6374,0.24344,0.26482
1995,male,Seldom,0.18564,1340,6374,0.17610,0.19519
1995,male,Never,0.02573,198,6374,0.02185,0.02962
1995,female,Daily,0.07416,634,6837,0.06795,0.08037
1995,female,At least once per week,0.33431,2864,6837,0.32312,0.34549
1995,female,At least once per month,0.23196,1911,6837,0.22196,0.24197
1995,female,Seldom,0.16325,1229,6837,0.15449,0.17201
1995,female,Never,0.02241,199,6837,0.01890,0.02592
1998,male,Daily,0.05552,530,6856,0.05010,0.06094
1998,male,At least once per week,0.30477,2699,6856,0.29387,0.31566
1998,male,At least once per month,0.25957,2149,6856,0.24919,0.26995
1998,male,Seldom,0.17348,1348,6856,0.16451,0.18244
1998,male,Never,0.01847,130,6856,0.01528,0.02166
1998,female,Daily,0.07881,744,7297,0.07262,0.08499
1998,female,At least once per week,0.34484,3132,7297,0.33393,0.35575
1998,female,At least once per month,0.22703,2016,7297,0.21742,0.23664
1998,female,Seldom,0.16073,1289,7297,0.15230,0.16916
1998,female,Never,0.01560,116,7297,0.01276,0.01845
2003,male,Daily,0.04822,614,10616,0.04414,0.05229
2003,male,At least once per week,0.30686,4005,10616,0.29809,0.31563
2003,male,At least once per month,0.25724,3453,10616,0.24892,0.26555
2003,male,Seldom,0.17787,2269,10616,0.17059,0.18514
2003,male,Never,0.02904,275,10616,0.02585,0.03224
2003,female,Daily,0.07104,979,11422,0.06633,0.07575
2003,female,At least once per week,0.34200,4710,11422,0.33330,0.35070
2003,female,At least once per month,0.23564,3354,11422,0.22786,0.24343
2003,female,Seldom,0.16161,2121,11422,0.15486,0.16836
2003,female,Never,0.02481,258,11422,0.02195,0.02766
2008,male,Daily,0.05150,593,9167,0.04697,0.05602
2008,male,At least once per week,0.29487,3334,9167,0.28553,0.30420
2008,male,At least once per month,0.26167,2951,9167,0.25267,0.27066
2008,male,Seldom,0.19267,2060,9167,0.18460,0.20075
2008,male,Never,0.02713,229,9167,0.02381,0.03046
2008,female,Daily,0.07800,962,10067,0.07276,0.08324
2008,female,At least once per week,0.33314,3988,10067,0.32394,0.34235
2008,female,At least once per month,0.23462,2933,10067,0.22634,0.24290
2008,female,Seldom,0.17603,1994,10067,0.16859,0.18347
2008,female,Never,0.02177,190,10067,0.01892,0.02462
2013,male,Daily,0.04794,741,11502,0.04404,0.05185
2013,male,At least once per week,0.24938,4120,11502,0.24147,0.25729
2013,male,At least once per month,0.24431,3722,11502,0.23645,0.25216
2013,male,Seldom,0.18043,2584,11502,0.17340,0.18746
2013,male,Never,0.02789,335,11502,0.02488,0.03090
2013,female,Daily,0.06912,1295,13919,0.06491,0.07333
2013,female,At least once per week,0.29641,5544,13919,0.28882,0.30399
2013,female,At least once per month,0.21969,3999,13919,0.21281,0.22657
2013,female,Seldom,0.16405,2746,13919,0.15789,0.17020
2013,female,Never,0.02218,335,13919,0.01974,0.02463
2019,male,Daily,0.04896,745,12240,0.04513,0.05278
2019,male,At least once per week,0.27248,4248,12240,0.26459,0.28037
2019,male,At least once per month,0.25224,3847,12240,0.24455,0.25994
2019,male,Seldom,0.21391,2934,12240,0.20664,0.22117
2019,male,Never,0.03236,466,12240,0.02922,0.03549
2019,female,Daily,0.06420,1035,13405,0.06005,0.06834
2019,female,At least once per week,0.32299,5187,13405,0.31508,0.33091
2019,female,At least once per month,0.24605,4009,13405,0.23875,0.25334
2019,female,Seldom,0.17407,2745,13405,0.16765,0.18049
2019,female,Never,0.02966,429,13405,0.02679,0.03254
2021,male,Daily,0.05583,530,8078,0.05082,0.06083
2021,male,At least once per week,0.32084,3094,8078,0.31066,0.33102
2021,male,At least once per month,0.24260,2377,8078,0.23325,0.25195
2021,male,Seldom,0.17078,1784,8078,0.16258,0.17899
2021,male,Never,0.02297,293,8078,0.01970,0.02624
2021,female,Daily,0.08551,795,9096,0.07977,0.09126
2021,female,At least once per week,0.32925,3718,9096,0.31959,0.33891
2021,female,At least once per month,0.22066,2356,9096,0.21214,0.22918
2021,female,Seldom,0.16908,1913,9096,0.16137,0.17678
2021,female,Never,0.02712,314,9096,0.02378,0.03046
