year,age_gr,migback,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,17-29 y.,No migration background,No,0.92117,2911,2911,0.91138,0.93097
2017,17-29 y.,Direct migration background,No,0.78938,616,616,0.75715,0.82160
2017,17-29 y.,Indirect migration background,No,0.91684,800,800,0.89769,0.93598
2017,30-45 y.,No migration background,Yes,0.03516,172,4563,0.02982,0.04051
2017,30-45 y.,No migration background,No,0.96484,4391,4563,0.95949,0.97018
2017,30-45 y.,Direct migration background,Yes,0.01370,31,2102,0.00873,0.01867
2017,30-45 y.,Direct migration background,No,0.94061,2071,2102,0.93050,0.95072
2017,30-45 y.,Indirect migration background,No,0.96919,577,577,0.95508,0.98331
2017,46-65 y.,No migration background,Yes,0.05377,435,8152,0.04887,0.05867
2017,46-65 y.,No migration background,No,0.94623,7717,8152,0.94133,0.95113
2017,46-65 y.,Direct migration background,Yes,0.01454,31,1596,0.00866,0.02041
2017,46-65 y.,Direct migration background,No,0.97118,1565,1596,0.96297,0.97939
2017,46-65 y.,Indirect migration background,No,0.95467,215,215,0.92679,0.98254
2017,66 and older,No migration background,Yes,0.01103,62,4503,0.00798,0.01408
2017,66 and older,No migration background,No,0.98897,4441,4503,0.98592,0.99202
2017,66 and older,Direct migration background,No,0.99674,440,440,0.99140,1.00207
2019,17-29 y.,No migration background,No,0.91207,2690,2690,0.90136,0.92277
2019,17-29 y.,Direct migration background,No,0.77110,419,419,0.73082,0.81138
2019,17-29 y.,Indirect migration background,No,0.92215,707,707,0.90239,0.94192
2019,30-45 y.,No migration background,Yes,0.04583,182,4139,0.03946,0.05220
2019,30-45 y.,No migration background,No,0.95417,3957,4139,0.94780,0.96054
2019,30-45 y.,Direct migration background,No,0.92442,1570,1570,0.91134,0.93750
2019,30-45 y.,Indirect migration background,No,0.97804,528,528,0.96553,0.99055
2019,46-65 y.,No migration background,Yes,0.06914,518,8624,0.06378,0.07449
2019,46-65 y.,No migration background,No,0.93086,8106,8624,0.92551,0.93622
2019,46-65 y.,Direct migration background,Yes,0.01735,31,1507,0.01076,0.02394
2019,46-65 y.,Direct migration background,No,0.96568,1476,1507,0.95648,0.97487
2019,46-65 y.,Indirect migration background,No,0.93990,276,276,0.91181,0.96799
2019,66 and older,No migration background,Yes,0.01812,92,4706,0.01431,0.02193
2019,66 and older,No migration background,No,0.98188,4614,4706,0.97807,0.98569
2019,66 and older,Direct migration background,No,0.99441,437,437,0.98741,1.00141
2021,17-29 y.,No migration background,No,0.90600,1730,1730,0.89224,0.91975
2021,17-29 y.,Direct migration background,No,0.90851,1012,1012,0.89074,0.92628
2021,17-29 y.,Indirect migration background,No,0.93493,392,392,0.91048,0.95938
2021,30-45 y.,No migration background,Yes,0.05936,142,2590,0.05025,0.06846
2021,30-45 y.,No migration background,No,0.92587,2448,2590,0.91578,0.93596
2021,30-45 y.,Direct migration background,Yes,0.05154,50,2304,0.04251,0.06056
2021,30-45 y.,Direct migration background,No,0.92151,2254,2304,0.91052,0.93249
2021,30-45 y.,Indirect migration background,No,0.96202,292,292,0.94006,0.98399
2021,46-65 y.,No migration background,Yes,0.08296,419,5551,0.07570,0.09021
2021,46-65 y.,No migration background,No,0.90769,5132,5551,0.90007,0.91530
2021,46-65 y.,Direct migration background,Yes,0.06114,50,1466,0.04887,0.07341
2021,46-65 y.,Direct migration background,No,0.92907,1416,1466,0.91592,0.94222
2021,46-65 y.,Indirect migration background,No,0.95573,189,189,0.92633,0.98513
2021,66 and older,No migration background,Yes,0.02773,97,3208,0.02205,0.03341
2021,66 and older,No migration background,No,0.96310,3111,3208,0.95658,0.96963
2021,66 and older,Direct migration background,No,0.99639,329,329,0.98991,1.00288
