year,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Yes,0.02338,790,26549,0.02156,0.02520
2017,No,0.81062,25759,26549,0.80591,0.81534
2019,Yes,0.03001,918,25725,0.02792,0.03209
2019,No,0.80127,24807,25725,0.79639,0.80614
2021,Yes,0.04123,836,19164,0.03842,0.04405
2021,No,0.78181,18328,19164,0.77596,0.78766
