year,quintil_oecd,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,1st Quintile,Yes,0.02227,136,4676,0.01804,0.02651
2017,1st Quintile,No,0.74559,4540,4676,0.73310,0.75807
2017,2nd Quintile,Yes,0.02159,128,4851,0.01750,0.02568
2017,2nd Quintile,No,0.80794,4723,4851,0.79685,0.81903
2017,3rd Quintile,Yes,0.01494,111,4415,0.01136,0.01852
2017,3rd Quintile,No,0.82199,4304,4415,0.81070,0.83327
2017,4th Quintile,Yes,0.02909,145,4340,0.02409,0.03409
2017,4th Quintile,No,0.84731,4195,4340,0.83661,0.85802
2017,5th Quintile,Yes,0.02496,146,4554,0.02043,0.02949
2017,5th Quintile,No,0.86761,4408,4554,0.85777,0.87746
2019,1st Quintile,Yes,0.02126,121,4398,0.01700,0.02553
2019,1st Quintile,No,0.73818,4277,4398,0.72519,0.75117
2019,2nd Quintile,Yes,0.02548,153,4763,0.02100,0.02995
2019,2nd Quintile,No,0.79207,4610,4763,0.78054,0.80360
2019,3rd Quintile,Yes,0.03086,160,4509,0.02581,0.03591
2019,3rd Quintile,No,0.80729,4349,4509,0.79578,0.81880
2019,4th Quintile,Yes,0.03555,156,4270,0.02999,0.04110
2019,4th Quintile,No,0.82119,4114,4270,0.80970,0.83269
2019,5th Quintile,Yes,0.03392,187,4786,0.02879,0.03905
2019,5th Quintile,No,0.86415,4599,4786,0.85444,0.87386
2021,1st Quintile,Yes,0.03603,147,4717,0.03071,0.04135
2021,1st Quintile,No,0.75249,4570,4717,0.74017,0.76481
2021,2nd Quintile,Yes,0.03053,152,3582,0.02490,0.03617
2021,2nd Quintile,No,0.77217,3430,3582,0.75843,0.78591
2021,3rd Quintile,Yes,0.03656,154,3034,0.02988,0.04324
2021,3rd Quintile,No,0.77824,2880,3034,0.76346,0.79303
2021,4th Quintile,Yes,0.05251,155,3246,0.04483,0.06018
2021,4th Quintile,No,0.80233,3091,3246,0.78863,0.81603
2021,5th Quintile,Yes,0.05087,224,4281,0.04429,0.05746
2021,5th Quintile,No,0.81766,4057,4281,0.80609,0.82922
