year,age_gr,bula_h,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,17-29 y.,Schleswig-Holstein,No,0.93481,165,165,0.89702,0.97259
2017,17-29 y.,Hamburg,No,0.86799,66,66,0.78570,0.95028
2017,17-29 y.,Lower Saxony,No,0.90411,531,531,0.87905,0.92918
2017,17-29 y.,Bremen,No,0.91554,50,50,0.83768,0.99340
2017,17-29 y.,North Rhine-Westphalia,No,0.87731,981,981,0.85677,0.89785
2017,17-29 y.,Hesse,No,0.90969,311,311,0.87779,0.94160
2017,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.89671,251,251,0.85898,0.93443
2017,17-29 y.,Baden-Wuerttemberg,No,0.90797,487,487,0.88227,0.93367
2017,17-29 y.,Bavaria,No,0.90786,649,649,0.88559,0.93013
2017,17-29 y.,Berlin,No,0.94237,157,157,0.90579,0.97894
2017,17-29 y.,Brandenburg,No,0.89014,113,113,0.83223,0.94806
2017,17-29 y.,Mecklenburg-Western Pomerania,No,0.90326,70,70,0.83351,0.97301
2017,17-29 y.,Saxony,No,0.93203,237,237,0.89992,0.96414
2017,17-29 y.,Saxony-Anhalt,No,0.94798,133,133,0.91010,0.98586
2017,17-29 y.,Thuringa,No,0.93840,126,126,0.89625,0.98055
2017,30-45 y.,Schleswig-Holstein,No,0.94158,281,281,0.91410,0.96905
2017,30-45 y.,Hamburg,No,0.98867,141,141,0.97114,1.00620
2017,30-45 y.,Lower Saxony,No,0.95682,635,635,0.94099,0.97264
2017,30-45 y.,Bremen,No,0.93004,56,56,0.86263,0.99746
2017,30-45 y.,North Rhine-Westphalia,Yes,0.03074,47,1553,0.02215,0.03933
2017,30-45 y.,North Rhine-Westphalia,No,0.95533,1506,1553,0.94506,0.96561
2017,30-45 y.,Hesse,No,0.95987,477,477,0.94223,0.97750
2017,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.95764,368,368,0.93703,0.97825
2017,30-45 y.,Baden-Wuerttemberg,No,0.96178,859,859,0.94895,0.97461
2017,30-45 y.,Bavaria,No,0.96077,1154,1154,0.94957,0.97198
2017,30-45 y.,Berlin,No,0.96961,278,278,0.94940,0.98983
2017,30-45 y.,Brandenburg,No,0.97187,235,235,0.95068,0.99306
2017,30-45 y.,Mecklenburg-Western Pomerania,No,0.96091,152,152,0.93000,0.99183
2017,30-45 y.,Saxony,No,0.96873,434,434,0.95233,0.98512
2017,30-45 y.,Saxony-Anhalt,No,0.94129,220,220,0.91015,0.97242
2017,30-45 y.,Thuringa,No,0.95763,243,243,0.93225,0.98301
2017,46-65 y.,Schleswig-Holstein,No,0.97737,302,302,0.96057,0.99417
2017,46-65 y.,Hamburg,No,0.92913,154,154,0.88846,0.96979
2017,46-65 y.,Lower Saxony,Yes,0.04815,60,1013,0.03496,0.06134
2017,46-65 y.,Lower Saxony,No,0.94797,953,1013,0.93429,0.96165
2017,46-65 y.,Bremen,No,0.88295,73,73,0.80869,0.95721
2017,46-65 y.,North Rhine-Westphalia,Yes,0.04092,94,2074,0.03239,0.04945
2017,46-65 y.,North Rhine-Westphalia,No,0.95617,1980,2074,0.94736,0.96498
2017,46-65 y.,Hesse,No,0.95567,680,680,0.94019,0.97115
2017,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.95158,564,564,0.93385,0.96931
2017,46-65 y.,Baden-Wuerttemberg,Yes,0.05850,61,1100,0.04462,0.07238
2017,46-65 y.,Baden-Wuerttemberg,No,0.94057,1039,1100,0.92660,0.95455
2017,46-65 y.,Bavaria,Yes,0.06458,94,1588,0.05249,0.07667
2017,46-65 y.,Bavaria,No,0.93420,1494,1588,0.92200,0.94640
2017,46-65 y.,Berlin,No,0.92871,300,300,0.89954,0.95787
2017,46-65 y.,Brandenburg,No,0.96194,419,419,0.94359,0.98028
2017,46-65 y.,Mecklenburg-Western Pomerania,No,0.96871,211,211,0.94517,0.99226
