year,sampreg,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,West,Yes,0.02448,651,20959,0.02239,0.02657
2017,West,No,0.80778,20308,20959,0.80244,0.81311
2017,East,Yes,0.01806,139,5590,0.01457,0.02156
2017,East,No,0.82439,5451,5590,0.81442,0.83437
2019,West,Yes,0.02927,709,20103,0.02694,0.03160
2019,West,No,0.79990,19394,20103,0.79437,0.80543
2019,East,Yes,0.03280,196,5546,0.02811,0.03749
2019,East,No,0.80856,5350,5546,0.79820,0.81891
2021,West,Yes,0.04331,694,15317,0.04009,0.04653
2021,West,No,0.77904,14623,15317,0.77247,0.78561
2021,East,Yes,0.03103,142,3847,0.02555,0.03651
2021,East,No,0.79538,3705,3847,0.78263,0.80813
