year,age_gr,bula_h,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Schleswig-Holstein,No,0.85364,75,75,0.77311,0.93418
1985,17-29 y.,Hamburg,No,0.91868,55,55,0.84578,0.99158
1985,17-29 y.,Lower Saxony,No,0.90371,270,270,0.86845,0.93896
1985,17-29 y.,North Rhine-Westphalia,Yes,0.06567,61,854,0.04905,0.08229
1985,17-29 y.,North Rhine-Westphalia,No,0.92991,793,854,0.91277,0.94704
1985,17-29 y.,Hesse,No,0.93200,299,299,0.90342,0.96058
1985,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.94548,224,224,0.91568,0.97528
1985,17-29 y.,Baden-Wuerttemberg,No,0.97423,584,584,0.96136,0.98709
1985,17-29 y.,Bavaria,No,0.93170,487,487,0.90928,0.95413
1985,17-29 y.,Berlin,No,0.89191,79,79,0.82300,0.96081
1985,30-45 y.,Schleswig-Holstein,No,0.92495,121,121,0.87781,0.97209
1985,30-45 y.,Hamburg,No,0.90921,93,93,0.85050,0.96792
1985,30-45 y.,Lower Saxony,No,0.93088,327,327,0.90335,0.95842
1985,30-45 y.,North Rhine-Westphalia,Yes,0.05716,55,978,0.04260,0.07171
1985,30-45 y.,North Rhine-Westphalia,No,0.93472,923,978,0.91923,0.95021
1985,30-45 y.,Hesse,No,0.94034,319,319,0.91431,0.96637
1985,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.95292,160,160,0.91999,0.98584
1985,30-45 y.,Baden-Wuerttemberg,Yes,0.04338,31,639,0.02758,0.05919
1985,30-45 y.,Baden-Wuerttemberg,No,0.94566,608,639,0.92806,0.96325
1985,30-45 y.,Bavaria,No,0.94072,574,574,0.92138,0.96005
1985,30-45 y.,Berlin,No,0.92895,109,109,0.88050,0.97740
1985,46-65 y.,Schleswig-Holstein,No,0.92586,91,91,0.87173,0.97999
1985,46-65 y.,Hamburg,No,0.94199,67,67,0.88559,0.99839
1985,46-65 y.,Lower Saxony,No,0.94087,309,309,0.91453,0.96722
1985,46-65 y.,North Rhine-Westphalia,Yes,0.04798,45,841,0.03352,0.06243
1985,46-65 y.,North Rhine-Westphalia,No,0.93756,796,841,0.92120,0.95392
1985,46-65 y.,Hesse,No,0.95739,346,346,0.93608,0.97871
1985,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.95127,253,253,0.92469,0.97785
1985,46-65 y.,Baden-Wuerttemberg,No,0.98103,573,573,0.96985,0.99221
1985,46-65 y.,Bavaria,No,0.94014,527,527,0.91986,0.96041
1985,46-65 y.,Berlin,No,0.93330,103,103,0.88489,0.98172
1985,66 and older,Schleswig-Holstein,No,0.98434,38,38,0.94434,1.02435
1985,66 and older,Hamburg,No,0.95677,42,42,0.89453,1.01902
1985,66 and older,Lower Saxony,No,0.98461,125,125,0.96294,1.00628
1985,66 and older,Bremen,No,0.97167,32,32,0.91325,1.03008
1985,66 and older,North Rhine-Westphalia,No,0.98810,244,244,0.97446,1.00173
1985,66 and older,Hesse,No,0.97972,92,92,0.95075,1.00868
1985,66 and older,"Rhineland-Palatinate, Saarland",No,0.95733,92,92,0.91580,0.99885
1985,66 and older,Baden-Wuerttemberg,No,0.99598,180,180,0.98670,1.00525
1985,66 and older,Bavaria,No,0.97541,203,203,0.95406,0.99677
1985,66 and older,Berlin,No,0.94163,36,36,0.86395,1.01930
1986,17-29 y.,Schleswig-Holstein,No,0.89785,75,75,0.82885,0.96685
1986,17-29 y.,Hamburg,No,0.90975,51,51,0.83032,0.98917
