year,age_gr,migback,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,No migration background,Yes,0.06110,127,2193,0.05107,0.07112
1985,17-29 y.,No migration background,No,0.93354,2066,2193,0.92311,0.94397
1985,17-29 y.,Direct migration background,Yes,0.08281,83,798,0.06368,0.10194
1985,17-29 y.,Direct migration background,No,0.89788,715,798,0.87686,0.91890
1985,17-29 y.,Indirect migration background,No,0.94659,101,101,0.90251,0.99066
1985,30-45 y.,No migration background,Yes,0.05152,110,2260,0.04240,0.06063
1985,30-45 y.,No migration background,No,0.94105,2150,2260,0.93134,0.95077
1985,30-45 y.,Direct migration background,Yes,0.08040,72,1163,0.06477,0.09604
1985,30-45 y.,Direct migration background,No,0.90570,1091,1163,0.88890,0.92251
1985,46-65 y.,No migration background,Yes,0.03856,88,2402,0.03086,0.04627
1985,46-65 y.,No migration background,No,0.94994,2314,2402,0.94122,0.95866
1985,46-65 y.,Direct migration background,Yes,0.05709,63,834,0.04133,0.07284
1985,46-65 y.,Direct migration background,No,0.92518,771,834,0.90732,0.94305
1985,66 and older,No migration background,No,0.97880,1044,1044,0.97006,0.98755
1986,17-29 y.,No migration background,Yes,0.05564,112,2104,0.04584,0.06544
1986,17-29 y.,No migration background,No,0.93185,1992,2104,0.92107,0.94262
1986,17-29 y.,Direct migration background,Yes,0.08534,76,782,0.06575,0.10494
1986,17-29 y.,Direct migration background,No,0.89050,706,782,0.86860,0.91240
1986,17-29 y.,Indirect migration background,No,0.89361,114,114,0.83676,0.95046
1986,30-45 y.,No migration background,Yes,0.04908,100,2101,0.03984,0.05832
1986,30-45 y.,No migration background,No,0.92790,2001,2101,0.91684,0.93897
1986,30-45 y.,Direct migration background,Yes,0.08354,67,1082,0.06705,0.10003
1986,30-45 y.,Direct migration background,No,0.90594,1015,1082,0.88853,0.92334
1986,46-65 y.,No migration background,Yes,0.03959,88,2312,0.03164,0.04754
1986,46-65 y.,No migration background,No,0.94664,2224,2312,0.93748,0.95581
1986,46-65 y.,Direct migration background,Yes,0.05188,65,847,0.03694,0.06683
1986,46-65 y.,Direct migration background,No,0.92415,782,847,0.90630,0.94199
1986,66 and older,No migration background,No,0.98571,963,963,0.97821,0.99321
1986,66 and older,Direct migration background,No,0.97501,49,49,0.93085,1.01917
1987,17-29 y.,No migration background,Yes,0.04978,99,2047,0.04036,0.05921
1987,17-29 y.,No migration background,No,0.93904,1948,2047,0.92867,0.94941
1987,17-29 y.,Direct migration background,Yes,0.07859,69,792,0.05983,0.09734
1987,17-29 y.,Direct migration background,No,0.91681,723,792,0.89756,0.93605
1987,17-29 y.,Indirect migration background,No,0.88435,131,131,0.82938,0.93933
1987,30-45 y.,No migration background,Yes,0.03869,78,2086,0.03041,0.04697
1987,30-45 y.,No migration background,No,0.95638,2008,2086,0.94761,0.96514
1987,30-45 y.,Direct migration background,Yes,0.06283,56,1045,0.04811,0.07755
1987,30-45 y.,Direct migration background,No,0.92824,989,1045,0.91258,0.94390
1987,46-65 y.,No migration background,Yes,0.04597,99,2261,0.03733,0.05460
1987,46-65 y.,No migration background,No,0.94155,2162,2261,0.93188,0.95122
1987,46-65 y.,Direct migration background,Yes,0.07351,90,904,0.05649,0.09053
1987,46-65 y.,Direct migration background,No,0.91462,814,904,0.89639,0.93285
1987,66 and older,No migration background,No,0.97961,992,992,0.97080,0.98841
1988,17-29 y.,No migration background,Yes,0.05285,100,1897,0.04277,0.06292
1988,17-29 y.,No migration background,No,0.94113,1797,1897,0.93053,0.95172
1988,17-29 y.,Direct migration background,Yes,0.06243,65,750,0.04511,0.07976
1988,17-29 y.,Direct migration background,No,0.90985,685,750,0.88934,0.93036
1988,17-29 y.,Indirect migration background,No,0.89442,176,176,0.84889,0.93995
1988,30-45 y.,No migration background,Yes,0.04640,83,1980,0.03713,0.05567
1988,30-45 y.,No migration background,No,0.94254,1897,1980,0.93229,0.95279
1988,30-45 y.,Direct migration background,Yes,0.06350,45,908,0.04763,0.07937
1988,30-45 y.,Direct migration background,No,0.91270,863,908,0.89433,0.93107
1988,46-65 y.,No migration background,Yes,0.04434,89,2168,0.03568,0.05301
1988,46-65 y.,No migration background,No,0.94329,2079,2168,0.93355,0.95303
1988,46-65 y.,Direct migration background,Yes,0.09293,100,878,0.07371,0.11215
1988,46-65 y.,Direct migration background,No,0.88749,778,878,0.86658,0.90841
1988,66 and older,No migration background,No,0.98536,957,957,0.97775,0.99297
1988,66 and older,Direct migration background,No,0.99620,62,62,0.98076,1.01164
1989,17-29 y.,No migration background,Yes,0.03781,73,1803,0.02901,0.04662
1989,17-29 y.,No migration background,No,0.92676,1730,1803,0.91473,0.93879
1989,17-29 y.,Direct migration background,Yes,0.06441,41,561,0.04408,0.08475
1989,17-29 y.,Direct migration background,No,0.76985,520,561,0.73498,0.80471
1989,17-29 y.,Indirect migration background,No,0.74951,157,157,0.68151,0.81750
1989,30-45 y.,No migration background,Yes,0.02754,55,1888,0.02016,0.03493
1989,30-45 y.,No migration background,No,0.94457,1833,1888,0.93425,0.95490
1989,30-45 y.,Direct migration background,No,0.82182,673,673,0.79288,0.85075
1989,46-65 y.,No migration background,Yes,0.04516,92,2006,0.03607,0.05425
1989,46-65 y.,No migration background,No,0.92498,1914,2006,0.91344,0.93651
1989,46-65 y.,Direct migration background,Yes,0.06102,61,709,0.04339,0.07865
1989,46-65 y.,Direct migration background,No,0.81369,648,709,0.78501,0.84237
1989,66 and older,No migration background,No,0.93378,882,882,0.91736,0.95020
1989,66 and older,Direct migration background,No,0.95041,64,64,0.89680,1.00402
1990,17-29 y.,No migration background,Yes,0.02941,66,1692,0.02136,0.03746
1990,17-29 y.,No migration background,No,0.70638,1626,1692,0.68467,0.72808
1990,17-29 y.,Direct migration background,Yes,0.05518,43,663,0.03778,0.07257
1990,17-29 y.,Direct migration background,No,0.86821,620,663,0.84244,0.89398
1990,17-29 y.,Indirect migration background,No,0.95746,250,250,0.93239,0.98253
1990,30-45 y.,No migration background,Yes,0.02102,52,1879,0.01454,0.02751
1990,30-45 y.,No migration background,No,0.73834,1827,1879,0.71846,0.75822
1990,30-45 y.,Direct migration background,No,0.87183,774,774,0.84827,0.89540
1990,46-65 y.,No migration background,Yes,0.03037,69,1930,0.02271,0.03803
1990,46-65 y.,No migration background,No,0.72857,1861,1930,0.70872,0.74841
1990,46-65 y.,Direct migration background,Yes,0.07141,79,867,0.05426,0.08856
1990,46-65 y.,Direct migration background,No,0.78904,788,867,0.76187,0.81621
1990,66 and older,No migration background,No,0.78915,919,919,0.76276,0.81553
1990,66 and older,Direct migration background,No,0.78732,76,76,0.69471,0.87993
1991,17-29 y.,No migration background,Yes,0.05099,162,2686,0.04267,0.05931
1991,17-29 y.,No migration background,No,0.93976,2524,2686,0.93076,0.94876
1991,17-29 y.,Direct migration background,Yes,0.06687,42,658,0.04777,0.08597
1991,17-29 y.,Direct migration background,No,0.92377,616,658,0.90348,0.94406
1991,17-29 y.,Indirect migration background,No,0.93516,290,290,0.90677,0.96355
1991,30-45 y.,No migration background,Yes,0.04895,208,3429,0.04173,0.05617
1991,30-45 y.,No migration background,No,0.93991,3221,3429,0.93196,0.94787
1991,30-45 y.,Direct migration background,Yes,0.05203,47,806,0.03668,0.06737
1991,30-45 y.,Direct migration background,No,0.91690,759,806,0.89783,0.93597
1991,46-65 y.,No migration background,Yes,0.04999,191,3074,0.04228,0.05769
1991,46-65 y.,No migration background,No,0.93358,2883,3074,0.92478,0.94239
1991,46-65 y.,Direct migration background,Yes,0.08247,86,968,0.06513,0.09980
1991,46-65 y.,Direct migration background,No,0.89633,882,968,0.87711,0.91554
1991,66 and older,No migration background,No,0.96472,1276,1276,0.95460,0.97485
1991,66 and older,Direct migration background,No,0.96982,114,114,0.93828,1.00137
1992,17-29 y.,No migration background,Yes,0.06236,183,2540,0.05295,0.07176
1992,17-29 y.,No migration background,No,0.92473,2357,2540,0.91447,0.93499
1992,17-29 y.,Direct migration background,Yes,0.07312,39,620,0.05261,0.09363
1992,17-29 y.,Direct migration background,No,0.90824,581,620,0.88550,0.93098
1992,17-29 y.,Indirect migration background,No,0.91634,348,348,0.88720,0.94547
