year,bula_h,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,No,0.75899,325,325,0.71242,0.80556
1985,Hamburg,No,0.84664,257,257,0.80250,0.89078
1985,Lower Saxony,Yes,0.04980,70,1101,0.03694,0.06265
1985,Lower Saxony,No,0.79187,1031,1101,0.76788,0.81586
1985,Bremen,No,0.82500,99,99,0.74977,0.90023
1985,North Rhine-Westphalia,Yes,0.03978,161,2917,0.03268,0.04687
1985,North Rhine-Westphalia,No,0.77994,2756,2917,0.76490,0.79498
1985,Hesse,Yes,0.03413,56,1112,0.02345,0.04480
1985,Hesse,No,0.81708,1056,1112,0.79435,0.83982
1985,"Rhineland-Palatinate, Saarland",Yes,0.02882,31,760,0.01692,0.04072
1985,"Rhineland-Palatinate, Saarland",No,0.81475,729,760,0.78711,0.84239
1985,Baden-Wuerttemberg,Yes,0.01684,73,2018,0.01122,0.02245
1985,Baden-Wuerttemberg,No,0.79494,1945,2018,0.77732,0.81256
1985,Bavaria,Yes,0.03265,75,1866,0.02458,0.04071
1985,Bavaria,No,0.79040,1791,1866,0.77192,0.80887
1985,Berlin,No,0.78805,327,327,0.74369,0.83242
1986,Schleswig-Holstein,No,0.76191,295,295,0.71322,0.81059
1986,Hamburg,No,0.87345,239,239,0.83121,0.91569
1986,Lower Saxony,Yes,0.04191,57,1098,0.03005,0.05376
1986,Lower Saxony,No,0.79811,1041,1098,0.77436,0.82187
1986,Bremen,No,0.88059,98,98,0.81606,0.94512
1986,North Rhine-Westphalia,Yes,0.04211,166,2808,0.03468,0.04954
1986,North Rhine-Westphalia,No,0.77189,2642,2808,0.75637,0.78742
1986,Hesse,Yes,0.02811,49,1031,0.01801,0.03820
1986,Hesse,No,0.80694,982,1031,0.78283,0.83104
1986,"Rhineland-Palatinate, Saarland",No,0.80340,717,717,0.77428,0.83251
1986,Baden-Wuerttemberg,Yes,0.02193,67,1946,0.01542,0.02844
1986,Baden-Wuerttemberg,No,0.78803,1879,1946,0.76987,0.80619
1986,Bavaria,Yes,0.03368,79,1732,0.02518,0.04218
1986,Bavaria,No,0.77867,1653,1732,0.75912,0.79823
1986,Berlin,No,0.82722,329,329,0.78631,0.86814
1987,Schleswig-Holstein,No,0.73477,288,288,0.68369,0.78584
1987,Hamburg,No,0.85866,212,212,0.81166,0.90567
1987,Lower Saxony,Yes,0.03796,57,1099,0.02666,0.04927
1987,Lower Saxony,No,0.80232,1042,1099,0.77876,0.82587
1987,Bremen,No,0.84405,87,87,0.76737,0.92073
1987,North Rhine-Westphalia,Yes,0.03677,147,2808,0.02981,0.04373
1987,North Rhine-Westphalia,No,0.78388,2661,2808,0.76865,0.79910
1987,Hesse,Yes,0.02604,47,1047,0.01639,0.03569
1987,Hesse,No,0.81433,1000,1047,0.79077,0.83790
1987,"Rhineland-Palatinate, Saarland",Yes,0.03574,35,755,0.02249,0.04899
1987,"Rhineland-Palatinate, Saarland",No,0.80673,720,755,0.77854,0.83491
1987,Baden-Wuerttemberg,Yes,0.01951,69,1946,0.01336,0.02566
1987,Baden-Wuerttemberg,No,0.78488,1877,1946,0.76662,0.80314
1987,Bavaria,Yes,0.03139,73,1703,0.02310,0.03967
1987,Bavaria,No,0.78683,1630,1703,0.76738,0.80629
1987,Berlin,No,0.82941,337,337,0.78918,0.86963
1988,Schleswig-Holstein,No,0.71210,286,286,0.65953,0.76467
1988,Hamburg,No,0.88021,188,188,0.83367,0.92675
1988,Lower Saxony,Yes,0.05782,74,1043,0.04365,0.07199
1988,Lower Saxony,No,0.78634,969,1043,0.76145,0.81122
1988,Bremen,No,0.81529,88,88,0.73375,0.89684
1988,North Rhine-Westphalia,Yes,0.03850,136,2636,0.03115,0.04584
1988,North Rhine-Westphalia,No,0.78067,2500,2636,0.76487,0.79647
1988,Hesse,Yes,0.02673,50,983,0.01664,0.03682
1988,Hesse,No,0.79712,933,983,0.77196,0.82227
1988,"Rhineland-Palatinate, Saarland",Yes,0.03814,39,724,0.02418,0.05210
1988,"Rhineland-Palatinate, Saarland",No,0.81134,685,724,0.78283,0.83986
1988,Baden-Wuerttemberg,Yes,0.01857,57,1866,0.01245,0.02470
1988,Baden-Wuerttemberg,No,0.79601,1809,1866,0.77772,0.81430
1988,Bavaria,Yes,0.02448,66,1628,0.01697,0.03199
1988,Bavaria,No,0.79382,1562,1628,0.77417,0.81348
1988,Berlin,No,0.81443,303,303,0.77058,0.85828
1989,Schleswig-Holstein,No,0.72426,267,267,0.67055,0.77796
1989,Hamburg,No,0.85718,172,172,0.80474,0.90963
1989,Lower Saxony,Yes,0.03860,51,941,0.02629,0.05092
1989,Lower Saxony,No,0.78909,890,941,0.76301,0.81517
1989,Bremen,No,0.67978,80,80,0.57690,0.78267
1989,North Rhine-Westphalia,Yes,0.03272,105,2331,0.02550,0.03995
1989,North Rhine-Westphalia,No,0.75585,2226,2331,0.73841,0.77329
1989,Hesse,Yes,0.02076,36,883,0.01135,0.03017
1989,Hesse,No,0.77958,847,883,0.75222,0.80694
1989,"Rhineland-Palatinate, Saarland",Yes,0.03643,33,643,0.02194,0.05092
1989,"Rhineland-Palatinate, Saarland",No,0.78224,610,643,0.75031,0.81417
1989,Baden-Wuerttemberg,Yes,0.01422,41,1701,0.00859,0.01985
1989,Baden-Wuerttemberg,No,0.77799,1660,1701,0.75824,0.79775
1989,Bavaria,Yes,0.02064,47,1463,0.01335,0.02793
1989,Bavaria,No,0.76018,1416,1463,0.73830,0.78207
1989,Berlin,No,0.79465,281,281,0.74733,0.84196
1990,Schleswig-Holstein,No,0.72256,256,256,0.66761,0.77752
1990,Hamburg,No,0.72991,137,137,0.65529,0.80454
1990,Lower Saxony,Yes,0.04274,54,936,0.02978,0.05571
1990,Lower Saxony,No,0.76641,882,936,0.73928,0.79353
1990,Bremen,No,0.79702,94,94,0.71528,0.87877
1990,North Rhine-Westphalia,Yes,0.02764,103,2448,0.02114,0.03413
1990,North Rhine-Westphalia,No,0.76303,2345,2448,0.74618,0.77988
1990,Hesse,No,0.78887,914,914,0.76239,0.81534
1990,"Rhineland-Palatinate, Saarland",Yes,0.04042,31,653,0.02531,0.05554
1990,"Rhineland-Palatinate, Saarland",No,0.78722,622,653,0.75581,0.81864
1990,Baden-Wuerttemberg,Yes,0.00685,36,1755,0.00299,0.01071
1990,Baden-Wuerttemberg,No,0.78989,1719,1755,0.77082,0.80895
1990,Bavaria,Yes,0.01737,34,1556,0.01087,0.02386
1990,Bavaria,No,0.80128,1522,1556,0.78144,0.82111
1990,Berlin,No,0.46430,279,279,0.40568,0.52293
1991,Schleswig-Holstein,No,0.72033,274,274,0.66709,0.77357
1991,Hamburg,No,0.84483,151,151,0.78688,0.90277
1991,Lower Saxony,Yes,0.02688,39,951,0.01659,0.03716
1991,Lower Saxony,No,0.79759,912,951,0.77204,0.82314
1991,Bremen,No,0.82510,90,90,0.74618,0.90402
1991,North Rhine-Westphalia,Yes,0.02610,101,2488,0.01983,0.03236
1991,North Rhine-Westphalia,No,0.78029,2387,2488,0.76402,0.79656
1991,Hesse,No,0.80781,917,917,0.78230,0.83333
1991,"Rhineland-Palatinate, Saarland",No,0.77886,624,624,0.74627,0.81145
1991,Baden-Wuerttemberg,Yes,0.01911,58,1767,0.01273,0.02550
1991,Baden-Wuerttemberg,No,0.78230,1709,1767,0.76305,0.80154
1991,Bavaria,Yes,0.02143,51,1577,0.01428,0.02857
1991,Bavaria,No,0.79225,1526,1577,0.77222,0.81228
1991,Berlin,Yes,0.04419,47,598,0.02770,0.06067
1991,Berlin,No,0.78880,551,598,0.75606,0.82154
1991,Brandenburg,Yes,0.07903,65,673,0.05863,0.09943
1991,Brandenburg,No,0.72229,608,673,0.68842,0.75615
1991,Mecklenburg-Western Pomerania,Yes,0.08974,56,468,0.06382,0.11567
1991,Mecklenburg-Western Pomerania,No,0.69339,412,468,0.65157,0.73521
1991,Saxony,Yes,0.07227,107,1220,0.05773,0.08680
1991,Saxony,No,0.73510,1113,1220,0.71033,0.75987
1991,Saxony-Anhalt,Yes,0.06853,78,788,0.05088,0.08618
1991,Saxony-Anhalt,No,0.74922,710,788,0.71894,0.77950
1991,Thuringa,Yes,0.08941,77,692,0.06813,0.11068
1991,Thuringa,No,0.69920,615,692,0.66500,0.73339
