year,age_gr,quintil_oecd,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,1st Quintile,Yes,0.13922,100,751,0.11445,0.16400
1985,17-29 y.,1st Quintile,No,0.84731,651,751,0.82156,0.87305
1985,17-29 y.,2nd Quintile,Yes,0.08114,45,584,0.05898,0.10331
1985,17-29 y.,2nd Quintile,No,0.91389,539,584,0.89112,0.93666
1985,17-29 y.,3rd Quintile,Yes,0.04999,39,646,0.03317,0.06681
1985,17-29 y.,3rd Quintile,No,0.94803,607,646,0.93090,0.96516
1985,17-29 y.,4th Quintile,No,0.97655,607,607,0.96450,0.98860
1985,17-29 y.,5th Quintile,No,0.96997,475,475,0.95460,0.98533
1985,30-45 y.,1st Quintile,Yes,0.13783,76,665,0.11161,0.16405
1985,30-45 y.,1st Quintile,No,0.84379,589,665,0.81617,0.87140
1985,30-45 y.,2nd Quintile,Yes,0.05874,43,733,0.04171,0.07578
1985,30-45 y.,2nd Quintile,No,0.92833,690,733,0.90965,0.94702
1985,30-45 y.,3rd Quintile,No,0.95220,622,622,0.93542,0.96898
1985,30-45 y.,4th Quintile,No,0.96075,646,646,0.94576,0.97573
1985,30-45 y.,5th Quintile,No,0.96848,707,707,0.95559,0.98137
1985,46-65 y.,1st Quintile,Yes,0.10432,58,517,0.07794,0.13069
1985,46-65 y.,1st Quintile,No,0.87436,459,517,0.84576,0.90296
1985,46-65 y.,2nd Quintile,Yes,0.05231,34,562,0.03388,0.07073
1985,46-65 y.,2nd Quintile,No,0.93433,528,562,0.91384,0.95483
1985,46-65 y.,3rd Quintile,Yes,0.04286,31,670,0.02751,0.05821
1985,46-65 y.,3rd Quintile,No,0.93947,639,670,0.92140,0.95754
1985,46-65 y.,4th Quintile,No,0.97725,701,701,0.96620,0.98829
1985,46-65 y.,5th Quintile,No,0.97682,764,764,0.96615,0.98750
1985,66 and older,1st Quintile,No,0.98283,251,251,0.96672,0.99893
1985,66 and older,2nd Quintile,No,0.97578,249,249,0.95664,0.99491
1985,66 and older,3rd Quintile,No,0.98221,221,221,0.96474,0.99968
1985,66 and older,4th Quintile,No,0.97765,198,198,0.95701,0.99829
1985,66 and older,5th Quintile,No,0.97788,165,165,0.95538,1.00039
1986,17-29 y.,1st Quintile,Yes,0.12462,85,649,0.09919,0.15005
1986,17-29 y.,1st Quintile,No,0.86107,564,649,0.83444,0.88770
1986,17-29 y.,2nd Quintile,Yes,0.07671,45,600,0.05540,0.09802
1986,17-29 y.,2nd Quintile,No,0.91527,555,600,0.89296,0.93757
1986,17-29 y.,3rd Quintile,No,0.94678,578,578,0.92846,0.96509
1986,17-29 y.,4th Quintile,No,0.95120,633,633,0.93440,0.96800
1986,17-29 y.,5th Quintile,No,0.96830,479,479,0.95260,0.98401
1986,30-45 y.,1st Quintile,Yes,0.15570,66,588,0.12637,0.18504
1986,30-45 y.,1st Quintile,No,0.81514,522,588,0.78374,0.84654
1986,30-45 y.,2nd Quintile,Yes,0.05122,36,667,0.03448,0.06796
1986,30-45 y.,2nd Quintile,No,0.92412,631,667,0.90401,0.94423
1986,30-45 y.,3rd Quintile,No,0.93331,614,614,0.91356,0.95306
1986,30-45 y.,4th Quintile,No,0.94102,607,607,0.92226,0.95977
1986,30-45 y.,5th Quintile,No,0.97520,660,660,0.96333,0.98708
1986,46-65 y.,1st Quintile,Yes,0.10789,68,545,0.08182,0.13396
1986,46-65 y.,1st Quintile,No,0.87870,477,545,0.85127,0.90614
1986,46-65 y.,2nd Quintile,No,0.95128,504,504,0.93247,0.97009
1986,46-65 y.,3rd Quintile,No,0.94655,586,586,0.92833,0.96478
1986,46-65 y.,4th Quintile,No,0.96095,709,709,0.94668,0.97522
1986,46-65 y.,5th Quintile,No,0.96299,740,740,0.94938,0.97660
1986,66 and older,1st Quintile,No,0.99755,252,252,0.99143,1.00367
1986,66 and older,2nd Quintile,No,0.99115,245,245,0.97940,1.00290
1986,66 and older,3rd Quintile,No,0.95671,204,204,0.92871,0.98470
1986,66 and older,4th Quintile,No,0.98540,161,161,0.96681,1.00398
1986,66 and older,5th Quintile,No,0.98485,151,151,0.96530,1.00440
1987,17-29 y.,1st Quintile,Yes,0.12349,79,635,0.09788,0.14909
1987,17-29 y.,1st Quintile,No,0.86054,556,635,0.83358,0.88751
1987,17-29 y.,2nd Quintile,Yes,0.05338,36,613,0.03557,0.07119
1987,17-29 y.,2nd Quintile,No,0.93486,577,613,0.91531,0.95441
1987,17-29 y.,3rd Quintile,No,0.93564,570,570,0.91548,0.95581
1987,17-29 y.,4th Quintile,No,0.96955,632,632,0.95614,0.98295
1987,17-29 y.,5th Quintile,No,0.97199,465,465,0.95697,0.98700
1987,30-45 y.,1st Quintile,Yes,0.11987,56,552,0.09275,0.14699
1987,30-45 y.,1st Quintile,No,0.86866,496,552,0.84045,0.89686
1987,30-45 y.,2nd Quintile,No,0.96310,633,633,0.94840,0.97780
1987,30-45 y.,3rd Quintile,No,0.95525,618,618,0.93893,0.97156
1987,30-45 y.,4th Quintile,No,0.96720,600,600,0.95294,0.98147
1987,30-45 y.,5th Quintile,No,0.97978,666,666,0.96908,0.99048
1987,46-65 y.,1st Quintile,Yes,0.13342,79,507,0.10379,0.16304
1987,46-65 y.,1st Quintile,No,0.84675,428,507,0.81537,0.87814
1987,46-65 y.,2nd Quintile,No,0.96012,513,513,0.94317,0.97707
1987,46-65 y.,3rd Quintile,Yes,0.05039,38,627,0.03325,0.06753
1987,46-65 y.,3rd Quintile,No,0.93022,589,627,0.91026,0.95018
1987,46-65 y.,4th Quintile,No,0.95829,719,719,0.94367,0.97292
1987,46-65 y.,5th Quintile,No,0.96536,739,739,0.95217,0.97855
