year,regtyp,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Yes,0.03398,419,8524,0.03013,0.03782
1985,Urban regions,No,0.79892,8105,8524,0.79041,0.80743
1985,Rural regions,Yes,0.04227,132,2343,0.03412,0.05042
1985,Rural regions,No,0.77589,2211,2343,0.75900,0.79278
1986,Urban regions,Yes,0.03242,391,8166,0.02858,0.03627
1986,Urban regions,No,0.79516,7775,8166,0.78640,0.80391
1986,Rural regions,Yes,0.04198,123,2223,0.03364,0.05032
1986,Rural regions,No,0.77071,2100,2223,0.75323,0.78819
1987,Urban regions,Yes,0.03216,384,8154,0.02833,0.03599
1987,Urban regions,No,0.79910,7770,8154,0.79041,0.80780
1987,Rural regions,Yes,0.03513,116,2200,0.02744,0.04283
1987,Rural regions,No,0.77332,2084,2200,0.75582,0.79082
1988,Urban regions,Yes,0.03142,367,7757,0.02754,0.03531
1988,Urban regions,No,0.79978,7390,7757,0.79088,0.80869
1988,Rural regions,Yes,0.04564,125,2058,0.03662,0.05466
1988,Rural regions,No,0.76111,1933,2058,0.74268,0.77953
1989,Urban regions,Yes,0.02503,275,6963,0.02136,0.02870
1989,Urban regions,No,0.77721,6688,6963,0.76744,0.78699
1989,Rural regions,Yes,0.03360,84,1845,0.02537,0.04182
1989,Rural regions,No,0.74193,1761,1845,0.72196,0.76190
1990,Urban regions,Yes,0.02133,266,7199,0.01799,0.02467
1990,Urban regions,No,0.69694,6933,7199,0.68633,0.70756
1990,Rural regions,Yes,0.01869,76,1913,0.01262,0.02477
1990,Rural regions,No,0.44778,1837,1913,0.42549,0.47007
1991,Urban regions,Yes,0.03004,397,8593,0.02643,0.03365
1991,Urban regions,No,0.78275,8196,8593,0.77403,0.79147
1991,Rural regions,Yes,0.04637,352,4675,0.04034,0.05240
1991,Rural regions,No,0.75844,4323,4675,0.74617,0.77071
1992,Urban regions,Yes,0.03764,490,8457,0.03359,0.04170
1992,Urban regions,No,0.76788,7967,8457,0.75888,0.77688
1992,Rural regions,Yes,0.06023,429,4453,0.05324,0.06722
1992,Rural regions,No,0.73784,4024,4453,0.72492,0.75076
1993,Urban regions,Yes,0.04036,507,8443,0.03616,0.04456
1993,Urban regions,No,0.77491,7936,8443,0.76600,0.78381
1993,Rural regions,Yes,0.07025,476,4473,0.06276,0.07774
1993,Rural regions,No,0.73998,3997,4473,0.72713,0.75284
1994,Urban regions,Yes,0.04606,588,8386,0.04158,0.05055
1994,Urban regions,No,0.77261,7798,8386,0.76364,0.78158
1994,Rural regions,Yes,0.08081,511,4382,0.07274,0.08888
1994,Rural regions,No,0.72706,3871,4382,0.71387,0.74025
1995,Urban regions,Yes,0.04958,617,8610,0.04500,0.05417
1995,Urban regions,No,0.76562,7993,8610,0.75667,0.77456
1995,Rural regions,Yes,0.07028,448,4513,0.06282,0.07773
1995,Rural regions,No,0.72799,4065,4513,0.71501,0.74097
1996,Urban regions,Yes,0.05105,592,8328,0.04632,0.05578
1996,Urban regions,No,0.75364,7736,8328,0.74438,0.76289
1996,Rural regions,Yes,0.06804,457,4420,0.06062,0.07547
1996,Rural regions,No,0.73044,3963,4420,0.71736,0.74352
1997,Urban regions,Yes,0.05501,644,8368,0.05012,0.05989
1997,Urban regions,No,0.77302,7724,8368,0.76404,0.78199
1997,Rural regions,Yes,0.07345,440,4458,0.06580,0.08111
1997,Rural regions,No,0.74185,4018,4458,0.72901,0.75470
1998,Urban regions,Yes,0.04906,620,9198,0.04465,0.05348
1998,Urban regions,No,0.77628,8578,9198,0.76776,0.78480
1998,Rural regions,Yes,0.07478,530,4915,0.06742,0.08213
1998,Rural regions,No,0.73298,4385,4915,0.72061,0.74535
1999,Urban regions,Yes,0.04532,546,8853,0.04099,0.04965
1999,Urban regions,No,0.78500,8307,8853,0.77645,0.79356
1999,Rural regions,Yes,0.05958,406,4762,0.05285,0.06630
1999,Rural regions,No,0.75461,4356,4762,0.74239,0.76684
2000,Urban regions,Yes,0.03746,826,15711,0.03449,0.04043
2000,Urban regions,No,0.79195,14885,15711,0.78560,0.79829
2000,Rural regions,Yes,0.05766,675,8396,0.05267,0.06264
2000,Rural regions,No,0.76603,7721,8396,0.75697,0.77509
2001,Urban regions,Yes,0.04065,736,14302,0.03741,0.04388
2001,Urban regions,No,0.78815,13566,14302,0.78145,0.79485
2001,Rural regions,Yes,0.06498,666,7619,0.05944,0.07051
2001,Rural regions,No,0.76461,6953,7619,0.75508,0.77414
2002,Urban regions,Yes,0.04667,772,15272,0.04333,0.05002
2002,Urban regions,No,0.78464,14500,15272,0.77812,0.79116
2002,Rural regions,Yes,0.07027,651,7754,0.06458,0.07596
2002,Rural regions,No,0.76065,7103,7754,0.75115,0.77015
2003,Urban regions,Yes,0.05226,866,14733,0.04867,0.05586
2003,Urban regions,No,0.77934,13867,14733,0.77264,0.78604
2003,Rural regions,Yes,0.07780,670,7431,0.07171,0.08389
2003,Rural regions,No,0.75738,6761,7431,0.74763,0.76713
2004,Urban regions,Yes,0.05668,878,14353,0.05290,0.06046
2004,Urban regions,No,0.77802,13475,14353,0.77122,0.78481
2004,Rural regions,Yes,0.08348,661,7259,0.07712,0.08984
2004,Rural regions,No,0.75811,6598,7259,0.74826,0.76796
2005,Urban regions,Yes,0.06085,853,13755,0.05686,0.06485
2005,Urban regions,No,0.77992,12902,13755,0.77299,0.78684
2005,Rural regions,Yes,0.08053,635,6942,0.07413,0.08694
2005,Rural regions,No,0.76279,6307,6942,0.75278,0.77280
2006,Urban regions,Yes,0.06368,939,14439,0.05970,0.06767
2006,Urban regions,No,0.77109,13500,14439,0.76424,0.77794
2006,Rural regions,Yes,0.08085,700,7528,0.07469,0.08700
2006,Rural regions,No,0.75274,6828,7528,0.74299,0.76248
2007,Urban regions,Yes,0.06002,789,13440,0.05600,0.06404
2007,Urban regions,No,0.77250,12651,13440,0.76541,0.77958
2007,Rural regions,Yes,0.07118,578,7069,0.06519,0.07718
2007,Rural regions,No,0.77005,6491,7069,0.76024,0.77986
2008,Urban regions,Yes,0.05098,641,12663,0.04715,0.05482
2008,Urban regions,No,0.78613,12022,12663,0.77899,0.79328
2008,Rural regions,Yes,0.06550,515,6653,0.05955,0.07145
2008,Rural regions,No,0.78127,6138,6653,0.77134,0.79121
2009,Urban regions,Yes,0.05197,595,11681,0.04795,0.05600
2009,Urban regions,No,0.78915,11086,11681,0.78176,0.79655
2009,Rural regions,Yes,0.06834,476,6336,0.06213,0.07456
2009,Rural regions,No,0.78036,5860,6336,0.77016,0.79055
2010,Urban regions,Yes,0.05743,1238,15619,0.05378,0.06108
2010,Urban regions,No,0.78554,14381,15619,0.77910,0.79198
2010,Rural regions,Yes,0.06320,824,8346,0.05798,0.06843
