year,age_gr,regtyp,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Yes,0.05932,168,2451,0.04997,0.06868
1985,17-29 y.,Urban regions,No,0.93471,2283,2451,0.92493,0.94449
1985,17-29 y.,Rural regions,Yes,0.07364,48,647,0.05350,0.09378
1985,17-29 y.,Rural regions,No,0.91751,599,647,0.89629,0.93872
1985,30-45 y.,Urban regions,Yes,0.04985,134,2719,0.04166,0.05803
1985,30-45 y.,Urban regions,No,0.94163,2585,2719,0.93281,0.95044
1985,30-45 y.,Rural regions,Yes,0.07322,49,720,0.05418,0.09226
1985,30-45 y.,Rural regions,No,0.91929,671,720,0.89938,0.93920
1985,46-65 y.,Urban regions,Yes,0.03867,117,2554,0.03119,0.04615
1985,46-65 y.,Urban regions,No,0.94832,2437,2554,0.93973,0.95690
1985,46-65 y.,Rural regions,Yes,0.04706,35,692,0.03127,0.06284
1985,46-65 y.,Rural regions,No,0.94345,657,692,0.92622,0.96067
1985,66 and older,Urban regions,No,0.98064,800,800,0.97108,0.99019
1985,66 and older,Rural regions,No,0.97627,284,284,0.95853,0.99400
1986,17-29 y.,Urban regions,Yes,0.05410,147,2371,0.04499,0.06320
1986,17-29 y.,Urban regions,No,0.93075,2224,2371,0.92053,0.94097
1986,17-29 y.,Rural regions,Yes,0.07332,47,635,0.05303,0.09361
1986,17-29 y.,Rural regions,No,0.91839,588,635,0.89708,0.93970
1986,30-45 y.,Urban regions,Yes,0.05084,128,2545,0.04231,0.05938
1986,30-45 y.,Urban regions,No,0.92883,2417,2545,0.91884,0.93882
1986,30-45 y.,Rural regions,Yes,0.06342,39,656,0.04475,0.08208
1986,30-45 y.,Rural regions,No,0.91254,617,656,0.89091,0.93418
1986,46-65 y.,Urban regions,Yes,0.03670,116,2500,0.02933,0.04407
1986,46-65 y.,Urban regions,No,0.94690,2384,2500,0.93810,0.95569
1986,46-65 y.,Rural regions,Yes,0.05378,37,669,0.03667,0.07089
1986,46-65 y.,Rural regions,No,0.93629,632,669,0.91777,0.95481
1986,66 and older,Urban regions,No,0.98387,750,750,0.97484,0.99289
1986,66 and older,Rural regions,No,0.98582,263,263,0.97150,1.00014
1987,17-29 y.,Urban regions,Yes,0.05239,132,2341,0.04336,0.06142
1987,17-29 y.,Urban regions,No,0.93524,2209,2341,0.92527,0.94521
1987,17-29 y.,Rural regions,Yes,0.05585,44,637,0.03800,0.07370
1987,17-29 y.,Rural regions,No,0.93925,593,637,0.92069,0.95782
1987,30-45 y.,Urban regions,Yes,0.03831,103,2508,0.03080,0.04583
1987,30-45 y.,Urban regions,No,0.95784,2405,2508,0.94997,0.96570
1987,30-45 y.,Rural regions,Yes,0.05452,32,641,0.03693,0.07211
1987,30-45 y.,Rural regions,No,0.93456,609,641,0.91540,0.95372
1987,46-65 y.,Urban regions,Yes,0.04841,149,2521,0.04003,0.05679
1987,46-65 y.,Urban regions,No,0.93680,2372,2521,0.92730,0.94630
1987,46-65 y.,Rural regions,Yes,0.05094,40,656,0.03410,0.06778
1987,46-65 y.,Rural regions,No,0.94461,616,656,0.92709,0.96212
1987,66 and older,Urban regions,No,0.98182,784,784,0.97246,0.99118
1987,66 and older,Rural regions,No,0.97678,266,266,0.95864,0.99491
1988,17-29 y.,Urban regions,Yes,0.04335,123,2259,0.03495,0.05175
1988,17-29 y.,Urban regions,No,0.94798,2136,2259,0.93882,0.95714
1988,17-29 y.,Rural regions,Yes,0.09088,50,572,0.06730,0.11445
1988,17-29 y.,Rural regions,No,0.90224,522,572,0.87788,0.92660
1988,30-45 y.,Urban regions,Yes,0.04045,92,2294,0.03239,0.04852
1988,30-45 y.,Urban regions,No,0.94626,2202,2294,0.93703,0.95549
1988,30-45 y.,Rural regions,Yes,0.07554,37,612,0.05458,0.09649
1988,30-45 y.,Rural regions,No,0.91381,575,612,0.89156,0.93606
1988,46-65 y.,Urban regions,Yes,0.05024,151,2435,0.04157,0.05892
1988,46-65 y.,Urban regions,No,0.93696,2284,2435,0.92730,0.94661
1988,46-65 y.,Rural regions,Yes,0.04852,38,622,0.03162,0.06542
1988,46-65 y.,Rural regions,No,0.93715,584,622,0.91806,0.95623
1988,66 and older,Urban regions,No,0.98505,768,768,0.97646,0.99363
1988,66 and older,Rural regions,No,0.98290,252,252,0.96686,0.99894
1989,17-29 y.,Urban regions,Yes,0.03471,90,2002,0.02669,0.04273
1989,17-29 y.,Urban regions,No,0.91340,1912,2002,0.90108,0.92573
1989,17-29 y.,Rural regions,Yes,0.06241,34,529,0.04178,0.08305
1989,17-29 y.,Rural regions,No,0.88548,495,529,0.85832,0.91264
1989,30-45 y.,Urban regions,Yes,0.02443,62,2083,0.01780,0.03106
1989,30-45 y.,Urban regions,No,0.93562,2021,2083,0.92508,0.94616
1989,30-45 y.,Rural regions,No,0.90253,502,502,0.87656,0.92850
1989,46-65 y.,Urban regions,Yes,0.04662,123,2159,0.03772,0.05551
1989,46-65 y.,Urban regions,No,0.90594,2036,2159,0.89363,0.91826
1989,46-65 y.,Rural regions,No,0.92770,535,535,0.90573,0.94967
1989,66 and older,Urban regions,No,0.94456,719,719,0.92782,0.96130
1989,66 and older,Rural regions,No,0.90636,229,229,0.86854,0.94417
1990,17-29 y.,Urban regions,Yes,0.03078,86,2055,0.02331,0.03825
1990,17-29 y.,Urban regions,No,0.82029,1969,2055,0.80368,0.83689
1990,17-29 y.,Rural regions,No,0.53542,527,527,0.49280,0.57804
1990,30-45 y.,Urban regions,Yes,0.02287,60,2163,0.01656,0.02917
1990,30-45 y.,Urban regions,No,0.84815,2103,2163,0.83302,0.86328
1990,30-45 y.,Rural regions,No,0.53808,516,516,0.49502,0.58113
1990,46-65 y.,Urban regions,Yes,0.03783,120,2227,0.02991,0.04576
1990,46-65 y.,Urban regions,No,0.82507,2107,2227,0.80929,0.84085
1990,46-65 y.,Rural regions,No,0.55109,550,550,0.50948,0.59270
1990,66 and older,Urban regions,No,0.88162,754,754,0.85855,0.90470
1990,66 and older,Rural regions,No,0.60208,244,244,0.54054,0.66362
1991,17-29 y.,Urban regions,Yes,0.03881,110,2389,0.03106,0.04656
1991,17-29 y.,Urban regions,No,0.95268,2279,2389,0.94417,0.96120
1991,17-29 y.,Rural regions,Yes,0.07720,104,1236,0.06232,0.09209
1991,17-29 y.,Rural regions,No,0.91115,1132,1236,0.89529,0.92702
1991,30-45 y.,Urban regions,Yes,0.04290,126,2698,0.03525,0.05055
1991,30-45 y.,Urban regions,No,0.94440,2572,2698,0.93575,0.95305
1991,30-45 y.,Rural regions,Yes,0.06401,128,1519,0.05170,0.07633
1991,30-45 y.,Rural regions,No,0.92101,1391,1519,0.90744,0.93458
1991,46-65 y.,Urban regions,Yes,0.04776,156,2631,0.03961,0.05591
1991,46-65 y.,Urban regions,No,0.93359,2475,2631,0.92408,0.94311
1991,46-65 y.,Rural regions,Yes,0.06663,119,1402,0.05357,0.07969
1991,46-65 y.,Rural regions,No,0.91993,1283,1402,0.90572,0.93414
1991,66 and older,Urban regions,No,0.95934,870,870,0.94620,0.97247
1991,66 and older,Rural regions,No,0.97705,517,517,0.96413,0.98997
1992,17-29 y.,Urban regions,Yes,0.04565,120,2317,0.03715,0.05415
1992,17-29 y.,Urban regions,No,0.93659,2197,2317,0.92667,0.94652
1992,17-29 y.,Rural regions,Yes,0.09642,114,1170,0.07950,0.11334
1992,17-29 y.,Rural regions,No,0.89508,1056,1170,0.87752,0.91265
1992,30-45 y.,Urban regions,Yes,0.04757,154,2683,0.03951,0.05563
1992,30-45 y.,Urban regions,No,0.94102,2529,2683,0.93211,0.94994
1992,30-45 y.,Rural regions,Yes,0.09314,175,1478,0.07832,0.10797
1992,30-45 y.,Rural regions,No,0.89683,1303,1478,0.88132,0.91234
1992,46-65 y.,Urban regions,Yes,0.06737,213,2582,0.05770,0.07704
1992,46-65 y.,Urban regions,No,0.90256,2369,2582,0.89112,0.91400
