year,sampreg,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,West,Yes,0.03605,551,10867,0.03254,0.03955
1985,West,No,0.79316,10316,10867,0.78554,0.80078
1986,West,Yes,0.03479,514,10389,0.03127,0.03831
1986,West,No,0.78910,9875,10389,0.78126,0.79695
1987,West,Yes,0.03289,500,10354,0.02946,0.03633
1987,West,No,0.79277,9854,10354,0.78497,0.80058
1988,West,Yes,0.03487,492,9815,0.03124,0.03850
1988,West,No,0.79041,9323,9815,0.78236,0.79847
1989,West,Yes,0.02706,359,8808,0.02367,0.03045
1989,West,No,0.76887,8449,8808,0.76006,0.77767
1990,West,Yes,0.02575,342,9112,0.02250,0.02900
1990,West,No,0.77623,8770,9112,0.76767,0.78479
1991,West,Yes,0.02461,352,9250,0.02145,0.02777
1991,West,No,0.78761,8898,9250,0.77927,0.79594
1991,East,Yes,0.07671,405,4106,0.06857,0.08485
1991,East,No,0.72369,3701,4106,0.71001,0.73737
1992,West,Yes,0.02664,362,9115,0.02333,0.02994
1992,West,No,0.77685,8753,9115,0.76830,0.78539
1992,East,Yes,0.11610,569,3912,0.10606,0.12614
1992,East,No,0.68349,3343,3912,0.66891,0.69807
1993,West,Yes,0.03255,430,9125,0.02891,0.03619
1993,West,No,0.78330,8695,9125,0.77485,0.79175
1993,East,Yes,0.11809,553,3791,0.10781,0.12836
1993,East,No,0.68695,3238,3791,0.67219,0.70172
1994,West,Yes,0.04104,544,9028,0.03695,0.04514
1994,West,No,0.77592,8484,9028,0.76731,0.78452
1994,East,Yes,0.12114,555,3740,0.11068,0.13160
1994,East,No,0.68735,3185,3740,0.67249,0.70221
1995,West,Yes,0.04536,608,9486,0.04117,0.04955
1995,West,No,0.76406,8878,9486,0.75551,0.77260
1995,East,Yes,0.10158,457,3637,0.09176,0.11140
1995,East,No,0.70969,3180,3637,0.69494,0.72444
1996,West,Yes,0.04568,582,9176,0.04141,0.04995
1996,West,No,0.75761,8594,9176,0.74884,0.76638
1996,East,Yes,0.10219,467,3572,0.09226,0.11213
1996,East,No,0.69821,3105,3572,0.68315,0.71326
1997,West,Yes,0.04993,626,9193,0.04548,0.05439
1997,West,No,0.77116,8567,9193,0.76257,0.77975
1997,East,Yes,0.10778,458,3634,0.09770,0.11787
1997,East,No,0.72906,3176,3634,0.71461,0.74351
1998,West,Yes,0.04415,611,10288,0.04018,0.04812
1998,West,No,0.77336,9677,10288,0.76527,0.78145
1998,East,Yes,0.11315,539,3825,0.10311,0.12319
1998,East,No,0.71627,3286,3825,0.70198,0.73056
1999,West,Yes,0.03926,509,9866,0.03543,0.04309
1999,West,No,0.78280,9357,9866,0.77466,0.79094
1999,East,Yes,0.09621,443,3749,0.08677,0.10565
1999,East,No,0.74309,3306,3749,0.72911,0.75708
2000,West,Yes,0.03176,789,18259,0.02922,0.03431
2000,West,No,0.79108,17470,18259,0.78518,0.79698
2000,East,Yes,0.09700,712,5848,0.08941,0.10459
2000,East,No,0.75125,5136,5848,0.74017,0.76233
2001,West,Yes,0.03689,738,16486,0.03401,0.03977
2001,West,No,0.78575,15748,16486,0.77948,0.79201
2001,East,Yes,0.09970,664,5435,0.09173,0.10766
2001,East,No,0.75797,4771,5435,0.74658,0.76936
2002,West,Yes,0.04156,764,17597,0.03862,0.04451
2002,West,No,0.78225,16833,17597,0.77615,0.78835
2002,East,Yes,0.11111,659,5429,0.10275,0.11947
2002,East,No,0.75319,4770,5429,0.74172,0.76466
2003,West,Yes,0.04739,837,16820,0.04418,0.05060
2003,West,No,0.77763,15983,16820,0.77135,0.78392
2003,East,Yes,0.11900,699,5344,0.11032,0.12768
2003,East,No,0.74863,4645,5344,0.73699,0.76026
2004,West,Yes,0.05225,884,16389,0.04884,0.05566
2004,West,No,0.77669,15505,16389,0.77032,0.78307
2004,East,Yes,0.12423,655,5223,0.11528,0.13318
2004,East,No,0.74901,4568,5223,0.73725,0.76077
2005,West,Yes,0.05492,859,15660,0.05136,0.05849
2005,West,No,0.77963,14801,15660,0.77314,0.78613
2005,East,Yes,0.12246,629,5037,0.11340,0.13151
2005,East,No,0.75111,4408,5037,0.73916,0.76305
2006,West,Yes,0.05690,957,16692,0.05339,0.06042
2006,West,No,0.77001,15735,16692,0.76363,0.77640
2006,East,Yes,0.12493,682,5275,0.11601,0.13385
2006,East,No,0.74331,4593,5275,0.73152,0.75510
2007,West,Yes,0.05224,781,15498,0.04873,0.05574
2007,West,No,0.77422,14717,15498,0.76764,0.78081
