year,sex,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,male,Yes,0.04276,305,5357,0.03734,0.04818
1985,male,No,0.77709,5052,5357,0.76594,0.78823
1985,female,Yes,0.02993,246,5510,0.02543,0.03443
1985,female,No,0.80782,5264,5510,0.79741,0.81822
1986,male,Yes,0.03508,250,5150,0.03006,0.04011
1986,male,No,0.78226,4900,5150,0.77098,0.79353
1986,female,Yes,0.03452,264,5239,0.02958,0.03946
1986,female,No,0.79537,4975,5239,0.78445,0.80630
1987,male,Yes,0.03555,264,5136,0.03049,0.04062
1987,male,No,0.78112,4872,5136,0.76981,0.79243
1987,female,Yes,0.03044,236,5218,0.02578,0.03510
1987,female,No,0.80352,4982,5218,0.79274,0.81431
1988,male,Yes,0.03775,267,4858,0.03239,0.04311
1988,male,No,0.77724,4591,4858,0.76554,0.78894
1988,female,Yes,0.03219,225,4957,0.02727,0.03710
1988,female,No,0.80266,4732,4957,0.79158,0.81374
1989,male,Yes,0.02823,189,4381,0.02332,0.03314
1989,male,No,0.76427,4192,4381,0.75170,0.77684
1989,female,Yes,0.02597,170,4427,0.02128,0.03065
1989,female,No,0.77315,4257,4427,0.76081,0.78549
1990,male,Yes,0.02215,186,4495,0.01785,0.02645
1990,male,No,0.60752,4309,4495,0.59324,0.62179
1990,female,Yes,0.01879,156,4617,0.01488,0.02271
1990,female,No,0.62293,4461,4617,0.60895,0.63691
1991,male,Yes,0.03815,380,6530,0.03351,0.04280
1991,male,No,0.76190,6150,6530,0.75157,0.77223
1991,female,Yes,0.03287,377,6826,0.02864,0.03710
1991,female,No,0.78600,6449,6826,0.77627,0.79573
1992,male,Yes,0.04332,402,6340,0.03831,0.04833
1992,male,No,0.75163,5938,6340,0.74099,0.76227
1992,female,Yes,0.04637,529,6687,0.04133,0.05141
1992,female,No,0.76362,6158,6687,0.75344,0.77380
1993,male,Yes,0.05111,447,6285,0.04566,0.05655
1993,male,No,0.75527,5838,6285,0.74464,0.76590
1993,female,Yes,0.04868,536,6631,0.04350,0.05386
1993,female,No,0.77190,6095,6631,0.76180,0.78200
1994,male,Yes,0.05888,514,6161,0.05300,0.06476
1994,male,No,0.74466,5647,6161,0.73377,0.75555
1994,female,Yes,0.05520,585,6607,0.04969,0.06071
1994,female,No,0.77122,6022,6607,0.76109,0.78135
1995,male,Yes,0.05583,482,6351,0.05019,0.06148
1995,male,No,0.74534,5869,6351,0.73462,0.75606
1995,female,Yes,0.05657,583,6772,0.05107,0.06207
1995,female,No,0.76139,6189,6772,0.75124,0.77154
1996,male,Yes,0.05802,499,6168,0.05218,0.06385
1996,male,No,0.73678,5669,6168,0.72579,0.74778
1996,female,Yes,0.05483,550,6580,0.04932,0.06033
1996,female,No,0.75549,6030,6580,0.74511,0.76588
1997,male,Yes,0.06606,544,6208,0.05988,0.07224
1997,male,No,0.74678,5664,6208,0.73596,0.75760
1997,female,Yes,0.05577,540,6619,0.05024,0.06129
1997,female,No,0.77899,6079,6619,0.76900,0.78899
1998,male,Yes,0.06115,578,6817,0.05546,0.06684
1998,male,No,0.74745,6239,6817,0.73714,0.75777
1998,female,Yes,0.05347,572,7296,0.04831,0.05863
1998,female,No,0.77696,6724,7296,0.76741,0.78652
1999,male,Yes,0.05433,486,6582,0.04885,0.05980
1999,male,No,0.76293,6096,6582,0.75266,0.77321
1999,female,Yes,0.04547,466,7033,0.04060,0.05034
1999,female,No,0.78744,6567,7033,0.77787,0.79700
2000,male,Yes,0.04649,747,11583,0.04265,0.05032
2000,male,No,0.77156,10836,11583,0.76392,0.77921
2000,female,Yes,0.04147,754,12524,0.03798,0.04496
2000,female,No,0.79523,11770,12524,0.78817,0.80230
2001,male,Yes,0.05199,692,10525,0.04775,0.05623
2001,male,No,0.76901,9833,10525,0.76095,0.77706
2001,female,Yes,0.04494,710,11396,0.04113,0.04874
2001,female,No,0.79184,10686,11396,0.78439,0.79930
2002,male,Yes,0.05873,713,11127,0.05436,0.06310
2002,male,No,0.76375,10414,11127,0.75586,0.77165
2002,female,Yes,0.04991,710,11899,0.04600,0.05383
2002,female,No,0.78964,11189,11899,0.78231,0.79696
2003,male,Yes,0.06622,778,10676,0.06151,0.07094
2003,male,No,0.75867,9898,10676,0.75055,0.76679
2003,female,Yes,0.05471,758,11488,0.05055,0.05887
2003,female,No,0.78557,10730,11488,0.77807,0.79308
2004,male,Yes,0.07271,786,10380,0.06771,0.07770
2004,male,No,0.75691,9594,10380,0.74865,0.76516
2004,female,Yes,0.05783,753,11232,0.05351,0.06215
2004,female,No,0.78603,10479,11232,0.77844,0.79361
2005,male,Yes,0.07511,762,9898,0.06991,0.08030
2005,male,No,0.75794,9136,9898,0.74950,0.76638
2005,female,Yes,0.05935,726,10799,0.05489,0.06381
2005,female,No,0.79045,10073,10799,0.78277,0.79812
2006,male,Yes,0.07271,812,10471,0.06774,0.07769
2006,male,No,0.75330,9659,10471,0.74504,0.76156
2006,female,Yes,0.06583,827,11496,0.06130,0.07036
2006,female,No,0.77664,10669,11496,0.76902,0.78425
2007,male,Yes,0.06171,619,9773,0.05694,0.06648
