year,age_gr,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Yes,0.06279,216,3098,0.05425,0.07134
1985,17-29 y.,No,0.93054,2882,3098,0.92159,0.93949
1985,30-45 y.,Yes,0.05538,183,3439,0.04773,0.06302
1985,30-45 y.,No,0.93634,3256,3439,0.92818,0.94450
1985,46-65 y.,Yes,0.04071,152,3246,0.03391,0.04751
1985,46-65 y.,No,0.94713,3094,3246,0.93943,0.95483
1985,66 and older,No,0.97944,1084,1084,0.97099,0.98790
1986,17-29 y.,Yes,0.05886,194,3006,0.05045,0.06728
1986,17-29 y.,No,0.92769,2812,3006,0.91843,0.93695
1986,30-45 y.,Yes,0.05375,167,3201,0.04594,0.06156
1986,30-45 y.,No,0.92506,3034,3201,0.91594,0.93419
1986,46-65 y.,Yes,0.04078,153,3169,0.03389,0.04766
1986,46-65 y.,No,0.94436,3016,3169,0.93638,0.95234
1986,66 and older,No,0.98438,1013,1013,0.97674,0.99202
1987,17-29 y.,Yes,0.05323,176,2978,0.04516,0.06129
1987,17-29 y.,No,0.93621,2802,2978,0.92743,0.94499
1987,30-45 y.,Yes,0.04206,135,3149,0.03504,0.04907
1987,30-45 y.,No,0.95246,3014,3149,0.94503,0.95989
1987,46-65 y.,Yes,0.04900,189,3177,0.04149,0.05651
1987,46-65 y.,No,0.93863,2988,3177,0.93029,0.94698
1987,66 and older,No,0.98051,1050,1050,0.97214,0.98888
1988,17-29 y.,Yes,0.05439,173,2831,0.04604,0.06275
1988,17-29 y.,No,0.93735,2658,2831,0.92842,0.94628
1988,30-45 y.,Yes,0.04859,129,2906,0.04077,0.05640
1988,30-45 y.,No,0.93874,2777,2906,0.93001,0.94746
1988,46-65 y.,Yes,0.04984,189,3057,0.04212,0.05755
1988,46-65 y.,No,0.93700,2868,3057,0.92839,0.94561
1988,66 and older,No,0.98450,1020,1020,0.97692,0.99209
1989,17-29 y.,Yes,0.04105,124,2531,0.03332,0.04878
1989,17-29 y.,No,0.90701,2407,2531,0.89570,0.91833
1989,30-45 y.,Yes,0.02881,82,2605,0.02238,0.03523
1989,30-45 y.,No,0.92832,2523,2605,0.91841,0.93823
1989,46-65 y.,Yes,0.04699,153,2724,0.03904,0.05494
1989,46-65 y.,No,0.91092,2571,2724,0.90022,0.92161
1989,66 and older,No,0.93485,948,948,0.91913,0.95057
1990,17-29 y.,Yes,0.03139,116,2612,0.02470,0.03807
1990,17-29 y.,No,0.72620,2496,2612,0.70909,0.74330
1990,30-45 y.,Yes,0.02199,78,2697,0.01645,0.02753
1990,30-45 y.,No,0.75358,2619,2697,0.73731,0.76984
1990,46-65 y.,Yes,0.03537,148,2805,0.02853,0.04220
1990,46-65 y.,No,0.73620,2657,2805,0.71989,0.75251
1990,66 and older,No,0.78965,998,998,0.76435,0.81495
1991,17-29 y.,Yes,0.05205,219,3649,0.04484,0.05926
1991,17-29 y.,No,0.93823,3430,3649,0.93042,0.94604
1991,30-45 y.,Yes,0.04909,255,4257,0.04260,0.05558
1991,30-45 y.,No,0.93760,4002,4257,0.93033,0.94487
1991,46-65 y.,Yes,0.05422,277,4051,0.04724,0.06119
1991,46-65 y.,No,0.92875,3774,4051,0.92083,0.93667
1991,66 and older,No,0.96518,1393,1393,0.95555,0.97481
1992,17-29 y.,Yes,0.06257,238,3524,0.05457,0.07057
1992,17-29 y.,No,0.92284,3286,3524,0.91402,0.93165
1992,30-45 y.,Yes,0.06128,334,4210,0.05403,0.06852
1992,30-45 y.,No,0.92749,3876,4210,0.91965,0.93532
1992,46-65 y.,Yes,0.07189,354,3920,0.06380,0.07998
1992,46-65 y.,No,0.89720,3566,3920,0.88770,0.90671
1992,66 and older,No,0.94339,1368,1368,0.93114,0.95564
1993,17-29 y.,Yes,0.07418,274,3422,0.06540,0.08296
1993,17-29 y.,No,0.91503,3148,3422,0.90569,0.92437
1993,30-45 y.,Yes,0.06362,329,4149,0.05619,0.07105
1993,30-45 y.,No,0.92807,3820,4149,0.92021,0.93593
1993,46-65 y.,Yes,0.08248,378,3900,0.07384,0.09111
1993,46-65 y.,No,0.90719,3522,3900,0.89808,0.91629
1993,66 and older,No,0.97765,1443,1443,0.97002,0.98528
1994,17-29 y.,Yes,0.08288,290,3314,0.07350,0.09227
1994,17-29 y.,No,0.90757,3024,3314,0.89771,0.91743
1994,30-45 y.,Yes,0.07347,384,4127,0.06551,0.08143
1994,30-45 y.,No,0.92243,3743,4127,0.91427,0.93059
1994,46-65 y.,Yes,0.09639,422,3858,0.08707,0.10570
1994,46-65 y.,No,0.89538,3436,3858,0.88572,0.90503
1994,66 and older,No,0.98337,1466,1466,0.97682,0.98992
1995,17-29 y.,Yes,0.07427,255,3313,0.06534,0.08320
1995,17-29 y.,No,0.91358,3058,3313,0.90401,0.92315
1995,30-45 y.,Yes,0.07277,373,4417,0.06511,0.08043
1995,30-45 y.,No,0.92039,4044,4417,0.91241,0.92837
1995,46-65 y.,Yes,0.10007,436,3917,0.09067,0.10947
1995,46-65 y.,No,0.88691,3481,3917,0.87699,0.89683
1995,66 and older,No,0.96738,1475,1475,0.95831,0.97645
1996,17-29 y.,Yes,0.07938,255,3087,0.06984,0.08892
1996,17-29 y.,No,0.89511,2832,3087,0.88430,0.90592
1996,30-45 y.,Yes,0.06768,347,4353,0.06022,0.07515
