year,migback,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Yes,0.03435,325,7899,0.03034,0.03837
1985,No migration background,No,0.81057,7574,7899,0.80193,0.81921
1985,Direct migration background,Yes,0.06277,218,2832,0.05383,0.07170
1985,Direct migration background,No,0.83357,2614,2832,0.81985,0.84729
1985,Indirect migration background,No,0.13476,128,128,0.07537,0.19415
1986,No migration background,Yes,0.03295,300,7480,0.02890,0.03699
1986,No migration background,No,0.80732,7180,7480,0.79838,0.81626
1986,Direct migration background,Yes,0.06168,208,2760,0.05270,0.07065
1986,Direct migration background,No,0.83899,2552,2760,0.82527,0.85270
1986,Indirect migration background,No,0.13273,143,143,0.07693,0.18854
1987,No migration background,Yes,0.03083,276,7386,0.02689,0.03477
1987,No migration background,No,0.81111,7110,7386,0.80219,0.82004
1987,Direct migration background,Yes,0.06106,215,2797,0.05219,0.06994
1987,Direct migration background,No,0.86404,2582,2797,0.85134,0.87675
1987,Indirect migration background,No,0.13497,162,162,0.08219,0.18776
1988,No migration background,Yes,0.03282,273,7003,0.02865,0.03699
1988,No migration background,No,0.81025,6730,7003,0.80106,0.81943
1988,Direct migration background,Yes,0.06433,210,2598,0.05489,0.07377
1988,Direct migration background,No,0.85108,2388,2598,0.83738,0.86477
1988,Indirect migration background,No,0.15065,205,205,0.10156,0.19974
1989,No migration background,Yes,0.02579,220,6579,0.02196,0.02962
1989,No migration background,No,0.79570,6359,6579,0.78596,0.80545
1989,Direct migration background,Yes,0.04614,129,2034,0.03702,0.05526
1989,Direct migration background,No,0.77486,1905,2034,0.75671,0.79302
1989,Indirect migration background,No,0.15313,185,185,0.10109,0.20516
1990,No migration background,Yes,0.01854,187,6420,0.01524,0.02185
1990,No migration background,No,0.61528,6233,6420,0.60338,0.62718
1990,Direct migration background,Yes,0.04669,148,2406,0.03826,0.05513
1990,Direct migration background,No,0.79358,2258,2406,0.77740,0.80975
1990,Indirect migration background,No,0.17796,279,279,0.13300,0.22292
1991,No migration background,Yes,0.03423,564,10468,0.03074,0.03771
1991,No migration background,No,0.78864,9904,10468,0.78082,0.79646
1991,Direct migration background,Yes,0.05966,178,2549,0.05046,0.06885
1991,Direct migration background,No,0.88477,2371,2549,0.87237,0.89717
1991,Indirect migration background,No,0.19756,324,324,0.15414,0.24099
1992,No migration background,Yes,0.04406,722,10127,0.04007,0.04806
1992,No migration background,No,0.76880,9405,10127,0.76059,0.77701
1992,Direct migration background,Yes,0.06781,191,2502,0.05796,0.07766
1992,Direct migration background,No,0.88676,2311,2502,0.87434,0.89918
1992,Indirect migration background,No,0.23590,380,380,0.19316,0.27865
1993,No migration background,Yes,0.04989,765,10076,0.04564,0.05415
1993,No migration background,No,0.77476,9311,10076,0.76660,0.78292
1993,Direct migration background,Yes,0.06789,197,2393,0.05781,0.07797
1993,Direct migration background,No,0.89188,2196,2393,0.87943,0.90432
1993,Indirect migration background,No,0.28454,426,426,0.24165,0.32744
1994,No migration background,Yes,0.05529,821,9958,0.05080,0.05978
1994,No migration background,No,0.76942,9137,9958,0.76114,0.77769
1994,Direct migration background,Yes,0.08929,242,2330,0.07771,0.10087
1994,Direct migration background,No,0.88596,2088,2330,0.87305,0.89887
1994,Indirect migration background,Yes,0.02038,36,480,0.00772,0.03303
1994,Indirect migration background,No,0.29723,444,480,0.25630,0.33816
1995,No migration background,Yes,0.05165,727,9889,0.04729,0.05602
1995,No migration background,No,0.76875,9162,9889,0.76044,0.77706
1995,Direct migration background,Yes,0.09976,296,2737,0.08854,0.11099
1995,Direct migration background,No,0.82273,2441,2737,0.80842,0.83704
1995,Indirect migration background,Yes,0.02181,42,497,0.00895,0.03466
1995,Indirect migration background,No,0.29138,455,497,0.25139,0.33137
1996,No migration background,Yes,0.05182,733,9670,0.04740,0.05624
1996,No migration background,No,0.76161,8937,9670,0.75311,0.77010
1996,Direct migration background,Yes,0.09966,269,2548,0.08802,0.11129
1996,Direct migration background,No,0.82475,2279,2548,0.80999,0.83952
1996,Indirect migration background,Yes,0.02592,47,530,0.01238,0.03947
1996,Indirect migration background,No,0.29442,483,530,0.25558,0.33326
1997,No migration background,Yes,0.05762,755,9790,0.05300,0.06224
1997,No migration background,No,0.77721,9035,9790,0.76896,0.78545
1997,Direct migration background,Yes,0.09588,282,2470,0.08427,0.10749
1997,Direct migration background,No,0.85035,2188,2470,0.83628,0.86443
1997,Indirect migration background,Yes,0.02941,47,567,0.01549,0.04333
1997,Indirect migration background,No,0.33496,520,567,0.29608,0.37385
1998,No migration background,Yes,0.05381,838,11153,0.04962,0.05799
1998,No migration background,No,0.77884,10315,11153,0.77113,0.78654
1998,Direct migration background,Yes,0.09196,254,2368,0.08032,0.10360
1998,Direct migration background,No,0.84221,2114,2368,0.82752,0.85690
1998,Indirect migration background,Yes,0.03473,58,592,0.01997,0.04949
1998,Indirect migration background,No,0.35209,534,592,0.31358,0.39060
1999,No migration background,Yes,0.04710,702,10817,0.04311,0.05109
1999,No migration background,No,0.79208,10115,10817,0.78444,0.79973
1999,Direct migration background,Yes,0.08290,212,2195,0.07136,0.09443
1999,Direct migration background,No,0.86363,1983,2195,0.84927,0.87799
1999,Indirect migration background,Yes,0.02318,38,603,0.01116,0.03519
1999,Indirect migration background,No,0.37286,565,603,0.33423,0.41149
2000,No migration background,Yes,0.04257,1181,19985,0.03977,0.04537
2000,No migration background,No,0.80259,18804,19985,0.79707,0.80811
2000,Direct migration background,Yes,0.06632,279,3305,0.05783,0.07480
2000,Direct migration background,No,0.85191,3026,3305,0.83980,0.86402
2000,Indirect migration background,Yes,0.01813,41,817,0.00898,0.02729
2000,Indirect migration background,No,0.37201,776,817,0.33884,0.40517
2001,No migration background,Yes,0.04603,1107,18241,0.04299,0.04907
2001,No migration background,No,0.80224,17134,18241,0.79646,0.80802
2001,Direct migration background,Yes,0.08007,241,2916,0.07022,0.08993
2001,Direct migration background,No,0.85575,2675,2916,0.84299,0.86850
2001,Indirect migration background,Yes,0.02238,54,764,0.01188,0.03287
2001,Indirect migration background,No,0.35106,710,764,0.31720,0.38493
2002,No migration background,Yes,0.05233,1144,19461,0.04920,0.05546
2002,No migration background,No,0.79717,18317,19461,0.79152,0.80282
2002,Direct migration background,Yes,0.08329,230,2797,0.07305,0.09353
2002,Direct migration background,No,0.86090,2567,2797,0.84807,0.87372
2002,Indirect migration background,Yes,0.02619,49,768,0.01489,0.03749
2002,Indirect migration background,No,0.34921,719,768,0.31547,0.38295
2003,No migration background,Yes,0.05826,1245,18771,0.05491,0.06161
2003,No migration background,No,0.79314,17526,18771,0.78735,0.79894
2003,Direct migration background,Yes,0.09037,229,2618,0.07939,0.10136
2003,Direct migration background,No,0.85790,2389,2618,0.84453,0.87128
2003,Indirect migration background,Yes,0.03443,62,775,0.02158,0.04727
2003,Indirect migration background,No,0.35782,713,775,0.32405,0.39160
2004,No migration background,Yes,0.06168,1221,18280,0.05819,0.06517
