year,quintil_oecd,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Yes,0.07504,234,2184,0.06399,0.08610
1985,1st Quintile,No,0.68648,1950,2184,0.66701,0.70594
1985,2nd Quintile,Yes,0.03959,122,2128,0.03131,0.04788
1985,2nd Quintile,No,0.74746,2006,2128,0.72899,0.76592
1985,3rd Quintile,Yes,0.03169,93,2182,0.02434,0.03904
1985,3rd Quintile,No,0.80393,2089,2182,0.78727,0.82059
1985,4th Quintile,Yes,0.01645,55,2207,0.01114,0.02176
1985,4th Quintile,No,0.84867,2152,2207,0.83372,0.86363
1985,5th Quintile,Yes,0.01756,47,2158,0.01201,0.02310
1985,5th Quintile,No,0.87869,2111,2158,0.86491,0.89247
1986,1st Quintile,Yes,0.07420,219,2034,0.06281,0.08560
1986,1st Quintile,No,0.69715,1815,2034,0.67717,0.71712
1986,2nd Quintile,Yes,0.03138,103,2038,0.02381,0.03895
1986,2nd Quintile,No,0.74870,1935,2038,0.72986,0.76754
1986,3rd Quintile,Yes,0.02386,74,2056,0.01726,0.03046
1986,3rd Quintile,No,0.78514,1982,2056,0.76738,0.80289
1986,4th Quintile,Yes,0.02633,71,2181,0.01961,0.03305
1986,4th Quintile,No,0.83926,2110,2181,0.82384,0.85468
1986,5th Quintile,Yes,0.01616,44,2074,0.01074,0.02159
1986,5th Quintile,No,0.87694,2030,2074,0.86280,0.89109
1987,1st Quintile,Yes,0.06844,214,2000,0.05737,0.07951
1987,1st Quintile,No,0.70394,1786,2000,0.68392,0.72395
1987,2nd Quintile,Yes,0.02482,86,2031,0.01805,0.03158
1987,2nd Quintile,No,0.75288,1945,2031,0.73412,0.77165
1987,3rd Quintile,Yes,0.03200,93,2079,0.02443,0.03957
1987,3rd Quintile,No,0.78025,1986,2079,0.76245,0.79806
1987,4th Quintile,Yes,0.02199,61,2175,0.01583,0.02816
1987,4th Quintile,No,0.85106,2114,2175,0.83609,0.86602
1987,5th Quintile,Yes,0.01725,46,2066,0.01163,0.02286
1987,5th Quintile,No,0.87563,2020,2066,0.86139,0.88986
1988,1st Quintile,Yes,0.06529,193,1921,0.05424,0.07634
1988,1st Quintile,No,0.70167,1728,1921,0.68121,0.72214
1988,2nd Quintile,Yes,0.02603,77,1950,0.01896,0.03310
1988,2nd Quintile,No,0.74992,1873,1950,0.73069,0.76914
1988,3rd Quintile,Yes,0.03460,95,1981,0.02655,0.04265
1988,3rd Quintile,No,0.78678,1886,1981,0.76874,0.80482
1988,4th Quintile,Yes,0.03360,91,2043,0.02578,0.04142
1988,4th Quintile,No,0.82750,1952,2043,0.81111,0.84389
1988,5th Quintile,Yes,0.01481,36,1918,0.00940,0.02021
1988,5th Quintile,No,0.88601,1882,1918,0.87179,0.90024
1989,1st Quintile,Yes,0.05188,135,1634,0.04112,0.06263
1989,1st Quintile,No,0.67556,1499,1634,0.65285,0.69826
1989,2nd Quintile,Yes,0.02603,82,1744,0.01856,0.03351
1989,2nd Quintile,No,0.70717,1662,1744,0.68581,0.72854
1989,3rd Quintile,Yes,0.02485,58,1752,0.01756,0.03215
1989,3rd Quintile,No,0.76994,1694,1752,0.75022,0.78965
1989,4th Quintile,Yes,0.01875,51,1918,0.01268,0.02482
1989,4th Quintile,No,0.83487,1867,1918,0.81825,0.85149
