"hlf0633","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"0","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"0","2017","2","Staedtischer Raum","366","0.154370049831997","0.140626860530323","0.168113239133671"
"0","2017","2","Laendlicher Raum","221","","",""
"0","2017","3","Staedtischer Raum","415","0.192689396985171","0.177461493388016","0.207917300582326"
"0","2017","3","Laendlicher Raum","230","","",""
"0","2017","4","Staedtischer Raum","747","0.287318873274132","0.271055624129185","0.303582122419078"
"0","2017","4","Laendlicher Raum","292","","",""
"0","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"0","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"1","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"1","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"1","2017","2","Staedtischer Raum","139","","",""
"1","2017","2","Laendlicher Raum","86","0.0692973978658728","0.0554656477489511","0.0831291479827945"
"1","2017","3","Staedtischer Raum","169","","",""
"1","2017","3","Laendlicher Raum","87","0.101548910247025","0.0843219760142281","0.118775844479821"
"1","2017","4","Staedtischer Raum","256","","",""
"1","2017","4","Laendlicher Raum","114","","",""
"1","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"1","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"2","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"2","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"2","2017","2","Staedtischer Raum","211","","",""
"2","2017","2","Laendlicher Raum","71","0.0621302701965457","0.0489829848928586","0.0752775555002327"
"2","2017","3","Staedtischer Raum","246","","",""
"2","2017","3","Laendlicher Raum","135","","",""
"2","2017","4","Staedtischer Raum","369","0.116731638515219","0.105191308273597","0.128271968756841"
"2","2017","4","Laendlicher Raum","137","","",""
"2","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"2","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"3","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"3","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"3","2017","2","Staedtischer Raum","203","","",""
"3","2017","2","Laendlicher Raum","116","","",""
"3","2017","3","Staedtischer Raum","244","","",""
"3","2017","3","Laendlicher Raum","113","","",""
"3","2017","4","Staedtischer Raum","290","","",""
"3","2017","4","Laendlicher Raum","156","","",""
"3","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"3","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"4","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"4","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"4","2017","2","Staedtischer Raum","161","","",""
"4","2017","2","Laendlicher Raum","91","0.0751083541413136","0.0607533686524106","0.0894633396302167"
"4","2017","3","Staedtischer Raum","188","","",""
"4","2017","3","Laendlicher Raum","90","0.10533289162386","0.0878249181009593","0.122840865146761"
"4","2017","4","Staedtischer Raum","206","","",""
"4","2017","4","Laendlicher Raum","101","","",""
"4","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"4","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"5","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"5","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"5","2017","2","Staedtischer Raum","588","0.243544720070458","0.227218080062638","0.259871360078278"
"5","2017","2","Laendlicher Raum","285","","",""
"5","2017","3","Staedtischer Raum","476","0.207847133327511","0.19218079864038","0.223513468014643"
"5","2017","3","Laendlicher Raum","254","","",""
"5","2017","4","Staedtischer Raum","506","0.173877756107005","0.160256355040789","0.18749915717322"
"5","2017","4","Laendlicher Raum","235","","",""
"5","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"5","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"6","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"6","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"6","2017","2","Staedtischer Raum","226","","",""
"6","2017","2","Laendlicher Raum","117","","",""
"6","2017","3","Staedtischer Raum","221","","",""
"6","2017","3","Laendlicher Raum","90","0.0595106910931731","0.0460180312848461","0.0730033509015"
"6","2017","4","Staedtischer Raum","196","","",""
"6","2017","4","Laendlicher Raum","94","0.0825043310545968","0.0673845702564625","0.0976240918527311"
"6","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"6","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"7","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"7","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"7","2017","2","Staedtischer Raum","295","","",""
"7","2017","2","Laendlicher Raum","130","","",""
"7","2017","3","Staedtischer Raum","294","","",""
"7","2017","3","Laendlicher Raum","113","","",""
"7","2017","4","Staedtischer Raum","181","","",""
"7","2017","4","Laendlicher Raum","82","0.0544922344792061","0.0420182731381403","0.0669661958202719"
"7","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"7","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"8","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"8","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"8","2017","2","Staedtischer Raum","234","","",""
"8","2017","2","Laendlicher Raum","87","0.057546783811016","0.0448628596816129","0.0702307079404191"
"8","2017","3","Staedtischer Raum","212","","",""
"8","2017","3","Laendlicher Raum","43","0.0327549182400203","0.0226034311389362","0.0429064053411045"
"8","2017","4","Staedtischer Raum","165","","",""
"8","2017","4","Laendlicher Raum","38","0.0200104396704985","0.012314820363629","0.027706058977368"
"8","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"8","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"9","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"9","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"9","2017","2","Staedtischer Raum","89","0.0289470061797876","0.0225696727946815","0.0353243395648938"
"9","2017","2","Laendlicher Raum","29","","",""
"9","2017","3","Staedtischer Raum","52","0.0270464199735117","0.0207832840682419","0.0333095558787815"
"9","2017","3","Laendlicher Raum","9","0.0131905220699919","0.00668367213769147","0.0196973720022923"
"9","2017","4","Staedtischer Raum","36","0.0119931297525086","0.00808090445210377","0.0159053550529134"
"9","2017","4","Laendlicher Raum","8","0.0108543976939418","0.00516013481901279","0.0165486605688708"
"9","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"9","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"10","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"10","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"10","2017","2","Staedtischer Raum","143","","",""
"10","2017","2","Laendlicher Raum","62","0.0657536720575441","0.0522546001046857","0.0792527440104024"
"10","2017","3","Staedtischer Raum","60","0.022592441874929","0.0168551054717354","0.0283297782781226"
"10","2017","3","Laendlicher Raum","17","","",""
"10","2017","4","Staedtischer Raum","22","","",""
"10","2017","4","Laendlicher Raum","15","","",""
"10","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"10","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"0","2018","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"0","2018","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"0","2018","2","Staedtischer Raum","526","0.178168166710715","0.165068804476516","0.191267528944914"
"0","2018","2","Laendlicher Raum","200","","",""
"0","2018","3","Staedtischer Raum","387","0.149031635013469","0.1353902266294","0.162673043397537"
"0","2018","3","Laendlicher Raum","188","","",""
"0","2018","4","Staedtischer Raum","790","0.252512351733971","0.237350209367934","0.267674494100008"
"0","2018","4","Laendlicher Raum","275","","",""
"0","2018","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"0","2018","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"1","2018","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"1","2018","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"1","2018","2","Staedtischer Raum","132","","",""
"1","2018","2","Laendlicher Raum","94","0.0754370945181855","0.061344114854063","0.0895300741823081"
"1","2018","3","Staedtischer Raum","174","","",""
"1","2018","3","Laendlicher Raum","70","0.0611478471925452","0.0474653730892847","0.0748303212958057"
"1","2018","4","Staedtischer Raum","209","","",""
"1","2018","4","Laendlicher Raum","95","0.0968820278276517","0.0804446796892687","0.113319375966035"
"1","2018","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"1","2018","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"2","2018","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"2","2018","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"2","2018","2","Staedtischer Raum","203","","",""
"2","2018","2","Laendlicher Raum","94","0.0647768080456549","0.0516424297056552","0.0779111863856545"
"2","2018","3","Staedtischer Raum","179","","",""
