"hlf0633","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","2017","Städtischer Raum","1325","0.256306550248694","0.245050174687339","0.267562925810049"
"0","2017","Ländlicher Raum","539","0.222645163197577","0.206472683936044","0.23881764245911"
"1","2017","Städtischer Raum","440","0.0799917374841211","0.0729975032477555","0.0869859717204868"
"1","2017","Ländlicher Raum","194","0.0859919100580032","0.0750934751270505","0.0968903449889559"
"2","2017","Städtischer Raum","594","0.100786952350821","0.0930252818830989","0.108548622818542"
"2","2017","Ländlicher Raum","258","0.115533869688922","0.103107176348004","0.12796056302984"
"3","2017","Städtischer Raum","539","0.0907234724564132","0.0833183956719513","0.0981285492408751"
"3","2017","Ländlicher Raum","246","0.0916587603901465","0.0804418868491027","0.10287563393119"
"4","2017","Städtischer Raum","397","0.0701102284255637","0.0635271630177406","0.0766932938333867"
"4","2017","Ländlicher Raum","180","0.0733069384143511","0.0631748069854182","0.083439069843284"
"5","2017","Städtischer Raum","997","0.171977614278318","0.162248378171655","0.181706850384981"
"5","2017","Ländlicher Raum","490","0.185789370211857","0.170669810894945","0.200908929528769"
"6","2017","Städtischer Raum","407","0.0670760551512024","0.0606265169366161","0.0735255933657887"
"6","2017","Ländlicher Raum","184","0.0692447369693666","0.0593757755046028","0.0791136984341303"
"7","2017","Städtischer Raum","443","0.0661413669590198","0.0597337152720478","0.0725490186459917"
"7","2017","Ländlicher Raum","204","0.0719006388985012","0.0618585530564577","0.0819427247405448"
"8","2017","Städtischer Raum","358","0.0494122069855703","0.0438244824728806","0.05499993149826"
"8","2017","Ländlicher Raum","121","0.0414461646410255","0.0336977875849763","0.0491945416970746"
"9","2017","Städtischer Raum","120","0.0212824352710524","0.0175614230563721","0.0250034474857328"
"9","2017","Ländlicher Raum","44","0.0145792988262129","0.00991979709482867","0.0192388005575972"
"10","2017","Städtischer Raum","159","0.0261913803892242","0.0220738411650938","0.0303089196133545"
"10","2017","Ländlicher Raum","82","0.0279031487040372","0.0215007650820929","0.0343055323259815"
"0","2018","Städtischer Raum","1788","0.236973751362206","0.227139410624208","0.246808092100204"
"0","2018","Ländlicher Raum","691","0.233613396319805","0.218176046285896","0.249050746353714"
"1","2018","Städtischer Raum","435","0.0710433407437477","0.0651019952925704","0.076984686194925"
"1","2018","Ländlicher Raum","177","0.0689313251388185","0.0596886199854389","0.0781740302921981"
"2","2018","Städtischer Raum","586","0.0863711822940444","0.0798744537965952","0.0928679107914936"
"2","2018","Ländlicher Raum","265","0.0993143173843995","0.0884026156012069","0.110226019167592"
"3","2018","Städtischer Raum","635","0.111493853260385","0.10421469651282","0.11877301000795"
"3","2018","Ländlicher Raum","285","0.107985283776041","0.0966621086495458","0.119308458902536"
"4","2018","Städtischer Raum","504","0.0754259119624211","0.0693185095758046","0.0815333143490376"
"4","2018","Ländlicher Raum","238","0.0809508755893998","0.0709995699362899","0.0909021812425097"
"5","2018","Städtischer Raum","1201","0.168320861126025","0.15966775028371","0.176973971968339"
"5","2018","Ländlicher Raum","509","0.191443885113693","0.177089791965569","0.205797978261816"
"6","2018","Städtischer Raum","495","0.0688243018670972","0.0629695011870919","0.0746791025471026"
"6","2018","Ländlicher Raum","196","0.0614047925164859","0.0526460808868167","0.070163504146155"
"7","2018","Städtischer Raum","601","0.0801597291275263","0.073879728014498","0.0864397302405547"
"7","2018","Ländlicher Raum","200","0.063755889722195","0.0548422591155185","0.0726695203288715"
"8","2018","Städtischer Raum","495","0.0609879243491863","0.0554533668245786","0.0665224818737941"
"8","2018","Ländlicher Raum","199","0.0619000865942603","0.0531084423922992","0.0706917307962214"
"9","2018","Städtischer Raum","162","0.01711182554638","0.0141124861116087","0.0201111649811514"
"9","2018","Ländlicher Raum","56","0.0110103404667488","0.00720322387311145","0.0148174570603862"
"10","2018","Städtischer Raum","280","0.0232873183609813","0.019799382066305","0.0267752546556576"
"10","2018","Ländlicher Raum","70","0.0196898073781532","0.0146210393001079","0.0247585754561985"
"0","2019","Städtischer Raum","","","",""
"0","2019","Ländlicher Raum","","","",""
"1","2019","Städtischer Raum","","","",""
"1","2019","Ländlicher Raum","","","",""
"2","2019","Städtischer Raum","","","",""
"2","2019","Ländlicher Raum","","","",""
"3","2019","Städtischer Raum","","","",""
"3","2019","Ländlicher Raum","","","",""
"4","2019","Städtischer Raum","","","",""
"4","2019","Ländlicher Raum","","","",""
"5","2019","Städtischer Raum","","","",""
"5","2019","Ländlicher Raum","","","",""
"6","2019","Städtischer Raum","","","",""
"6","2019","Ländlicher Raum","","","",""
"7","2019","Städtischer Raum","","","",""
"7","2019","Ländlicher Raum","","","",""
"8","2019","Städtischer Raum","","","",""
"8","2019","Ländlicher Raum","","","",""
"9","2019","Städtischer Raum","","","",""
"9","2019","Ländlicher Raum","","","",""
"10","2019","Städtischer Raum","","","",""
"10","2019","Ländlicher Raum","","","",""
"0","2020","Städtischer Raum","1270","0.208788037621026","0.19893074888965","0.218645326352403"
"0","2020","Ländlicher Raum","563","0.242210386071269","0.225650102927287","0.258770669215251"
"1","2020","Städtischer Raum","463","0.0771600123332694","0.0706883239769217","0.083631700689617"
"1","2020","Ländlicher Raum","188","0.0681115217970559","0.0583730835281873","0.0778499600659244"
"2","2020","Städtischer Raum","671","0.112488578754367","0.104825567925077","0.120151589583657"
"2","2020","Ländlicher Raum","268","0.0980778636504377","0.0865813257739058","0.10957440152697"
"3","2020","Städtischer Raum","649","0.103488650859591","0.0961014057763008","0.110875895942882"
"3","2020","Ländlicher Raum","266","0.100348449357588","0.0887342426283039","0.111962656086872"
"4","2020","Städtischer Raum","509","0.0807686466503159","0.0741603114100615","0.0873769818905704"
"4","2020","Ländlicher Raum","200","0.0784308103070293","0.0680386849449685","0.0888229356690902"
"5","2020","Städtischer Raum","1179","0.171355987808535","0.162217130639169","0.180494844977902"
"5","2020","Ländlicher Raum","440","0.176543418275189","0.161805261536533","0.191281575013846"
"6","2020","Städtischer Raum","530","0.0792732825877622","0.0727210841333926","0.0858254810421318"
"6","2020","Ländlicher Raum","190","0.0722374763425761","0.0622306411307372","0.0822443115544149"
"7","2020","Städtischer Raum","552","0.0715177058971599","0.0652681112480702","0.0777673005462496"
"7","2020","Ländlicher Raum","180","0.0710785152074757","0.0611460802430685","0.0810109501718828"
