"hlf0633","year","n","percent","lower_confidence","upper_confidence"
"0","2017","3997","0.228185412720054","0.222296253730574","0.234074571709534"
"1","2017","1418","0.0806679273522567","0.0768463777223783","0.084489476982135"
"2","2017","1895","0.103474669842396","0.0992005060991914","0.1077488335856"
"3","2017","1788","0.0892111361242448","0.0852110325178163","0.0932112397306733"
"4","2017","1317","0.0702645954843951","0.0666778479464845","0.0738513430223056"
"5","2017","3627","0.180681263329211","0.175281983309399","0.186080543349023"
"6","2017","1427","0.0693768573169564","0.0658111385673249","0.072942576066588"
"7","2017","1651","0.0724084706545179","0.0687716161802425","0.0760453251287933"
"8","2017","1312","0.053797114277965","0.0506310154037732","0.0569632131521568"
"9","2017","413","0.0208883590758512","0.0188814804003126","0.0228952377513898"
"10","2017","662","0.0310441938221518","0.0286103369959443","0.0334780506483593"
"0","2018","6707","0.220397965628796","0.215384943045832","0.225410988211761"
"1","2018","1456","0.0722271700311819","0.0690965488961114","0.0753577911662524"
"2","2018","1935","0.0865338174753305","0.0831336637144894","0.0899339712361715"
"3","2018","2104","0.108671051339353","0.104907175153665","0.112434927525042"
"4","2018","1848","0.077255696710009","0.0740267168849252","0.0804846765350928"
"5","2018","4526","0.178067080243287","0.173440400969726","0.182693759516848"
"6","2018","1774","0.0648578274981332","0.0618794522871236","0.0678362027091428"
"7","2018","2163","0.08120679372105","0.0779033686697418","0.0845102187723583"
"8","2018","1970","0.0663788952760445","0.0633682490274615","0.0693895415246275"
"9","2018","656","0.0171979943801008","0.0156257092509389","0.0187702795092628"
"10","2018","1126","0.0272057076967132","0.0252382748889786","0.0291731405044478"
"0","2019","","","",""
"1","2019","","","",""
"2","2019","","","",""
"3","2019","","","",""
"4","2019","","","",""
"5","2019","","","",""
"6","2019","","","",""
"7","2019","","","",""
"8","2019","","","",""
"9","2019","","","",""
"10","2019","","","",""
"0","2020","3723","0.203984766621915","0.198346049817766","0.209623483426065"
"1","2020","1381","0.0769828379467318","0.0732527199303715","0.0807129559630921"
"2","2020","1964","0.105582454091806","0.101282272881872","0.10988263530174"
"3","2020","1929","0.102952471613871","0.0986999469457666","0.107204996281976"
"4","2020","1538","0.0860595584742975","0.0821351045884174","0.0899840123601775"
"5","2020","3584","0.175650366171372","0.170325594615494","0.180975137727249"
"6","2020","1538","0.0769580738975807","0.0732285058566068","0.0806876419385545"
"7","2020","1697","0.0737750865354444","0.0701171697710555","0.0774330032998334"
"8","2020","1319","0.0565168757733237","0.0532855788485946","0.0597481726980528"
"9","2020","403","0.0179802931504675","0.0161208658134925","0.0198397204874425"
"10","2020","542","0.0235572157231901","0.0214349189897773","0.0256795124566029"
