"hlf0633","year","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","2017","1 Einkommensschwächstes Quintil","","","",""
"0","2017","2","587","0.151162990411133","0.139992186356719","0.162333794465547"
"0","2017","3","645","0.182948276095953","0.170587132850251","0.195309419341655"
"0","2017","4","1039","0.276219737194719","0.262770773602102","0.289668700787335"
"0","2017","5 Einkommensstärkstes Quintil","","","",""
"1","2017","1 Einkommensschwächstes Quintil","","","",""
"1","2017","2","225","0.065455253777617","0.0577422801062374","0.0731682274489966"
"1","2017","3","256","0.0734379469725002","0.0650979244838912","0.0817779694611091"
"1","2017","4","370","0.0922555237155179","0.0835511787813319","0.100959868649704"
"1","2017","5 Einkommensstärkstes Quintil","","","",""
"2","2017","1 Einkommensschwächstes Quintil","","","",""
"2","2017","2","282","0.0742351211117937","0.0660598040600607","0.0824104381635266"
"2","2017","3","381","0.0960183818579244","0.0865989069346972","0.105437856781152"
"2","2017","4","506","0.118877980847831","0.109143185334787","0.128612776360876"
"2","2017","5 Einkommensstärkstes Quintil","","","",""
"3","2017","1 Einkommensschwächstes Quintil","","","",""
"3","2017","2","319","0.0744920383695919","0.0663037231712484","0.0826803535679355"
"3","2017","3","357","0.0871724308828421","0.0781535291372949","0.0961913326283893"
"3","2017","4","446","0.10879819683898","0.0994321360278174","0.118164257650142"
"3","2017","5 Einkommensstärkstes Quintil","","","",""
"4","2017","1 Einkommensschwächstes Quintil","","","",""
"4","2017","2","252","0.0633484273273103","0.0557520505861973","0.0709448040684233"
"4","2017","3","278","0.0881045081798173","0.0790421483332479","0.0971668680263867"
"4","2017","4","307","0.0710046246210801","0.0632794520464642","0.078729797195696"
"4","2017","5 Einkommensstärkstes Quintil","","","",""
"5","2017","1 Einkommensschwächstes Quintil","","","",""
"5","2017","2","873","0.236723685693603","0.223467722392626","0.24997964899458"
"5","2017","3","730","0.207551166306927","0.194584811315107","0.220517521298748"
"5","2017","4","741","0.167035058130418","0.15581551237849","0.178254603882346"
"5","2017","5 Einkommensstärkstes Quintil","","","",""
