"hlc0080_h","year","quintil","n","percent","lower_confidence","upper_confidence"
"Ja","1995","1","1447","0.192244866418443","0.183063850669495","0.201425882167391"
"Ja","1995","2","138","0.0285462795834919","0.0239025124659838","0.0331900467010001"
"Ja","1995","3","","","",""
"Ja","1995","4","","","",""
"Ja","1995","5","","","",""
"Nein","1995","1","5630","0.807755133581557","0.798574117832609","0.816936149330505"
"Nein","1995","2","4802","0.971453720416508","0.966809953299","0.976097487534016"
"Nein","1995","3","2983","0.991985970143276","0.988798604802174","0.995173335484378"
"Nein","1995","4","1792","0.998021030290141","0.995965114678147","1.00007694590214"
"Nein","1995","5","835","0.997505187831747","0.994135663835235","1.00087471182826"
"Ja","1996","1","1175","0.172041986948679","0.162753256636095","0.181330717261264"
"Ja","1996","2","143","0.031468999096842","0.0265986651178166","0.0363393330758673"
"Ja","1996","3","39","0.0113761374420931","0.00767092870730598","0.0150813461768803"
"Ja","1996","4","","","",""
"Ja","1996","5","","","",""
"Nein","1996","1","5167","0.827958013051321","0.818669282738736","0.837246743363905"
"Nein","1996","2","4793","0.968531000903158","0.963660666924133","0.973401334882183"
"Nein","1996","3","3108","0.988623862557907","0.98491865382312","0.992329071292694"
"Nein","1996","4","1892","0.994897450870723","0.991694577349158","0.998100324392289"
"Nein","1996","5","962","0.995507173926125","0.991287621038976","0.999726726813274"
"Ja","1997","1","1086","0.16540508426778","0.155988144473781","0.174822024061779"
"Ja","1997","2","152","0.0273934864046716","0.0227883057290232","0.0319986670803201"
"Ja","1997","3","","","",""
"Ja","1997","4","","","",""
"Ja","1997","5","","","",""
"Nein","1997","1","4894","0.83459491573222","0.825177975938221","0.844011855526219"
"Nein","1997","2","4674","0.972606513595328","0.96800133291968","0.977211694270977"
"Nein","1997","3","3245","0.994466633834788","0.991925669514933","0.997007598154643"
"Nein","1997","4","1927","1","1","1"
"Nein","1997","5","964","0.998672124397678","0.996376900729979","1.00096734806538"
"Ja","1998","1","1112","0.175115793416344","0.165813061911096","0.184418524921592"
"Ja","1998","2","113","0.0163352108896475","0.0128802211826879","0.0197902005966072"
"Ja","1998","3","39","0.0141853733184063","0.0103176232536315","0.0180531233831811"
"Ja","1998","4","","","",""
"Ja","1998","5","","","",""
"Nein","1998","1","5300","0.824884206583656","0.815581475078409","0.834186938088904"
"Nein","1998","2","5058","0.983664789110352","0.980209799403393","0.987119778817312"
"Nein","1998","3","3552","0.985814626681594","0.981946876616819","0.989682376746368"
"Nein","1998","4","2377","0.99681025694964","0.994546289550065","0.999074224349215"
"Nein","1998","5","1160","0.996239515151036","0.992720275594695","0.999758754707376"
"Ja","1999","1","999","0.187190934630623","0.17659414287543","0.197787726385816"
