year,regtyp,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,Yes,0.06737,249,4192,0.05978,0.07496
1985,Urban regions,West,No,0.92972,3943,4192,0.92198,0.93746
1985,Rural regions,West,Yes,0.06410,57,1063,0.04937,0.07883
1985,Rural regions,West,No,0.93279,1006,1063,0.91773,0.94785
1986,Urban regions,West,Yes,0.06371,225,4018,0.05616,0.07127
1986,Urban regions,West,No,0.93417,3793,4018,0.92650,0.94184
1986,Rural regions,West,Yes,0.06028,52,1009,0.04558,0.07497
1986,Rural regions,West,No,0.93443,957,1009,0.91915,0.94971
1987,Urban regions,West,Yes,0.06920,246,3967,0.06130,0.07710
1987,Urban regions,West,No,0.92842,3721,3967,0.92040,0.93645
1987,Rural regions,West,Yes,0.07682,70,997,0.06028,0.09336
1987,Rural regions,West,No,0.91928,927,997,0.90236,0.93620
1988,Urban regions,West,Yes,0.07137,253,3815,0.06320,0.07954
1988,Urban regions,West,No,0.92544,3562,3815,0.91710,0.93377
1988,Rural regions,West,Yes,0.08729,74,944,0.06927,0.10531
1988,Rural regions,West,No,0.91205,870,944,0.89397,0.93013
1989,Urban regions,West,Yes,0.06308,224,3733,0.05528,0.07088
1989,Urban regions,West,No,0.93342,3509,3733,0.92542,0.94142
1989,Rural regions,West,Yes,0.08630,69,905,0.06800,0.10461
1989,Rural regions,West,No,0.91163,836,905,0.89313,0.93013
1990,Urban regions,West,Yes,0.06373,214,3659,0.05582,0.07165
1990,Urban regions,West,No,0.93285,3445,3659,0.92474,0.94096
1990,Rural regions,West,Yes,0.07959,64,920,0.06209,0.09709
1990,Rural regions,West,No,0.91882,856,920,0.90116,0.93648
1991,Urban regions,West,Yes,0.06561,221,3672,0.05760,0.07362
1991,Urban regions,West,No,0.92761,3451,3672,0.91923,0.93599
1991,Rural regions,West,Yes,0.08397,69,929,0.06612,0.10181
1991,Rural regions,West,No,0.90692,860,929,0.88823,0.92561
1992,Urban regions,West,Yes,0.05470,198,3695,0.04736,0.06203
1992,Urban regions,West,No,0.94128,3497,3695,0.93370,0.94886
1992,Urban regions,East,Yes,0.32823,189,679,0.29288,0.36357
1992,Urban regions,East,No,0.67177,490,679,0.63643,0.70712
1992,Rural regions,West,Yes,0.07947,70,936,0.06213,0.09680
1992,Rural regions,West,No,0.91460,866,936,0.89669,0.93251
1992,Rural regions,East,Yes,0.28081,302,1209,0.25547,0.30615
1992,Rural regions,East,No,0.71616,907,1209,0.69073,0.74158
1993,Urban regions,West,Yes,0.05263,184,3707,0.04544,0.05982
1993,Urban regions,West,No,0.94253,3523,3707,0.93503,0.95002
1993,Urban regions,East,Yes,0.30864,186,661,0.27340,0.34388
1993,Urban regions,East,No,0.68968,475,661,0.65439,0.72498
1993,Rural regions,West,Yes,0.06237,54,958,0.04705,0.07770
1993,Rural regions,West,No,0.92354,904,958,0.90670,0.94038
1993,Rural regions,East,Yes,0.31090,344,1220,0.28491,0.33688
1993,Rural regions,East,No,0.68631,876,1220,0.66027,0.71236
1994,Urban regions,West,Yes,0.05115,192,3653,0.04401,0.05830
1994,Urban regions,West,No,0.94457,3461,3653,0.93715,0.95199
1994,Urban regions,East,Yes,0.19621,121,660,0.16589,0.22653
1994,Urban regions,East,No,0.79992,539,660,0.76937,0.83046
1994,Rural regions,West,Yes,0.05578,43,961,0.04126,0.07030
1994,Rural regions,West,No,0.93519,918,961,0.91962,0.95077
1994,Rural regions,East,Yes,0.22665,241,1197,0.20292,0.25038
1994,Rural regions,East,No,0.77164,956,1197,0.74785,0.79543
1995,Urban regions,West,Yes,0.04919,212,3830,0.04234,0.05604
1995,Urban regions,West,No,0.94710,3618,3830,0.94001,0.95419
1995,Urban regions,East,Yes,0.16027,91,620,0.13137,0.18917
1995,Urban regions,East,No,0.83641,529,620,0.80727,0.86556
1995,Rural regions,West,Yes,0.05869,61,1027,0.04430,0.07307
1995,Rural regions,West,No,0.94079,966,1027,0.92635,0.95523
1995,Rural regions,East,Yes,0.16167,178,1202,0.14085,0.18250
1995,Rural regions,East,No,0.83531,1024,1202,0.81433,0.85628
1996,Urban regions,West,Yes,0.04659,206,3760,0.03986,0.05333
1996,Urban regions,West,No,0.95002,3554,3760,0.94306,0.95699
1996,Urban regions,East,Yes,0.10703,63,636,0.08299,0.13108
1996,Urban regions,East,No,0.88994,573,636,0.86559,0.91428
1996,Rural regions,West,Yes,0.05900,58,1023,0.04456,0.07345
1996,Rural regions,West,No,0.94100,965,1023,0.92655,0.95544
1996,Rural regions,East,Yes,0.11786,134,1196,0.09958,0.13614
1996,Rural regions,East,No,0.87901,1062,1196,0.86052,0.89750
1997,Urban regions,West,Yes,0.04206,201,3703,0.03559,0.04853
