,Unnamed: 0,year,rentown,hlc0080_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Owner,Yes,0.01849,39,5856,0.01682,0.01978
1,1,1984,Owner,No,0.98151,1965,5856,0.97062,0.99134
2,2,1984,Tenant,Yes,0.09559,283,5856,0.08934,0.10175
3,3,1984,Tenant,No,0.90441,3569,5856,0.88869,0.92307
4,4,1985,Owner,Yes,0.02429,49,5255,0.02165,0.02702
5,5,1985,Owner,No,0.97571,1811,5255,0.9632,0.99142
6,6,1985,Tenant,Yes,0.09512,257,5255,0.08814,0.10287
7,7,1985,Tenant,No,0.90488,3138,5255,0.88646,0.92594
8,8,1986,Owner,Yes,0.01498,31,5023,0.01367,0.01622
9,9,1986,Owner,No,0.98502,1802,5023,0.96944,1.00177
10,10,1986,Tenant,Yes,0.09423,244,5023,0.08599,0.10117
11,11,1986,Tenant,No,0.90577,2946,5023,0.88255,0.93057
12,12,1987,Owner,Yes,0.01879,42,4962,0.0167,0.02058
13,13,1987,Owner,No,0.98121,1784,4962,0.96515,1.00052
14,14,1987,Tenant,Yes,0.10529,274,4962,0.09699,0.11281
15,15,1987,Tenant,No,0.89471,2862,4962,0.87781,0.91452
16,16,1988,Owner,Yes,0.02005,43,4758,0.01774,0.02218
17,17,1988,Owner,No,0.97995,1700,4758,0.96152,0.99824
18,18,1988,Tenant,Yes,0.11126,284,4758,0.10405,0.11901
19,19,1988,Tenant,No,0.88874,2731,4758,0.8635,0.91333
20,20,1989,Owner,Yes,0.01716,34,4635,0.01553,0.0188
21,21,1989,Owner,No,0.98284,1675,4635,0.96614,1.00048
22,22,1989,Tenant,Yes,0.10233,258,4635,0.09519,0.11082
23,23,1989,Tenant,No,0.89767,2668,4635,0.8736,0.91539
24,24,1990,Owner,Yes,0.01887,37,4578,0.017,0.02096
25,25,1990,Owner,No,0.98113,1695,4578,0.96266,0.99768
26,26,1990,Tenant,Yes,0.10026,241,4578,0.09136,0.10863
27,27,1990,Tenant,No,0.89974,2605,4578,0.87603,0.92454
28,28,1991,Owner,Yes,0.02262,41,4600,0.02028,0.02568
29,29,1991,Owner,No,0.97738,1703,4600,0.95775,0.99979
30,30,1991,Tenant,Yes,0.10269,249,4600,0.09394,0.11277
31,31,1991,Tenant,No,0.89731,2607,4600,0.87205,0.92091
32,32,1992,Owner,Yes,0.04622,173,6578,0.04222,0.05014
33,33,1992,Owner,No,0.95378,2150,6578,0.9294,0.97844
34,34,1992,Tenant,Yes,0.14246,600,6578,0.13416,0.15192
35,35,1992,Tenant,No,0.85754,3655,6578,0.83668,0.88066
36,36,1993,Owner,Yes,0.03982,155,6545,0.03591,0.04353
37,37,1993,Owner,No,0.96018,2158,6545,0.93796,0.98416
38,38,1993,Tenant,Yes,0.1436,613,6545,0.13493,0.15221
39,39,1993,Tenant,No,0.8564,3619,6545,0.83601,0.88346
40,40,1994,Owner,Yes,0.02357,95,6468,0.02124,0.0258
41,41,1994,Owner,No,0.97643,2228,6468,0.95514,1.00773
42,42,1994,Tenant,Yes,0.12169,502,6468,0.1129,0.13021
43,43,1994,Tenant,No,0.87831,3643,6468,0.85782,0.89908
44,44,1995,Owner,Yes,0.01575,64,6679,0.01341,0.01809
45,45,1995,Owner,No,0.98425,2292,6679,0.96337,1.01286
46,46,1995,Tenant,Yes,0.10846,478,6679,0.10137,0.11676
47,47,1995,Tenant,No,0.89154,3845,6679,0.87116,0.91455
48,48,1996,Owner,Yes,0.01676,54,6615,0.01378,0.0205
49,49,1996,Owner,No,0.98324,2338,6615,0.95601,1.01165
50,50,1996,Tenant,Yes,0.09125,407,6615,0.08422,0.09894
51,51,1996,Tenant,No,0.90875,3816,6615,0.88876,0.93198
52,52,1997,Owner,Yes,0.01111,38,6532,0.00819,0.01447
53,53,1997,Owner,No,0.98889,2401,6532,0.95724,1.02147
54,54,1997,Tenant,Yes,0.08562,387,6532,0.07824,0.0934
55,55,1997,Tenant,No,0.91438,3706,6532,0.88691,0.93884
56,56,1998,Owner,Yes,0.01145,37,7403,0.00928,0.0138
57,57,1998,Owner,No,0.98855,2858,7403,0.96622,1.00967
58,58,1998,Tenant,Yes,0.08931,422,7403,0.08283,0.09584
59,59,1998,Tenant,No,0.91069,4086,7403,0.89211,0.93196
60,60,1999,Owner,Yes,0.00864,37,7109,0.00646,0.01098
61,61,1999,Owner,No,0.99136,2815,7109,0.96118,1.01429
62,62,1999,Tenant,Yes,0.09179,408,7109,0.08459,0.09774
63,63,1999,Tenant,No,0.90821,3849,7109,0.88692,0.93419
64,64,2000,Owner,Yes,0.0077,59,12927,0.00659,0.00895
65,65,2000,Owner,No,0.9923,5752,12927,0.97759,1.00546
66,66,2000,Tenant,Yes,0.07986,618,12927,0.07619,0.08341
67,67,2000,Tenant,No,0.92014,6498,12927,0.90638,0.93147
68,68,2001,Owner,Yes,0.00857,58,11648,0.00718,0.00999
69,69,2001,Owner,No,0.99143,5202,11648,0.97657,1.00711
70,70,2001,Tenant,Yes,0.09106,634,11648,0.08649,0.09577
71,71,2001,Tenant,No,0.90894,5754,11648,0.89516,0.92384
72,72,2002,Owner,Yes,0.01097,61,12188,0.00901,0.01327
73,73,2002,Owner,No,0.98903,5781,12188,0.97148,1.00757
74,74,2002,Tenant,Yes,0.08743,568,12188,0.08335,0.0916
75,75,2002,Tenant,No,0.91257,5778,12188,0.89571,0.93076
76,76,2003,Owner,Yes,0.01039,62,11781,0.00835,0.01239
77,77,2003,Owner,No,0.98961,5597,11781,0.96912,1.01143
78,78,2003,Tenant,Yes,0.09618,595,11781,0.09054,0.10287
79,79,2003,Tenant,No,0.90382,5527,11781,0.88754,0.92238
80,80,2004,Owner,Yes,0.01458,80,11520,0.0119,0.01754
81,81,2004,Owner,No,0.98542,5481,11520,0.96739,1.00802
82,82,2004,Tenant,Yes,0.10495,626,11520,0.09966,0.11039
83,83,2004,Tenant,No,0.89505,5333,11520,0.87385,0.91107
84,84,2005,Owner,Yes,0.01341,63,11177,0.01113,0.01612
85,85,2005,Owner,No,0.98659,5320,11177,0.96431,1.0086
86,86,2005,Tenant,Yes,0.11159,619,11177,0.10625,0.11813
87,87,2005,Tenant,No,0.88841,5175,11177,0.86762,0.90739
88,88,2006,Owner,Yes,0.00992,53,12236,0.00824,0.01213
89,89,2006,Owner,No,0.99008,5946,12236,0.97216,1.00987
90,90,2006,Tenant,Yes,0.07899,507,12236,0.07429,0.08373
91,91,2006,Tenant,No,0.92101,5730,12236,0.9063,0.93753
92,92,2007,Owner,Yes,0.0074,40,11426,0.00551,0.00941
93,93,2007,Owner,No,0.9926,5578,11426,0.96922,1.01066
94,94,2007,Tenant,Yes,0.07532,432,11426,0.07043,0.07988
95,95,2007,Tenant,No,0.92468,5376,11426,0.90771,0.94028
96,96,2008,Owner,Yes,0.00715,41,10820,0.00568,0.00888
97,97,2008,Owner,No,0.99285,5338,10820,0.96821,1.01259
98,98,2008,Tenant,Yes,0.06713,362,10820,0.06245,0.07145
99,99,2008,Tenant,No,0.93287,5079,10820,0.90998,0.95258
100,100,2009,Owner,Yes,0.00513,31,10098,0.00354,0.00723
101,101,2009,Owner,No,0.99487,5016,10098,0.96999,1.02201
102,102,2009,Tenant,Yes,0.06556,343,10098,0.05995,0.07207
103,103,2009,Tenant,No,0.93444,4708,10098,0.91389,0.95559
104,104,2010,Owner,Yes,0.00568,80,13793,0.00396,0.00852
105,105,2010,Owner,No,0.99432,6248,13793,0.97024,1.01728
106,106,2010,Tenant,Yes,0.06336,676,13793,0.05821,0.07025
107,107,2010,Tenant,No,0.93664,6789,13793,0.90932,0.96227
108,108,2011,Owner,Yes,0.0051,99,16317,0.00372,0.00656
109,109,2011,Owner,No,0.9949,7462,16317,0.9714,1.0211
110,110,2011,Tenant,Yes,0.06032,910,16317,0.05508,0.06607
111,111,2011,Tenant,No,0.93968,7846,16317,0.91495,0.96215
112,112,2012,Owner,Yes,0.00553,100,15978,0.00417,0.00734
113,113,2012,Owner,No,0.99447,7340,15978,0.96912,1.01788
114,114,2012,Tenant,Yes,0.05601,816,15978,0.05108,0.06148
115,115,2012,Tenant,No,0.94399,7722,15978,0.92276,0.96316
116,116,2013,Owner,Yes,0.00383,81,17542,0.00295,0.00486
117,117,2013,Owner,No,0.99617,7467,17542,0.97748,1.01921
118,118,2013,Tenant,Yes,0.05125,791,17542,0.04715,0.05664
119,119,2013,Tenant,No,0.94875,9203,17542,0.92604,0.96803
120,120,2014,Owner,Yes,0.00339,62,15700,0.00246,0.00432
121,121,2014,Owner,No,0.99661,6920,15700,0.97545,1.02522
122,122,2014,Tenant,Yes,0.0489,637,15700,0.04329,0.05407
123,123,2014,Tenant,No,0.9511,8081,15700,0.92955,0.97382
124,124,2015,Owner,Yes,0.00221,42,15376,0.00171,0.0028
125,125,2015,Owner,No,0.99779,6501,15376,0.97373,1.02404
126,126,2015,Tenant,Yes,0.04229,517,15376,0.03715,0.0483
127,127,2015,Tenant,No,0.95771,8316,15376,0.93389,0.98115
128,128,2016,Owner,Yes,0.00178,34,14150,0.00133,0.0023
129,129,2016,Owner,No,0.99822,6174,14150,0.97495,1.02606
130,130,2016,Tenant,Yes,0.04045,436,14150,0.03562,0.04499
131,131,2016,Tenant,No,0.95955,7506,14150,0.93714,0.98082
132,132,2017,Owner,Yes,0.00227,40,17343,0.00176,0.00276
133,133,2017,Owner,No,0.99773,6954,17343,0.97518,1.02296
134,134,2017,Tenant,Yes,0.03867,560,17343,0.03321,0.04256
135,135,2017,Tenant,No,0.96133,9789,17343,0.93998,0.98547
136,136,2018,Owner,Yes,0.00218,40,17736,0.0016,0.00285
137,137,2018,Owner,No,0.99782,6662,17736,0.9738,1.02635
138,138,2018,Tenant,Yes,0.04151,836,17736,0.03695,0.04556
139,139,2018,Tenant,No,0.95849,10198,17736,0.93399,0.9869
140,140,2019,Owner,Yes,0.00362,33,18316,0.00214,0.00559
141,141,2019,Owner,No,0.99638,7791,18316,0.97087,1.02852
142,142,2019,Tenant,Yes,0.04378,589,18316,0.03821,0.05007
143,143,2019,Tenant,No,0.95622,9903,18316,0.93436,0.98135
144,144,2020,Owner,No,1.0,6835,19052,0.97433,1.03667
145,145,2020,Tenant,Yes,0.03727,563,19052,0.03188,0.0428
146,146,2020,Tenant,No,0.96273,11654,19052,0.93547,0.99048
147,147,2021,Owner,No,1.0,5042,12453,0.96902,1.03466
148,148,2021,Tenant,Yes,0.03525,425,12453,0.02853,0.04128
149,149,2021,Tenant,No,0.96475,6986,12453,0.93556,0.98859
