,Unnamed: 0,year,quintil_oecd_hh,sampreg,hlc0080_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,1st Quintile,West,Yes,0.21059,213,5801,0.19778,0.22477
1,1,1984,1st Quintile,West,No,0.78941,988,5801,0.75003,0.81972
2,2,1984,2nd Quintile,West,Yes,0.08132,75,5801,0.07102,0.08924
3,3,1984,2nd Quintile,West,No,0.91868,1122,5801,0.88906,0.94806
4,4,1984,3rd Quintile,West,No,1.0,1152,5801,0.97211,1.03026
5,5,1984,4th Quintile,West,No,1.0,1178,5801,0.97038,1.029
6,6,1984,5th Quintile,West,No,1.0,1073,5801,0.97923,1.02204
7,7,1985,1st Quintile,West,Yes,0.21771,198,5196,0.20054,0.23466
8,8,1985,1st Quintile,West,No,0.78229,872,5196,0.74294,0.81624
9,9,1985,2nd Quintile,West,Yes,0.06152,56,5196,0.05364,0.06999
10,10,1985,2nd Quintile,West,No,0.93848,1016,5196,0.90021,0.97399
11,11,1985,3rd Quintile,West,No,1.0,1045,5196,0.96755,1.03484
12,12,1985,4th Quintile,West,No,1.0,1043,5196,0.9721,1.02699
13,13,1985,5th Quintile,West,No,1.0,966,5196,0.97301,1.02653
14,14,1986,1st Quintile,West,Yes,0.21343,184,4982,0.19406,0.23356
15,15,1986,1st Quintile,West,No,0.78657,806,4982,0.74855,0.8258
16,16,1986,2nd Quintile,West,Yes,0.05937,53,4982,0.05093,0.06794
17,17,1986,2nd Quintile,West,No,0.94063,973,4982,0.90598,0.97895
18,18,1986,3rd Quintile,West,No,1.0,1009,4982,0.95896,1.0384
19,19,1986,4th Quintile,West,No,1.0,1013,4982,0.96594,1.03441
20,20,1986,5th Quintile,West,No,1.0,944,4982,0.96999,1.02395
21,21,1987,1st Quintile,West,Yes,0.23902,209,4930,0.22004,0.25942
22,22,1987,1st Quintile,West,No,0.76098,736,4930,0.72462,0.79863
23,23,1987,2nd Quintile,West,Yes,0.0893,76,4930,0.08108,0.10054
24,24,1987,2nd Quintile,West,No,0.9107,941,4930,0.88136,0.95087
25,25,1987,3rd Quintile,West,No,1.0,1002,4930,0.9609,1.03243
26,26,1987,4th Quintile,West,No,1.0,1021,4930,0.96378,1.03445
27,27,1987,5th Quintile,West,No,1.0,945,4930,0.97144,1.02914
28,28,1988,1st Quintile,West,Yes,0.24594,214,4724,0.22403,0.26502
29,29,1988,1st Quintile,West,No,0.75406,725,4724,0.71255,0.79233
30,30,1988,2nd Quintile,West,Yes,0.09082,79,4724,0.07955,0.10312
31,31,1988,2nd Quintile,West,No,0.90918,885,4724,0.87267,0.95147
32,32,1988,3rd Quintile,West,No,1.0,968,4724,0.9608,1.033
33,33,1988,4th Quintile,West,No,1.0,968,4724,0.96249,1.03219
34,34,1988,5th Quintile,West,No,1.0,885,4724,0.96819,1.03282
35,35,1989,1st Quintile,West,Yes,0.22764,190,4611,0.20547,0.24993
36,36,1989,1st Quintile,West,No,0.77236,711,4611,0.73299,0.81707
37,37,1989,2nd Quintile,West,Yes,0.0833,77,4611,0.07282,0.09424
38,38,1989,2nd Quintile,West,No,0.9167,908,4611,0.87675,0.95398
39,39,1989,3rd Quintile,West,No,1.0,940,4611,0.96659,1.04058
40,40,1989,4th Quintile,West,No,1.0,943,4611,0.96568,1.04151
41,41,1989,5th Quintile,West,No,1.0,842,4611,0.96857,1.02804
42,42,1990,1st Quintile,West,No,1.0,32,4546,0.83538,1.14975
43,43,1990,2nd Quintile,West,Yes,0.19266,201,4546,0.1745,0.20595
44,44,1990,2nd Quintile,West,No,0.80734,947,4546,0.76729,0.84215
45,45,1990,3rd Quintile,West,Yes,0.04169,45,4546,0.03478,0.0495
46,46,1990,3rd Quintile,West,No,0.95831,1132,4546,0.92242,0.99353
47,47,1990,4th Quintile,West,No,1.0,1133,4546,0.96614,1.03612
48,48,1990,5th Quintile,West,No,1.0,1056,4546,0.96638,1.02899
49,49,1991,1st Quintile,West,No,1.0,32,4574,0.82165,1.202
50,50,1991,2nd Quintile,West,Yes,0.22211,220,4574,0.20497,0.24496
51,51,1991,2nd Quintile,West,No,0.77789,908,4574,0.73911,0.81098
52,52,1991,3rd Quintile,West,Yes,0.04062,43,4574,0.03384,0.04868
53,53,1991,3rd Quintile,West,No,0.95938,1143,4574,0.92904,0.9865
54,54,1991,4th Quintile,West,No,1.0,1178,4574,0.96787,1.03413
55,55,1991,5th Quintile,West,No,1.0,1050,4574,0.96744,1.03134
56,56,1992,1st Quintile,West,Yes,0.24257,136,6519,0.21626,0.2723
57,57,1992,1st Quintile,West,No,0.75743,429,6519,0.70935,0.80709
58,58,1992,1st Quintile,East,Yes,0.45412,345,6519,0.42249,0.4815
59,59,1992,1st Quintile,East,No,0.54588,479,6519,0.51848,0.57227
60,60,1992,2nd Quintile,West,Yes,0.09857,88,6519,0.08644,0.11014
61,61,1992,2nd Quintile,West,No,0.90143,789,6519,0.86064,0.9547
62,62,1992,2nd Quintile,East,Yes,0.17826,114,6519,0.16165,0.19711
63,63,1992,2nd Quintile,East,No,0.82174,502,6519,0.78437,0.85614
64,64,1992,3rd Quintile,West,No,1.0,996,6519,0.95858,1.04005
65,65,1992,3rd Quintile,East,Yes,0.11535,33,6519,0.09634,0.13576
66,66,1992,3rd Quintile,East,No,0.88465,281,6519,0.82253,0.93956
67,67,1992,4th Quintile,West,No,1.0,1124,6519,0.95878,1.04059
68,68,1992,4th Quintile,East,No,1.0,116,6519,0.91525,1.08052
69,69,1992,5th Quintile,West,No,1.0,1030,6519,0.96912,1.03292
70,70,1992,5th Quintile,East,No,1.0,57,6519,0.87389,1.14396
71,71,1993,1st Quintile,West,Yes,0.22663,144,6507,0.20055,0.25266
72,72,1993,1st Quintile,West,No,0.77337,541,6507,0.72276,0.81315
73,73,1993,1st Quintile,East,Yes,0.50448,293,6507,0.47523,0.53142
74,74,1993,1st Quintile,East,No,0.49552,317,6507,0.46983,0.52919
75,75,1993,2nd Quintile,West,Yes,0.07213,64,6507,0.05942,0.08668
76,76,1993,2nd Quintile,West,No,0.92787,801,6507,0.88041,0.98299
77,77,1993,2nd Quintile,East,Yes,0.29437,183,6507,0.27168,0.32013
78,78,1993,2nd Quintile,East,No,0.70563,447,6507,0.67239,0.73689
79,79,1993,3rd Quintile,West,No,1.0,973,6507,0.95236,1.04719
80,80,1993,3rd Quintile,East,Yes,0.12812,47,6507,0.11133,0.14919
81,81,1993,3rd Quintile,East,No,0.87188,328,6507,0.81049,0.93092
82,82,1993,4th Quintile,West,No,1.0,1088,6507,0.96071,1.0306
83,83,1993,4th Quintile,East,No,1.0,192,6507,0.92831,1.07512
84,84,1993,5th Quintile,West,No,1.0,1022,6507,0.96652,1.04061
85,85,1993,5th Quintile,East,No,1.0,67,6507,0.84274,1.17479
86,86,1994,1st Quintile,West,Yes,0.21171,160,6410,0.18437,0.23864
87,87,1994,1st Quintile,West,No,0.78829,638,6410,0.74835,0.84307
88,88,1994,1st Quintile,East,Yes,0.48001,250,6410,0.4521,0.51154
89,89,1994,1st Quintile,East,No,0.51999,280,6410,0.48597,0.55398
90,90,1994,2nd Quintile,West,Yes,0.06443,50,6410,0.05219,0.07511
91,91,1994,2nd Quintile,West,No,0.93557,783,6410,0.8828,0.98906
92,92,1994,2nd Quintile,East,Yes,0.14486,81,6410,0.12645,0.16391
93,93,1994,2nd Quintile,East,No,0.85514,490,6410,0.80804,0.89353
94,94,1994,3rd Quintile,West,No,1.0,943,6410,0.95399,1.04623
95,95,1994,3rd Quintile,East,No,1.0,383,6410,0.93474,1.06489
96,96,1994,4th Quintile,West,No,1.0,1007,6410,0.9581,1.04249
97,97,1994,4th Quintile,East,No,1.0,227,6410,0.92572,1.06298
