year,quintil_oecd_hh,rentown,hlc0080_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1984,1st Quintile,Owner,No,1.00000,253,5773,0,0.96051,0,1.03778
1984,1st Quintile,Tenant,Yes,0.28050,200,5773,0,0.25886,0,0.29940
1984,1st Quintile,Tenant,No,0.71950,735,5773,0,0.67405,0,0.76548
1984,2nd Quintile,Owner,No,1.00000,357,5773,0,0.96581,0,1.02971
1984,2nd Quintile,Tenant,Yes,0.10810,60,5773,0,0.09619,0,0.12117
1984,2nd Quintile,Tenant,No,0.89190,765,5773,0,0.84979,0,0.93439
1984,3rd Quintile,Owner,No,1.00000,395,5773,0,0.97473,0,1.02452
1984,3rd Quintile,Tenant,No,1.00000,757,5773,0,0.95764,0,1.04569
1984,4th Quintile,Owner,No,1.00000,431,5773,0,0.96999,0,1.02202
1984,4th Quintile,Tenant,No,1.00000,747,5773,0,0.95016,0,1.04183
1984,5th Quintile,Owner,No,1.00000,526,5773,0,0.97634,0,1.02221
1984,5th Quintile,Tenant,No,1.00000,547,5773,0,0.96663,0,1.03998
1985,1st Quintile,Owner,No,1.00000,226,5170,0,0.95405,0,1.05387
1985,1st Quintile,Tenant,Yes,0.28102,183,5170,0,0.26136,0,0.30623
1985,1st Quintile,Tenant,No,0.71898,646,5170,0,0.67323,0,0.76182
1985,2nd Quintile,Owner,No,1.00000,312,5170,0,0.96596,0,1.04391
1985,2nd Quintile,Tenant,Yes,0.08083,45,5170,0,0.07128,0,0.09177
1985,2nd Quintile,Tenant,No,0.91917,704,5170,0,0.87159,0,0.97624
1985,3rd Quintile,Owner,No,1.00000,369,5170,0,0.96487,0,1.03663
1985,3rd Quintile,Tenant,No,1.00000,676,5170,0,0.94962,0,1.04792
1985,4th Quintile,Owner,No,1.00000,420,5170,0,0.96667,0,1.03052
1985,4th Quintile,Tenant,No,1.00000,623,5170,0,0.94795,0,1.04389
1985,5th Quintile,Owner,No,1.00000,483,5170,0,0.97133,0,1.02635
1985,5th Quintile,Tenant,No,1.00000,483,5170,0,0.95531,0,1.03922
1986,1st Quintile,Owner,No,1.00000,211,4962,0,0.93503,0,1.05949
1986,1st Quintile,Tenant,Yes,0.27375,172,4962,0,0.25050,0,0.30082
1986,1st Quintile,Tenant,No,0.72625,594,4962,0,0.67322,0,0.77415
1986,2nd Quintile,Owner,No,1.00000,338,4962,0,0.95935,0,1.03902
1986,2nd Quintile,Tenant,Yes,0.08524,47,4962,0,0.07377,0,0.09954
1986,2nd Quintile,Tenant,No,0.91476,635,4962,0,0.85440,0,0.97334
1986,3rd Quintile,Owner,No,1.00000,347,4962,0,0.96070,0,1.03989
1986,3rd Quintile,Tenant,No,1.00000,662,4962,0,0.94452,0,1.05134
1986,4th Quintile,Owner,No,1.00000,398,4962,0,0.96278,0,1.03916
1986,4th Quintile,Tenant,No,1.00000,614,4962,0,0.95061,0,1.05056
1986,5th Quintile,Owner,No,1.00000,508,4962,0,0.97077,0,1.03154
1986,5th Quintile,Tenant,No,1.00000,436,4962,0,0.95062,0,1.04859
1987,1st Quintile,Owner,No,1.00000,205,4895,0,0.94585,0,1.05400
1987,1st Quintile,Tenant,Yes,0.31089,191,4895,0,0.28365,0,0.34222
1987,1st Quintile,Tenant,No,0.68911,530,4895,0,0.65682,0,0.73752
