year,bula_h,rentown,hlc0080_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Owner,No,0.9797979797979798,5863,0.9761966591201515,0.983399300475808
1984,Schleswig-Holstein,Owner,Yes,0.020202020202020204,5863,0.016600699524191957,0.02380334087984845
1984,Schleswig-Holstein,Tenant,No,0.8877551020408163,5863,0.8796748293502309,0.8958353747314017
1984,Schleswig-Holstein,Tenant,Yes,0.11224489795918367,5863,0.1041646252685982,0.12032517064976915
1984,Hamburg,Owner,No,0.9545454545454546,5863,0.9492135410994845,0.9598773679914246
1984,Hamburg,Owner,Yes,0.045454545454545456,5863,0.04012263200857544,0.050786458900515474
1984,Hamburg,Tenant,No,0.9090909090909091,5863,0.9017321694219924,0.9164496487598257
1984,Hamburg,Tenant,Yes,0.09090909090909091,5863,0.08355035124017426,0.09826783057800756
1984,Lower Saxony,Owner,No,0.9529411764705882,5863,0.9475205472279082,0.9583618057132681
1984,Lower Saxony,Owner,Yes,0.047058823529411764,5863,0.041638194286731794,0.052479452772091734
1984,Lower Saxony,Tenant,No,0.8738738738738738,5863,0.8653757505262353,0.8823719972215124
1984,Lower Saxony,Tenant,Yes,0.12612612612612611,5863,0.11762800277848753,0.1346242494737647
1984,Bremen,Owner,No,1.0,5863,1.0,1.0
1984,Bremen,Tenant,No,0.7586206896551724,5863,0.7476670490653377,0.7695743302450071
1984,Bremen,Tenant,Yes,0.2413793103448276,5863,0.23042566975499293,0.2523329509346623
1984,North Rhine-Westphalia,Owner,No,0.9727272727272728,5863,0.9685580417557051,0.9768965036988404
1984,North Rhine-Westphalia,Owner,Yes,0.02727272727272727,5863,0.02310349630115963,0.03144195824429492
1984,North Rhine-Westphalia,Tenant,No,0.9103568320278503,5863,0.903044421753408,0.9176692423022926
1984,North Rhine-Westphalia,Tenant,Yes,0.08964316797214969,5863,0.08233075769770744,0.09695557824659194
1984,Hesse,Owner,No,0.9940828402366864,5863,0.9921196424285066,0.9960460380448661
1984,Hesse,Owner,Yes,0.005917159763313609,5863,0.0039539619551338945,0.007880357571493324
1984,Hesse,Tenant,No,0.9400479616306955,5863,0.9339711873194797,0.9461247359419113
1984,Hesse,Tenant,Yes,0.05995203836930456,5863,0.05387526405808879,0.06602881268052033
1984,"Rhineland-Palatinate, Saarland",Owner,No,0.9849246231155779,5863,0.9818055057911209,0.988043740440035
1984,"Rhineland-Palatinate, Saarland",Owner,Yes,0.01507537688442211,5863,0.011956259559965042,0.018194494208879176
1984,"Rhineland-Palatinate, Saarland",Tenant,No,0.9545454545454546,5863,0.9492135410994845,0.9598773679914246
1984,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.045454545454545456,5863,0.04012263200857544,0.050786458900515474
1984,Baden-Wuerttemberg,Owner,No,0.9869791666666666,5863,0.9840773530983592,0.9898809802349741
1984,Baden-Wuerttemberg,Owner,Yes,0.013020833333333334,5863,0.010119019765025869,0.0159226469016408
1984,Baden-Wuerttemberg,Tenant,No,0.9493293591654247,5863,0.9437152251075378,0.9549434932233116
1984,Baden-Wuerttemberg,Tenant,Yes,0.05067064083457526,5863,0.04505650677668836,0.056284774892462155
1984,Bavaria,Owner,No,0.9950248756218906,5863,0.9932238700157946,0.9968258812279865
1984,Bavaria,Owner,Yes,0.004975124378109453,5863,0.0031741187720135218,0.0067761299842053835
1984,Bavaria,Tenant,No,0.9621342512908778,5863,0.9572484338415626,0.9670200687401931
1984,Bavaria,Tenant,Yes,0.0378657487091222,5863,0.03297993125980691,0.0427515661584375
1984,Berlin,Owner,No,0.9411764705882353,5863,0.9351535492074797,0.9471993919689908
1984,Berlin,Owner,Yes,0.058823529411764705,5863,0.05280060803100919,0.06484645079252023
1984,Berlin,Tenant,No,0.9509803921568627,5863,0.945453680310131,0.9565071040035944
1984,Berlin,Tenant,Yes,0.049019607843137254,5863,0.04349289599640553,0.05454631968986898
1985,Schleswig-Holstein,Owner,No,0.9545454545454546,5272,0.9489226195762456,0.9601682895146636
1985,Schleswig-Holstein,Owner,Yes,0.045454545454545456,5272,0.039831710485336486,0.051077380423754426
1985,Schleswig-Holstein,Tenant,No,0.8901098901098901,5272,0.8816674208559653,0.8985523593638148
