year,bula_h,quintil_oecd_hh,hlc0080_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,2nd Quintile,No,1.00000,36,5445,1.00000,1.00000
1984,Schleswig-Holstein,3rd Quintile,No,1.00000,39,5445,1.00000,1.00000
1984,Schleswig-Holstein,4th Quintile,No,1.00000,42,5445,1.00000,1.00000
1984,Schleswig-Holstein,5th Quintile,No,1.00000,41,5445,1.00000,1.00000
1984,Hamburg,3rd Quintile,No,1.00000,35,5445,1.00000,1.00000
1984,Hamburg,4th Quintile,No,1.00000,32,5445,1.00000,1.00000
1984,Hamburg,5th Quintile,No,1.00000,40,5445,1.00000,1.00000
1984,Lower Saxony,1st Quintile,Yes,0.30609,38,5445,0.30500,0.30719
1984,Lower Saxony,1st Quintile,No,0.69391,104,5445,0.69281,0.69500
1984,Lower Saxony,2nd Quintile,No,1.00000,102,5445,1.00000,1.00000
1984,Lower Saxony,3rd Quintile,No,1.00000,105,5445,1.00000,1.00000
1984,Lower Saxony,4th Quintile,No,1.00000,126,5445,1.00000,1.00000
1984,Lower Saxony,5th Quintile,No,1.00000,94,5445,1.00000,1.00000
1984,North Rhine-Westphalia,1st Quintile,Yes,0.24500,80,5445,0.24434,0.24566
1984,North Rhine-Westphalia,1st Quintile,No,0.75500,305,5445,0.75434,0.75566
1984,North Rhine-Westphalia,2nd Quintile,No,1.00000,295,5445,1.00000,1.00000
1984,North Rhine-Westphalia,3rd Quintile,No,1.00000,292,5445,1.00000,1.00000
1984,North Rhine-Westphalia,4th Quintile,No,1.00000,297,5445,1.00000,1.00000
1984,North Rhine-Westphalia,5th Quintile,No,1.00000,280,5445,1.00000,1.00000
1984,Hesse,1st Quintile,No,1.00000,111,5445,1.00000,1.00000
1984,Hesse,2nd Quintile,No,1.00000,110,5445,1.00000,1.00000
1984,Hesse,3rd Quintile,No,1.00000,93,5445,1.00000,1.00000
1984,Hesse,4th Quintile,No,1.00000,118,5445,1.00000,1.00000
1984,Hesse,5th Quintile,No,1.00000,125,5445,1.00000,1.00000
1984,"Rhineland-Palatinate, Saarland",1st Quintile,No,1.00000,76,5445,1.00000,1.00000
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,No,1.00000,96,5445,1.00000,1.00000
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,No,1.00000,85,5445,1.00000,1.00000
1984,"Rhineland-Palatinate, Saarland",4th Quintile,No,1.00000,73,5445,1.00000,1.00000
1984,"Rhineland-Palatinate, Saarland",5th Quintile,No,1.00000,55,5445,1.00000,1.00000
1984,Baden-Wuerttemberg,1st Quintile,No,1.00000,163,5445,1.00000,1.00000
1984,Baden-Wuerttemberg,2nd Quintile,No,1.00000,203,5445,1.00000,1.00000
1984,Baden-Wuerttemberg,3rd Quintile,No,1.00000,230,5445,1.00000,1.00000
1984,Baden-Wuerttemberg,4th Quintile,No,1.00000,222,5445,1.00000,1.00000
