year,quintil_oecd_hh,hlc0080_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1984,1st Quintile,Yes,0.21059,213,5801,0,0.19680,0,0.22416
1984,1st Quintile,No,0.78941,988,5801,0,0.75829,0,0.82078
1984,2nd Quintile,Yes,0.08132,75,5801,0,0.07158,0,0.08816
1984,2nd Quintile,No,0.91868,1122,5801,0,0.89008,0,0.94402
1984,3rd Quintile,No,1.00000,1152,5801,0,0.97245,0,1.02864
1984,4th Quintile,No,1.00000,1178,5801,0,0.97489,0,1.03100
1984,5th Quintile,No,1.00000,1073,5801,0,0.97997,0,1.02249
1985,1st Quintile,Yes,0.21771,198,5196,0,0.19804,0,0.23512
1985,1st Quintile,No,0.78229,872,5196,0,0.74694,0,0.81801
1985,2nd Quintile,Yes,0.06152,56,5196,0,0.05357,0,0.06954
1985,2nd Quintile,No,0.93848,1016,5196,0,0.90187,0,0.96803
1985,3rd Quintile,No,1.00000,1045,5196,0,0.96659,0,1.02985
1985,4th Quintile,No,1.00000,1043,5196,0,0.97224,0,1.02899
1985,5th Quintile,No,1.00000,966,5196,0,0.97639,0,1.02599
1986,1st Quintile,Yes,0.21343,184,4982,0,0.19481,0,0.23300
1986,1st Quintile,No,0.78657,806,4982,0,0.75185,0,0.82885
1986,2nd Quintile,Yes,0.05937,53,4982,0,0.05086,0,0.06807
1986,2nd Quintile,No,0.94063,973,4982,0,0.90683,0,0.98500
1986,3rd Quintile,No,1.00000,1009,4982,0,0.96520,0,1.04144
1986,4th Quintile,No,1.00000,1013,4982,0,0.96427,0,1.03187
1986,5th Quintile,No,1.00000,944,4982,0,0.97565,0,1.02797
1987,1st Quintile,Yes,0.23902,209,4930,0,0.21820,0,0.25841
1987,1st Quintile,No,0.76098,736,4930,0,0.72259,0,0.79802
1987,2nd Quintile,Yes,0.08930,76,4930,0,0.07784,0,0.09803
1987,2nd Quintile,No,0.91070,941,4930,0,0.87329,0,0.94670
1987,3rd Quintile,No,1.00000,1002,4930,0,0.96305,0,1.03960
1987,4th Quintile,No,1.00000,1021,4930,0,0.96532,0,1.03196
