,Unnamed: 0,year,quintil_oecd_hh,regtyp,hlc0080_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,1st Quintile,Urban regions,Yes,0.23263,162,5186,0.21394,0.25206
1,1,1985,1st Quintile,Urban regions,No,0.76737,675,5186,0.72704,0.80798
2,2,1985,1st Quintile,Rural regions,Yes,0.17723,36,5186,0.14941,0.20607
3,3,1985,1st Quintile,Rural regions,No,0.82277,197,5186,0.76471,0.88427
4,4,1985,2nd Quintile,Urban regions,Yes,0.06662,46,5186,0.05602,0.07675
5,5,1985,2nd Quintile,Urban regions,No,0.93338,781,5186,0.89724,0.97452
6,6,1985,2nd Quintile,Rural regions,No,1.0,235,5186,0.94153,1.05647
7,7,1985,3rd Quintile,Urban regions,No,1.0,828,5186,0.95906,1.05178
8,8,1985,3rd Quintile,Rural regions,No,1.0,217,5186,0.94416,1.05678
9,9,1985,4th Quintile,Urban regions,No,1.0,853,5186,0.96933,1.03304
10,10,1985,4th Quintile,Rural regions,No,1.0,190,5186,0.92822,1.06925
11,11,1985,5th Quintile,Urban regions,No,1.0,788,5186,0.97772,1.03232
12,12,1985,5th Quintile,Rural regions,No,1.0,178,5186,0.94079,1.05425
13,13,1986,1st Quintile,Urban regions,Yes,0.21971,149,4971,0.19648,0.23901
14,14,1986,1st Quintile,Urban regions,No,0.78029,634,4971,0.73684,0.82003
15,15,1986,1st Quintile,Rural regions,Yes,0.19463,35,4971,0.1574,0.22417
16,16,1986,1st Quintile,Rural regions,No,0.80537,172,4971,0.72479,0.87809
17,17,1986,2nd Quintile,Urban regions,Yes,0.06226,42,4971,0.05294,0.07289
18,18,1986,2nd Quintile,Urban regions,No,0.93774,747,4971,0.89179,0.98122
19,19,1986,2nd Quintile,Rural regions,No,1.0,226,4971,0.93745,1.07491
20,20,1986,3rd Quintile,Urban regions,No,1.0,809,4971,0.95958,1.04167
21,21,1986,3rd Quintile,Rural regions,No,1.0,200,4971,0.92973,1.06818
22,22,1986,4th Quintile,Urban regions,No,1.0,814,4971,0.95949,1.0309
23,23,1986,4th Quintile,Rural regions,No,1.0,199,4971,0.923,1.07753
24,24,1986,5th Quintile,Urban regions,No,1.0,773,4971,0.96645,1.02778
25,25,1986,5th Quintile,Rural regions,No,1.0,171,4971,0.94238,1.05938
26,26,1987,1st Quintile,Urban regions,Yes,0.23333,157,4914,0.21016,0.25661
27,27,1987,1st Quintile,Urban regions,No,0.76667,576,4914,0.72727,0.80664
28,28,1987,1st Quintile,Rural regions,Yes,0.25524,52,4914,0.2213,0.29072
29,29,1987,1st Quintile,Rural regions,No,0.74476,160,4914,0.68863,0.80493
30,30,1987,2nd Quintile,Urban regions,Yes,0.09564,60,4914,0.08343,0.11017
31,31,1987,2nd Quintile,Urban regions,No,0.90436,725,4914,0.86025,0.94572
32,32,1987,2nd Quintile,Rural regions,No,1.0,216,4914,0.93874,1.06796
33,33,1987,3rd Quintile,Urban regions,No,1.0,793,4914,0.95859,1.04262
34,34,1987,3rd Quintile,Rural regions,No,1.0,209,4914,0.93615,1.06812
35,35,1987,4th Quintile,Urban regions,No,1.0,826,4914,0.96247,1.04456
36,36,1987,4th Quintile,Rural regions,No,1.0,195,4914,0.93145,1.06174
37,37,1987,5th Quintile,Urban regions,No,1.0,789,4914,0.96524,1.02886
38,38,1987,5th Quintile,Rural regions,No,1.0,156,4914,0.94117,1.07126
39,39,1988,1st Quintile,Urban regions,Yes,0.24383,163,4708,0.22137,0.26858
40,40,1988,1st Quintile,Urban regions,No,0.75617,571,4708,0.715,0.8067
41,41,1988,1st Quintile,Rural regions,Yes,0.25174,51,4708,0.21108,0.29578
42,42,1988,1st Quintile,Rural regions,No,0.74826,154,4708,0.68647,0.80192
43,43,1988,2nd Quintile,Urban regions,Yes,0.09573,63,4708,0.07973,0.1081
44,44,1988,2nd Quintile,Urban regions,No,0.90427,698,4708,0.85648,0.95877
45,45,1988,2nd Quintile,Rural regions,No,1.0,187,4708,0.90584,1.09091
46,46,1988,3rd Quintile,Urban regions,No,1.0,768,4708,0.95742,1.04615
47,47,1988,3rd Quintile,Rural regions,No,1.0,200,4708,0.93399,1.07892
48,48,1988,4th Quintile,Urban regions,No,1.0,770,4708,0.95508,1.03512
49,49,1988,4th Quintile,Rural regions,No,1.0,198,4708,0.92868,1.07666
50,50,1988,5th Quintile,Urban regions,No,1.0,745,4708,0.96787,1.03631
51,51,1988,5th Quintile,Rural regions,No,1.0,140,4708,0.93511,1.07711
52,52,1989,1st Quintile,Urban regions,Yes,0.2169,145,4594,0.19123,0.2467
53,53,1989,1st Quintile,Urban regions,No,0.7831,572,4594,0.73884,0.83637
54,54,1989,1st Quintile,Rural regions,Yes,0.26114,45,4594,0.21616,0.30183
55,55,1989,1st Quintile,Rural regions,No,0.73886,139,4594,0.67306,0.80462
56,56,1989,2nd Quintile,Urban regions,Yes,0.08284,60,4594,0.07088,0.09568
57,57,1989,2nd Quintile,Urban regions,No,0.91716,720,4594,0.86289,0.96654
58,58,1989,2nd Quintile,Rural regions,No,1.0,188,4594,0.93184,1.0726
59,59,1989,3rd Quintile,Urban regions,No,1.0,748,4594,0.95251,1.042
60,60,1989,3rd Quintile,Rural regions,No,1.0,192,4594,0.94634,1.06927
61,61,1989,4th Quintile,Urban regions,No,1.0,757,4594,0.95689,1.03958
62,62,1989,4th Quintile,Rural regions,No,1.0,186,4594,0.91495,1.08342
63,63,1989,5th Quintile,Urban regions,No,1.0,704,4594,0.96901,1.03484
64,64,1989,5th Quintile,Rural regions,No,1.0,138,4594,0.92026,1.05336
65,65,1990,2nd Quintile,Urban regions,Yes,0.18702,152,4506,0.16561,0.20707
66,66,1990,2nd Quintile,Urban regions,No,0.81298,743,4506,0.7661,0.85446
67,67,1990,2nd Quintile,Rural regions,Yes,0.20898,49,4506,0.17703,0.23956
68,68,1990,2nd Quintile,Rural regions,No,0.79102,204,4506,0.73357,0.86038
69,69,1990,3rd Quintile,Urban regions,Yes,0.04237,37,4506,0.03379,0.05146
70,70,1990,3rd Quintile,Urban regions,No,0.95763,898,4506,0.91893,1.00131
71,71,1990,3rd Quintile,Rural regions,No,1.0,234,4506,0.93967,1.07981
72,72,1990,4th Quintile,Urban regions,No,1.0,904,4506,0.96669,1.03868
73,73,1990,4th Quintile,Rural regions,No,1.0,229,4506,0.9338,1.06373
74,74,1990,5th Quintile,Urban regions,No,1.0,866,4506,0.96231,1.03279
75,75,1990,5th Quintile,Rural regions,No,1.0,190,4506,0.92812,1.07632
76,76,1991,2nd Quintile,Urban regions,Yes,0.22175,167,4532,0.20089,0.24331
77,77,1991,2nd Quintile,Urban regions,No,0.77825,705,4532,0.73664,0.81751
78,78,1991,2nd Quintile,Rural regions,Yes,0.22313,53,4532,0.18896,0.25806
79,79,1991,2nd Quintile,Rural regions,No,0.77687,203,4532,0.71311,0.83921
80,80,1991,3rd Quintile,Urban regions,Yes,0.03747,33,4532,0.03013,0.04704
81,81,1991,3rd Quintile,Urban regions,No,0.96253,900,4532,0.91964,1.00899
82,82,1991,3rd Quintile,Rural regions,No,1.0,243,4532,0.93129,1.07483
83,83,1991,4th Quintile,Urban regions,No,1.0,921,4532,0.9604,1.03966
84,84,1991,4th Quintile,Rural regions,No,1.0,257,4532,0.93926,1.06732
85,85,1991,5th Quintile,Urban regions,No,1.0,890,4532,0.96478,1.03272
86,86,1991,5th Quintile,Rural regions,No,1.0,160,4532,0.92669,1.0865
87,87,1992,1st Quintile,Urban regions,Yes,0.31708,231,6460,0.28746,0.34824
88,88,1992,1st Quintile,Urban regions,No,0.68292,486,6460,0.64248,0.72925
89,89,1992,1st Quintile,Rural regions,Yes,0.37185,241,6460,0.33972,0.40549
90,90,1992,1st Quintile,Rural regions,No,0.62815,409,6460,0.58757,0.66937
91,91,1992,2nd Quintile,Urban regions,Yes,0.10956,104,6460,0.09274,0.12473
92,92,1992,2nd Quintile,Urban regions,No,0.89044,772,6460,0.83946,0.93381
93,93,1992,2nd Quintile,Rural regions,Yes,0.1352,94,6460,0.1157,0.15365
94,94,1992,2nd Quintile,Rural regions,No,0.8648,504,6460,0.81809,0.91588
95,95,1992,3rd Quintile,Urban regions,Yes,0.04051,32,6460,0.0301,0.05068
96,96,1992,3rd Quintile,Urban regions,No,0.95949,886,6460,0.91519,1.00641
97,97,1992,3rd Quintile,Rural regions,No,1.0,385,6460,0.92411,1.07218
98,98,1992,4th Quintile,Urban regions,No,1.0,926,6460,0.96021,1.03747
99,99,1992,4th Quintile,Rural regions,No,1.0,310,6460,0.93134,1.07095
100,100,1992,5th Quintile,Urban regions,No,1.0,903,6460,0.96523,1.03913
101,101,1992,5th Quintile,Rural regions,No,1.0,177,6460,0.92506,1.08623
102,102,1993,1st Quintile,Urban regions,Yes,0.28635,207,6497,0.25407,0.31761
103,103,1993,1st Quintile,Urban regions,No,0.71365,505,6497,0.6762,0.76216
104,104,1993,1st Quintile,Rural regions,Yes,0.38212,230,6497,0.3512,0.41335
105,105,1993,1st Quintile,Rural regions,No,0.61788,353,6497,0.57117,0.66274
106,106,1993,2nd Quintile,Urban regions,Yes,0.11259,116,6497,0.09577,0.13244
107,107,1993,2nd Quintile,Urban regions,No,0.88741,773,6497,0.83985,0.93503
108,108,1993,2nd Quintile,Rural regions,Yes,0.18295,131,6497,0.16559,0.20179
109,109,1993,2nd Quintile,Rural regions,No,0.81705,475,6497,0.76869,0.86792
110,110,1993,3rd Quintile,Urban regions,Yes,0.03441,37,6497,0.02606,0.0427
