year,rentown,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,West,Yes,0.01848,39,2004,0.01258,0.02437
1984,Owner,West,No,0.98061,1965,2004,0.97457,0.98665
1984,Tenant,West,Yes,0.09543,283,3852,0.08615,0.10471
1984,Tenant,West,No,0.90288,3569,3852,0.89353,0.91224
1985,Owner,West,Yes,0.02423,49,1860,0.01724,0.03122
1985,Owner,West,No,0.97305,1811,1860,0.96569,0.98041
1985,Tenant,West,Yes,0.09482,257,3395,0.08496,0.10467
1985,Tenant,West,No,0.90207,3138,3395,0.89207,0.91207
1986,Owner,West,Yes,0.01495,31,1833,0.00939,0.02051
1986,Owner,West,No,0.98321,1802,1833,0.97733,0.98910
1986,Tenant,West,Yes,0.09385,244,3190,0.08373,0.10397
1986,Tenant,West,No,0.90267,2946,3190,0.89238,0.91296
1987,Owner,West,Yes,0.01874,42,1826,0.01252,0.02496
1987,Owner,West,No,0.97825,1784,1826,0.97156,0.98494
1987,Tenant,West,Yes,0.10495,274,3136,0.09422,0.11568
1987,Tenant,West,No,0.89254,2862,3136,0.88170,0.90338
1988,Owner,West,Yes,0.01999,43,1743,0.01342,0.02656
1988,Owner,West,No,0.97682,1700,1743,0.96975,0.98389
1988,Tenant,West,Yes,0.11103,284,3015,0.09982,0.12225
1988,Tenant,West,No,0.88669,2731,3015,0.87537,0.89801
1989,Owner,West,Yes,0.01713,34,1709,0.01098,0.02329
1989,Owner,West,No,0.98072,1675,1709,0.97420,0.98724
1989,Tenant,West,Yes,0.10193,258,2926,0.09096,0.11289
1989,Tenant,West,No,0.89416,2668,2926,0.88302,0.90531
1990,Owner,West,Yes,0.01880,37,1732,0.01240,0.02519
1990,Owner,West,No,0.97679,1695,1732,0.96970,0.98388
1990,Tenant,West,Yes,0.10010,241,2846,0.08907,0.11113
1990,Tenant,West,No,0.89782,2605,2846,0.88669,0.90895
1991,Owner,West,Yes,0.02250,41,1744,0.01554,0.02946
1991,Owner,West,No,0.97108,1703,1744,0.96321,0.97895
1991,Tenant,West,Yes,0.10179,249,2856,0.09069,0.11288
1991,Tenant,West,No,0.88983,2607,2856,0.87835,0.90132
1992,Owner,West,Yes,0.01913,37,1763,0.01274,0.02553
1992,Owner,West,No,0.97572,1726,1763,0.96854,0.98291
1992,Owner,East,Yes,0.23153,136,560,0.19656,0.26649
1992,Owner,East,No,0.76468,424,560,0.72951,0.79985
1992,Tenant,West,Yes,0.08887,231,2875,0.07847,0.09928
1992,Tenant,West,No,0.90718,2644,2875,0.89658,0.91779
1992,Tenant,East,Yes,0.32334,369,1380,0.29865,0.34803
1992,Tenant,East,No,0.67551,1011,1380,0.65080,0.70022
1993,Owner,West,No,0.97773,1736,1736,0.97078,0.98467
1993,Owner,East,Yes,0.21443,129,551,0.18013,0.24873
1993,Owner,East,No,0.78557,422,551,0.75127,0.81987
1993,Tenant,West,Yes,0.08439,212,2902,0.07427,0.09451
1993,Tenant,West,No,0.91006,2690,2902,0.89965,0.92047
1993,Tenant,East,Yes,0.34532,401,1330,0.31976,0.37089
1993,Tenant,East,No,0.65142,929,1330,0.62580,0.67704
1994,Owner,West,No,0.98695,1748,1748,0.98163,0.99227
1994,Owner,East,Yes,0.12463,76,556,0.09715,0.15210
1994,Owner,East,No,0.86921,480,556,0.84116,0.89726
1994,Tenant,West,Yes,0.08399,216,2844,0.07380,0.09419
1994,Tenant,West,No,0.90985,2628,2844,0.89932,0.92037
1994,Tenant,East,Yes,0.24870,286,1301,0.22520,0.27220
1994,Tenant,East,No,0.75014,1015,1301,0.72661,0.77367
1995,Owner,West,No,0.98829,1781,1781,0.98329,0.99329
1995,Owner,East,Yes,0.07198,46,557,0.05049,0.09346
1995,Owner,East,No,0.92188,511,557,0.89957,0.94418
1995,Tenant,West,Yes,0.08366,255,3058,0.07385,0.09348
1995,Tenant,West,No,0.91435,2803,3058,0.90443,0.92427
1995,Tenant,East,Yes,0.19588,223,1265,0.17400,0.21776
1995,Tenant,East,No,0.80217,1042,1265,0.78021,0.82413
1996,Owner,West,No,0.98709,1785,1785,0.98186,0.99233
1996,Owner,East,No,0.94962,553,553,0.93137,0.96786
1996,Tenant,West,Yes,0.07736,240,2974,0.06775,0.08696
1996,Tenant,West,No,0.91869,2734,2974,0.90887,0.92852
1996,Tenant,East,Yes,0.13894,167,1249,0.11975,0.15813
1996,Tenant,East,No,0.85716,1082,1249,0.83775,0.87658
1997,Owner,West,No,0.98930,1823,1823,0.98457,0.99402
1997,Owner,East,No,0.96243,578,578,0.94692,0.97795
1997,Tenant,West,Yes,0.07281,237,2873,0.06331,0.08231
