year,rentown,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,Yes,0.02032,184,6289,0.01684,0.02381
2016,Owner,No,0.97968,6105,6289,0.97619,0.98316
2016,Tenant,Yes,0.01974,171,7986,0.01669,0.02279
2016,Tenant,No,0.98026,7815,7986,0.97721,0.98331
2017,Owner,Yes,0.02074,204,7052,0.01741,0.02406
2017,Owner,No,0.97926,6848,7052,0.97594,0.98259
2017,Tenant,Yes,0.01947,209,8600,0.01655,0.02239
2017,Tenant,No,0.98053,8391,8600,0.97761,0.98345
2018,Owner,Yes,0.02045,184,6747,0.01707,0.02383
2018,Owner,No,0.97955,6563,6747,0.97617,0.98293
2018,Tenant,Yes,0.02080,222,8688,0.01780,0.02381
2018,Tenant,No,0.97920,8466,8688,0.97619,0.98220
2019,Owner,Yes,0.01864,232,7865,0.01565,0.02163
2019,Owner,No,0.98136,7633,7865,0.97837,0.98435
2019,Tenant,Yes,0.02457,251,8253,0.02123,0.02791
2019,Tenant,No,0.97543,8002,8253,0.97209,0.97877
2020,Owner,Yes,0.02175,218,6944,0.01832,0.02518
2020,Owner,No,0.97825,6726,6944,0.97482,0.98168
2020,Tenant,Yes,0.02703,262,9331,0.02374,0.03032
2020,Tenant,No,0.97297,9069,9331,0.96968,0.97626
2021,Owner,Yes,0.02167,174,5072,0.01766,0.02567
2021,Owner,No,0.97833,4898,5072,0.97433,0.98234
2021,Tenant,Yes,0.02928,198,5995,0.02502,0.03355
2021,Tenant,No,0.97072,5797,5995,0.96645,0.97498
2022,Owner,Yes,0.02486,271,7801,0.02141,0.02832
2022,Owner,No,0.97514,7530,7801,0.97168,0.97859
2022,Tenant,Yes,0.02737,345,11336,0.02437,0.03037
2022,Tenant,No,0.97263,10991,11336,0.96963,0.97563
