year,sampreg,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,West,Yes,0.02052,292,11208,0.01790,0.02315
2016,West,No,0.97948,10916,11208,0.97685,0.98210
2016,East,Yes,0.01767,63,3068,0.01301,0.02234
2016,East,No,0.98233,3005,3068,0.97766,0.98699
2017,West,Yes,0.02020,330,12240,0.01771,0.02270
2017,West,No,0.97980,11910,12240,0.97730,0.98229
2017,East,Yes,0.01938,83,3412,0.01475,0.02400
2017,East,No,0.98062,3329,3412,0.97600,0.98525
2018,West,Yes,0.02110,327,12009,0.01853,0.02368
2018,West,No,0.97890,11682,12009,0.97632,0.98147
2018,East,Yes,0.01847,79,3426,0.01396,0.02298
2018,East,No,0.98153,3347,3426,0.97702,0.98604
2019,Does not apply,No,0.89915,56,56,0.81956,0.97873
2019,West,Yes,0.02256,385,12468,0.01995,0.02517
2019,West,No,0.97744,12083,12468,0.97483,0.98005
2019,East,Yes,0.01759,91,3587,0.01329,0.02189
2019,East,No,0.98241,3496,3587,0.97811,0.98671
2020,West,Yes,0.02540,390,12834,0.02268,0.02812
2020,West,No,0.97460,12444,12834,0.97188,0.97732
2020,East,Yes,0.02068,90,3441,0.01593,0.02544
2020,East,No,0.97932,3351,3441,0.97456,0.98407
2021,West,Yes,0.02449,298,8678,0.02123,0.02774
2021,West,No,0.97551,8380,8678,0.97226,0.97877
2021,East,Yes,0.03133,74,2393,0.02434,0.03831
2021,East,No,0.96867,2319,2393,0.96169,0.97566
2022,West,Yes,0.02797,520,14966,0.02533,0.03061
2022,West,No,0.97203,14446,14966,0.96939,0.97467
2022,East,Yes,0.01741,96,4185,0.01344,0.02137
2022,East,No,0.98259,4089,4185,0.97863,0.98656
