year,hhtyp,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Yes,0.01525,56,3383,0.01112,0.01938
2016,Single-person household,No,0.98475,3327,3383,0.98062,0.98888
2016,Couple without children,Yes,0.01895,84,4089,0.01477,0.02312
2016,Couple without children,No,0.98105,4005,4089,0.97688,0.98523
2016,Single parent,Yes,0.01849,33,1523,0.01172,0.02525
2016,Single parent,No,0.98151,1490,1523,0.97475,0.98828
2016,Couple with children,Yes,0.03137,177,4979,0.02653,0.03622
2016,Couple with children,No,0.96863,4802,4979,0.96378,0.97347
2016,Multi-generational household,No,0.97564,107,107,0.94629,1.00499
2016,Other Combinations,No,0.99174,190,190,0.97883,1.00464
2017,Single-person household,Yes,0.01312,74,3826,0.00952,0.01673
2017,Single-person household,No,0.98688,3752,3826,0.98327,0.99048
2017,Couple without children,Yes,0.02025,102,4605,0.01618,0.02432
2017,Couple without children,No,0.97975,4503,4605,0.97568,0.98382
2017,Single parent,Yes,0.02830,37,1539,0.02001,0.03658
2017,Single parent,No,0.97170,1502,1539,0.96342,0.97999
2017,Couple with children,Yes,0.03141,195,5310,0.02672,0.03611
2017,Couple with children,No,0.96859,5115,5310,0.96389,0.97328
2017,Multi-generational household,No,0.99784,112,112,0.98920,1.00648
2017,Other Combinations,No,0.97689,255,255,0.95842,0.99537
2018,Single-person household,Yes,0.01520,82,4021,0.01142,0.01898
2018,Single-person household,No,0.98480,3939,4021,0.98102,0.98858
2018,Couple without children,Yes,0.02144,113,4542,0.01722,0.02565
2018,Couple without children,No,0.97856,4429,4542,0.97435,0.98278
2018,Single parent,Yes,0.02216,35,1510,0.01473,0.02959
2018,Single parent,No,0.97784,1475,1510,0.97041,0.98527
2018,Couple with children,Yes,0.03123,173,5017,0.02641,0.03604
2018,Couple with children,No,0.96877,4844,5017,0.96396,0.97359
2018,Multi-generational household,No,0.98664,114,114,0.96548,1.00781
2019,Single-person household,Yes,0.01673,101,4134,0.01282,0.02064
2019,Single-person household,No,0.98327,4033,4134,0.97936,0.98718
2019,Couple without children,Yes,0.01877,113,5090,0.01504,0.02250
2019,Couple without children,No,0.98123,4977,5090,0.97750,0.98496
2019,Single parent,Yes,0.02098,44,1417,0.01351,0.02844
2019,Single parent,No,0.97902,1373,1417,0.97156,0.98649
2019,Couple with children,Yes,0.03718,217,5149,0.03201,0.04235
2019,Couple with children,No,0.96282,4932,5149,0.95765,0.96799
2019,Multi-generational household,No,0.99582,103,103,0.98331,1.00834
2019,Other Combinations,No,0.98627,217,217,0.97075,1.00179
2020,Single-person household,Yes,0.01899,97,4604,0.01505,0.02294
2020,Single-person household,No,0.98101,4507,4604,0.97706,0.98495
2020,Couple without children,Yes,0.02018,131,5020,0.01629,0.02407
2020,Couple without children,No,0.97982,4889,5020,0.97593,0.98371
2020,Single parent,Yes,0.02105,38,1338,0.01336,0.02875
2020,Single parent,No,0.97895,1300,1338,0.97125,0.98664
2020,Couple with children,Yes,0.04255,205,4897,0.03690,0.04820
2020,Couple with children,No,0.95745,4692,4897,0.95180,0.96310
2020,Multi-generational household,No,0.99119,115,115,0.97403,1.00834
2020,Other Combinations,No,0.97679,292,292,0.95949,0.99409
2021,Single-person household,Yes,0.02028,89,3190,0.01539,0.02518
2021,Single-person household,No,0.97972,3101,3190,0.97482,0.98461
2021,Couple without children,Yes,0.02091,98,3417,0.01611,0.02571
2021,Couple without children,No,0.97909,3319,3417,0.97429,0.98389
2021,Single parent,No,0.97945,868,868,0.97001,0.98890
2021,Couple with children,Yes,0.04389,150,3172,0.03676,0.05102
2021,Couple with children,No,0.95611,3022,3172,0.94898,0.96324
2021,Multi-generational household,No,0.99187,73,73,0.97112,1.01261
2021,Other Combinations,No,0.95284,257,257,0.92688,0.97881
2022,No answer / don't know,No,0.98545,412,412,0.97387,0.99702
2022,Single-person household,Yes,0.02364,155,5562,0.01965,0.02764
2022,Single-person household,No,0.97636,5407,5562,0.97236,0.98035
2022,Couple without children,Yes,0.01982,166,5709,0.01620,0.02343
2022,Couple without children,No,0.98018,5543,5709,0.97657,0.98380
2022,Single parent,Yes,0.02169,32,1138,0.01322,0.03015
2022,Single parent,No,0.97831,1106,1138,0.96985,0.98678
2022,Couple with children,Yes,0.04248,214,5135,0.03697,0.04800
2022,Couple with children,No,0.95752,4921,5135,0.95200,0.96303
2022,Other Combinations,Yes,0.03317,38,1103,0.02260,0.04374
2022,Other Combinations,No,0.96683,1065,1103,0.95626,0.97740
