year,bula_h,hhtyp,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Single-person household,No,0.99082,125,125,0.97403,1.00761
2016,Schleswig-Holstein,Couple with children,No,0.96969,169,169,0.94376,0.99561
2016,Hamburg,Single-person household,No,0.99039,69,69,0.96719,1.01358
2016,Hamburg,Couple without children,No,0.93984,64,64,0.88112,0.99856
2016,Hamburg,Couple with children,No,0.97878,90,90,0.94884,1.00872
2016,Lower Saxony,Single-person household,No,0.97958,282,282,0.96304,0.99611
2016,Lower Saxony,Couple without children,No,0.96020,384,384,0.94062,0.97978
2016,Lower Saxony,Single parent,No,0.98975,151,151,0.97362,1.00587
2016,Lower Saxony,Couple with children,No,0.97037,460,460,0.95485,0.98588
2016,North Rhine-Westphalia,Single-person household,No,0.98065,596,596,0.96958,0.99172
2016,North Rhine-Westphalia,Couple without children,No,0.98482,767,767,0.97616,0.99348
2016,North Rhine-Westphalia,Single parent,No,0.98969,306,306,0.97835,1.00103
2016,North Rhine-Westphalia,Couple with children,No,0.98489,1107,1107,0.97770,0.99208
2016,North Rhine-Westphalia,Other Combinations,No,0.99835,43,43,0.98606,1.01063
2016,Hesse,Single-person household,No,0.98831,205,205,0.97356,1.00306
2016,Hesse,Couple without children,No,0.97685,271,271,0.95892,0.99479
2016,Hesse,Single parent,No,0.98479,106,106,0.96138,1.00820
2016,Hesse,Couple with children,No,0.95768,331,331,0.93596,0.97940
2016,"Rhineland-Palatinate, Saarland",Single-person household,No,0.99358,201,201,0.98250,1.00465
2016,"Rhineland-Palatinate, Saarland",Couple without children,No,0.99353,238,238,0.98331,1.00374
2016,"Rhineland-Palatinate, Saarland",Single parent,No,0.98602,80,80,0.96014,1.01191
2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.95849,288,288,0.93541,0.98156
2016,Baden-Wuerttemberg,Single-person household,No,0.98929,341,341,0.97834,1.00023
2016,Baden-Wuerttemberg,Couple without children,No,0.98969,420,420,0.98001,0.99936
2016,Baden-Wuerttemberg,Single parent,No,0.97470,143,143,0.94887,1.00053
2016,Baden-Wuerttemberg,Couple with children,Yes,0.05646,36,669,0.03895,0.07396
2016,Baden-Wuerttemberg,Couple with children,No,0.94354,633,669,0.92604,0.96105
2016,Bavaria,Single-person household,No,0.98910,510,510,0.98008,0.99812
2016,Bavaria,Couple without children,No,0.97646,622,622,0.96453,0.98838
2016,Bavaria,Single parent,No,0.98876,232,232,0.97516,1.00235
2016,Bavaria,Couple with children,Yes,0.03288,35,863,0.02098,0.04479
2016,Bavaria,Couple with children,No,0.96712,828,863,0.95521,0.97902
2016,Berlin,Single-person household,No,0.96156,220,220,0.93610,0.98702
2016,Berlin,Couple without children,No,0.98549,163,163,0.96708,1.00391
2016,Berlin,Single parent,No,0.97633,66,66,0.93937,1.01329
2016,Berlin,Couple with children,No,0.96667,130,130,0.93569,0.99764
2016,Brandenburg,Single-person household,No,0.99823,133,133,0.99104,1.00541
2016,Brandenburg,Couple without children,No,0.99924,211,211,0.99552,1.00296
2016,Brandenburg,Single parent,No,0.99213,51,51,0.96765,1.01662
2016,Brandenburg,Couple with children,No,0.99353,147,147,0.98053,1.00654
2016,Mecklenburg-Western Pomerania,Couple without children,No,0.98275,103,103,0.95747,1.00802
2016,Mecklenburg-Western Pomerania,Couple with children,No,0.98287,75,75,0.95331,1.01243
2016,Saxony,Single-person household,No,0.97752,223,223,0.95802,0.99702
2016,Saxony,Couple without children,No,0.98773,281,281,0.97484,1.00063
2016,Saxony,Single parent,No,0.99512,91,91,0.98073,1.00952
2016,Saxony,Couple with children,No,0.96585,234,234,0.94253,0.98917
2016,Saxony-Anhalt,Single-person household,No,0.97698,146,146,0.95256,1.00139
2016,Saxony-Anhalt,Couple without children,No,0.98772,151,151,0.97009,1.00534
2016,Saxony-Anhalt,Single parent,No,0.94601,67,67,0.89149,1.00053
2016,Saxony-Anhalt,Couple with children,No,0.97842,129,129,0.95325,1.00359
2016,Thuringa,Single-person household,No,0.99267,148,148,0.97888,1.00646
