year,bula_h,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,No,0.99002,494,494,0.98124,0.99879
2016,Hamburg,No,0.97312,257,257,0.95330,0.99293
2016,Lower Saxony,Yes,0.02791,38,1347,0.01911,0.03672
2016,Lower Saxony,No,0.97209,1309,1347,0.96328,0.98089
2016,Bremen,No,0.96179,102,102,0.92440,0.99917
2016,North Rhine-Westphalia,Yes,0.01632,63,2900,0.01170,0.02093
2016,North Rhine-Westphalia,No,0.98368,2837,2900,0.97907,0.98830
2016,Hesse,No,0.97778,947,947,0.96838,0.98717
2016,"Rhineland-Palatinate, Saarland",No,0.98644,834,834,0.97858,0.99429
2016,Baden-Wuerttemberg,Yes,0.02260,53,1622,0.01536,0.02983
2016,Baden-Wuerttemberg,No,0.97740,1569,1622,0.97017,0.98464
2016,Bavaria,Yes,0.01947,63,2297,0.01382,0.02512
2016,Bavaria,No,0.98053,2234,2297,0.97488,0.98618
2016,Berlin,No,0.96912,590,590,0.95515,0.98309
2016,Brandenburg,No,0.99379,553,553,0.98723,1.00034
2016,Mecklenburg-Western Pomerania,No,0.99195,322,322,0.98217,1.00173
2016,Saxony,No,0.97917,841,841,0.96952,0.98883
2016,Saxony-Anhalt,No,0.97821,501,501,0.96541,0.99101
2016,Thuringa,No,0.97754,531,531,0.96493,0.99016
2017,Schleswig-Holstein,No,0.96895,548,548,0.95441,0.98348
2017,Hamburg,No,0.97081,284,284,0.95120,0.99043
2017,Lower Saxony,Yes,0.02021,35,1538,0.01318,0.02725
2017,Lower Saxony,No,0.97979,1503,1538,0.97275,0.98682
2017,Bremen,No,0.98734,125,125,0.96766,1.00702
2017,North Rhine-Westphalia,Yes,0.01257,55,3184,0.00870,0.01644
2017,North Rhine-Westphalia,No,0.98743,3129,3184,0.98356,0.99130
2017,Hesse,No,0.98097,1025,1025,0.97260,0.98934
2017,"Rhineland-Palatinate, Saarland",No,0.97974,862,862,0.97033,0.98915
2017,Baden-Wuerttemberg,Yes,0.01766,56,1724,0.01144,0.02388
2017,Baden-Wuerttemberg,No,0.98234,1668,1724,0.97612,0.98856
2017,Bavaria,Yes,0.02586,86,2499,0.01964,0.03209
2017,Bavaria,No,0.97414,2413,2499,0.96791,0.98036
2017,Berlin,No,0.95780,630,630,0.94208,0.97351
2017,Brandenburg,No,0.98410,602,602,0.97410,0.99410
2017,Mecklenburg-Western Pomerania,No,0.98855,356,356,0.97748,0.99962
2017,Saxony,No,0.97739,957,957,0.96796,0.98681
2017,Saxony-Anhalt,No,0.98614,556,556,0.97641,0.99586
2017,Thuringa,No,0.98889,581,581,0.98036,0.99742
2018,Schleswig-Holstein,No,0.98622,542,542,0.97639,0.99604
2018,Hamburg,No,0.97325,315,315,0.95541,0.99110
2018,Lower Saxony,Yes,0.01844,40,1479,0.01158,0.02530
2018,Lower Saxony,No,0.98156,1439,1479,0.97470,0.98842
2018,Bremen,No,0.99796,133,133,0.99027,1.00565
2018,North Rhine-Westphalia,Yes,0.01984,69,3179,0.01499,0.02469
2018,North Rhine-Westphalia,No,0.98016,3110,3179,0.97531,0.98501
2018,Hesse,Yes,0.03239,35,1005,0.02144,0.04334
2018,Hesse,No,0.96761,970,1005,0.95666,0.97856
2018,"Rhineland-Palatinate, Saarland",No,0.98129,869,869,0.97228,0.99030
2018,Baden-Wuerttemberg,Yes,0.01888,50,1624,0.01226,0.02550
2018,Baden-Wuerttemberg,No,0.98112,1574,1624,0.97450,0.98774
2018,Bavaria,Yes,0.02102,75,2407,0.01529,0.02675
2018,Bavaria,No,0.97898,2332,2407,0.97325,0.98471
2018,Berlin,Yes,0.02817,33,692,0.01583,0.04051
2018,Berlin,No,0.97183,659,692,0.95949,0.98417
2018,Brandenburg,No,0.97458,630,630,0.96228,0.98688
2018,Mecklenburg-Western Pomerania,No,0.99243,371,371,0.98360,1.00126
2018,Saxony,No,0.97561,957,957,0.96583,0.98539
2018,Saxony-Anhalt,No,0.98532,564,564,0.97538,0.99525
2018,Thuringa,No,0.98759,564,564,0.97844,0.99673
2019,Schleswig-Holstein,No,0.98029,572,572,0.96889,0.99169
2019,Hamburg,No,0.95986,347,347,0.93918,0.98054
2019,Lower Saxony,Yes,0.02369,37,1493,0.01597,0.03140
2019,Lower Saxony,No,0.97631,1456,1493,0.96860,0.98403
