year,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Yes,0.02001,355,14276,0.01771,0.02231
2016,No,0.97999,13921,14276,0.97769,0.98229
2017,Yes,0.02006,413,15652,0.01786,0.02225
2017,No,0.97994,15239,15652,0.97775,0.98214
2018,Yes,0.02064,406,15435,0.01840,0.02288
2018,No,0.97936,15029,15435,0.97712,0.98160
2019,Yes,0.02179,483,16118,0.01954,0.02404
2019,No,0.97821,15635,16118,0.97596,0.98046
2020,Yes,0.02456,480,16275,0.02218,0.02693
2020,No,0.97544,15795,16275,0.97307,0.97782
2021,Yes,0.02567,372,11071,0.02273,0.02862
2021,No,0.97433,10699,11071,0.97138,0.97727
2022,Yes,0.02616,616,19151,0.02389,0.02842
2022,No,0.97384,18535,19151,0.97158,0.97611
