year,quintil_oecd_hh,rentown,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Owner,No,0.98629,386,386,0.97467,0.99790
2016,1st Quintile,Tenant,No,0.98912,2670,2670,0.98519,0.99306
2016,2nd Quintile,Owner,No,0.98774,998,998,0.98091,0.99457
2016,2nd Quintile,Tenant,Yes,0.01609,34,2014,0.01060,0.02159
2016,2nd Quintile,Tenant,No,0.98391,1980,2014,0.97841,0.98940
2016,3rd Quintile,Owner,Yes,0.01337,32,1341,0.00722,0.01952
2016,3rd Quintile,Owner,No,0.98663,1309,1341,0.98048,0.99278
2016,3rd Quintile,Tenant,Yes,0.02005,41,1400,0.01271,0.02740
2016,3rd Quintile,Tenant,No,0.97995,1359,1400,0.97260,0.98729
2016,4th Quintile,Owner,Yes,0.01365,43,1557,0.00789,0.01942
2016,4th Quintile,Owner,No,0.98635,1514,1557,0.98058,0.99211
2016,4th Quintile,Tenant,Yes,0.02764,37,1099,0.01794,0.03734
2016,4th Quintile,Tenant,No,0.97236,1062,1099,0.96266,0.98206
2016,5th Quintile,Owner,Yes,0.03618,77,1975,0.02794,0.04441
2016,5th Quintile,Owner,No,0.96382,1898,1975,0.95559,0.97206
2016,5th Quintile,Tenant,Yes,0.04111,36,776,0.02713,0.05509
2016,5th Quintile,Tenant,No,0.95889,740,776,0.94491,0.97287
2017,1st Quintile,Owner,No,0.97310,379,379,0.95679,0.98941
2017,1st Quintile,Tenant,Yes,0.01029,36,2808,0.00656,0.01402
2017,1st Quintile,Tenant,No,0.98971,2772,2808,0.98598,0.99344
2017,2nd Quintile,Owner,No,0.99211,1077,1077,0.98683,0.99740
2017,2nd Quintile,Tenant,Yes,0.02049,42,2135,0.01448,0.02651
2017,2nd Quintile,Tenant,No,0.97951,2093,2135,0.97349,0.98552
2017,3rd Quintile,Owner,Yes,0.01639,35,1532,0.01003,0.02275
2017,3rd Quintile,Owner,No,0.98361,1497,1532,0.97725,0.98997
2017,3rd Quintile,Tenant,Yes,0.01704,41,1555,0.01060,0.02347
2017,3rd Quintile,Tenant,No,0.98296,1514,1555,0.97653,0.98940
2017,4th Quintile,Owner,Yes,0.01950,55,1794,0.01310,0.02590
2017,4th Quintile,Owner,No,0.98050,1739,1794,0.97410,0.98690
2017,4th Quintile,Tenant,Yes,0.02983,53,1248,0.02039,0.03927
2017,4th Quintile,Tenant,No,0.97017,1195,1248,0.96073,0.97961
2017,5th Quintile,Owner,Yes,0.02986,84,2240,0.02281,0.03691
2017,5th Quintile,Owner,No,0.97014,2156,2240,0.96309,0.97719
