year,bula_h,sampreg,hlc0182,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,West,No,1.00000,502,14242,0,0.91379,0,1.08262
2016,Hamburg,West,No,1.00000,264,14242,0,0.89747,0,1.13904
2016,Lower Saxony,West,No,1.00000,1345,14242,0,0.94073,0,1.05926
2016,Bremen,West,No,1.00000,105,14242,0,0.78866,0,1.20425
2016,North Rhine-Westphalia,West,No,1.00000,2893,14242,0,0.95193,0,1.03996
2016,Hesse,West,No,1.00000,973,14242,0,0.93394,0,1.06928
2016,"Rhineland-Palatinate, Saarland",West,No,1.00000,844,14242,0,0.93108,0,1.06868
2016,Baden-Wuerttemberg,West,No,1.00000,1621,14242,0,0.94543,0,1.04588
2016,Bavaria,West,No,1.00000,2292,14242,0,0.95702,0,1.04463
2016,Berlin,West,No,1.00000,347,14242,0,0.91399,0,1.10430
2016,Berlin,East,No,1.00000,259,14242,0,0.87339,0,1.12588
2016,Brandenburg,East,No,1.00000,559,14242,0,0.91030,0,1.09655
2016,Mecklenburg-Western Pomerania,East,No,1.00000,328,14242,0,0.88216,0,1.13444
2016,Saxony,East,No,1.00000,858,14242,0,0.93337,0,1.06881
2016,Saxony-Anhalt,East,No,1.00000,510,14242,0,0.91702,0,1.09737
2016,Thuringa,East,No,1.00000,542,14242,0,0.89014,0,1.10147
2017,Schleswig-Holstein,West,No,1.00000,564,15625,0,0.92741,0,1.08551
2017,Hamburg,West,No,1.00000,295,15625,0,0.89077,0,1.11859
2017,Lower Saxony,West,No,1.00000,1534,15625,0,0.94534,0,1.04496
2017,Bremen,West,No,1.00000,130,15625,0,0.84905,0,1.19843
2017,North Rhine-Westphalia,West,No,1.00000,3177,15625,0,0.96760,0,1.03486
2017,Hesse,West,No,1.00000,1052,15625,0,0.93301,0,1.06216
2017,"Rhineland-Palatinate, Saarland",West,No,1.00000,877,15625,0,0.92986,0,1.05052
2017,Baden-Wuerttemberg,West,No,1.00000,1720,15625,0,0.94674,0,1.05132
2017,Bavaria,West,No,1.00000,2499,15625,0,0.95783,0,1.04617
2017,Berlin,West,No,1.00000,371,15625,0,0.91457,0,1.09910
2017,Berlin,East,No,1.00000,287,15625,0,0.89106,0,1.13397
2017,Brandenburg,East,No,1.00000,615,15625,0,0.91404,0,1.08321
2017,Mecklenburg-Western Pomerania,East,No,1.00000,363,15625,0,0.89843,0,1.09470
2017,Saxony,East,No,1.00000,984,15625,0,0.93272,0,1.06317
2017,Saxony-Anhalt,East,No,1.00000,568,15625,0,0.91248,0,1.09852
2017,Thuringa,East,No,1.00000,589,15625,0,0.90289,0,1.08664
2018,Schleswig-Holstein,West,No,1.00000,550,15398,0,0.91258,0,1.08056
2018,Hamburg,West,No,1.00000,320,15398,0,0.87618,0,1.11310
2018,Lower Saxony,West,No,1.00000,1474,15398,0,0.94385,0,1.05623
2018,Bremen,West,No,1.00000,134,15398,0,0.80202,0,1.22357
2018,North Rhine-Westphalia,West,No,1.00000,3168,15398,0,0.96250,0,1.04165
2018,Hesse,West,No,1.00000,1004,15398,0,0.94045,0,1.07044
2018,"Rhineland-Palatinate, Saarland",West,No,1.00000,883,15398,0,0.93037,0,1.07059
2018,Baden-Wuerttemberg,West,No,1.00000,1620,15398,0,0.94687,0,1.05590
2018,Bavaria,West,No,1.00000,2399,15398,0,0.94760,0,1.04038
2018,Berlin,West,No,1.00000,420,15398,0,0.90919,0,1.09532
2018,Berlin,East,No,1.00000,272,15398,0,0.89982,0,1.13205
2018,Brandenburg,East,No,1.00000,643,15398,0,0.90899,0,1.07391
2018,Mecklenburg-Western Pomerania,East,No,1.00000,379,15398,0,0.88713,0,1.11765
2018,Saxony,East,No,1.00000,981,15398,0,0.92649,0,1.06397
2018,Saxony-Anhalt,East,No,1.00000,574,15398,0,0.89781,0,1.10528
2018,Thuringa,East,No,1.00000,577,15398,0,0.91600,0,1.09345
2019,Schleswig-Holstein,West,No,1.00000,589,16018,0,0.91325,0,1.10292
2019,Hamburg,West,No,1.00000,357,16018,0,0.87371,0,1.12041
2019,Lower Saxony,West,No,1.00000,1489,16018,0,0.94759,0,1.04995
2019,Bremen,West,No,1.00000,130,16018,0,0.80576,0,1.21097
2019,North Rhine-Westphalia,West,No,1.00000,3271,16018,0,0.95693,0,1.03795
2019,Hesse,West,No,1.00000,1090,16018,0,0.93022,0,1.06819
2019,"Rhineland-Palatinate, Saarland",West,No,1.00000,903,16018,0,0.92203,0,1.06986
2019,Baden-Wuerttemberg,West,No,1.00000,1684,16018,0,0.95159,0,1.05517
