,Unnamed: 0,year,rentown,hlc0182,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Owner,No,1.0,6269,14241,0.97131,1.02715
1,1,2016,Tenant,No,1.0,7972,14241,0.9772,1.02365
2,2,2017,Owner,No,1.0,7044,15625,0.9767,1.02529
3,3,2017,Tenant,No,1.0,8581,15625,0.97222,1.01805
4,4,2018,Owner,No,1.0,6727,15398,0.97499,1.02514
5,5,2018,Tenant,No,1.0,8671,15398,0.97492,1.02045
6,6,2019,Owner,No,1.0,7844,16080,0.97191,1.0306
7,7,2019,Tenant,No,1.0,8236,16080,0.97528,1.02071
8,8,2020,Owner,No,1.0,6914,16247,0.9761,1.02978
9,9,2020,Tenant,Yes,0.00422,32,16247,0.0028,0.00638
10,10,2020,Tenant,No,0.99578,9301,16247,0.96974,1.01977
11,11,2021,Owner,No,1.0,5048,11029,0.97378,1.03239
12,12,2021,Tenant,No,1.0,5981,11029,0.96942,1.02818
