year,bula_h,regtyp,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Urban regions,No,0.99889,138,138,0.99330,1.00447
2016,Lower Saxony,Urban regions,No,0.99351,565,565,0.98688,1.00014
2016,Lower Saxony,Rural regions,No,0.99966,780,780,0.99835,1.00096
2016,North Rhine-Westphalia,Urban regions,No,0.99613,2841,2841,0.99384,0.99841
2016,Hesse,Urban regions,No,0.99606,796,796,0.99170,1.00041
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.99600,620,620,0.99103,1.00097
2016,Baden-Wuerttemberg,Urban regions,No,0.99837,1448,1448,0.99630,1.00045
2016,Bavaria,Urban regions,No,0.99819,1094,1094,0.99568,1.00071
2016,Bavaria,Rural regions,No,0.99831,1198,1198,0.99598,1.00064
2016,Berlin,Urban regions,No,0.99586,606,606,0.99074,1.00098
2016,Brandenburg,Rural regions,No,0.99925,514,514,0.99688,1.00162
2016,Saxony,Urban regions,No,0.99773,462,462,0.99338,1.00207
2016,Saxony,Rural regions,No,0.99113,396,396,0.98189,1.00038
2016,Saxony-Anhalt,Rural regions,No,0.99751,386,386,0.99253,1.00249
2016,Thuringa,Rural regions,No,0.99409,362,362,0.98618,1.00200
2017,Schleswig-Holstein,Rural regions,No,0.99948,391,391,0.99721,1.00174
2017,Lower Saxony,Urban regions,No,0.99777,660,660,0.99417,1.00137
2017,Lower Saxony,Rural regions,No,0.99724,874,874,0.99376,1.00072
2017,North Rhine-Westphalia,Urban regions,No,0.99910,3116,3116,0.99805,1.00015
2017,Hesse,Urban regions,No,0.99814,844,844,0.99523,1.00105
2017,"Rhineland-Palatinate, Saarland",Urban regions,No,0.99849,659,659,0.99553,1.00146
2017,Baden-Wuerttemberg,Urban regions,No,0.99924,1539,1539,0.99786,1.00062
2017,Baden-Wuerttemberg,Rural regions,No,0.99772,181,181,0.99075,1.00469
2017,Bavaria,Urban regions,No,0.99891,1197,1197,0.99704,1.00078
2017,Bavaria,Rural regions,No,0.99865,1302,1302,0.99666,1.00065
2017,Berlin,Urban regions,No,0.99753,658,658,0.99374,1.00133
2017,Brandenburg,Rural regions,No,0.99490,561,561,0.98900,1.00080
2017,Saxony,Urban regions,No,0.99804,529,529,0.99427,1.00181
2017,Thuringa,Rural regions,No,0.98566,402,402,0.97402,0.99730
2018,Schleswig-Holstein,Rural regions,No,0.99360,357,357,0.98532,1.00188
2018,Hamburg,Urban regions,No,0.99284,320,320,0.98358,1.00209
2018,Lower Saxony,Urban regions,No,0.98854,638,638,0.98028,0.99681
2018,Lower Saxony,Rural regions,No,0.99847,836,836,0.99582,1.00112
2018,North Rhine-Westphalia,Urban regions,No,0.99683,3112,3112,0.99486,0.99881
2018,Baden-Wuerttemberg,Urban regions,No,0.99810,1444,1444,0.99585,1.00034
2018,Bavaria,Urban regions,No,0.99992,1167,1167,0.99939,1.00044
2018,Bavaria,Rural regions,No,0.99420,1232,1232,0.98995,0.99844
2018,Berlin,Urban regions,No,0.99718,692,692,0.99322,1.00113
2018,Brandenburg,Rural regions,No,0.99722,583,583,0.99294,1.00150
2019,Schleswig-Holstein,Urban regions,No,0.99946,214,214,0.99633,1.00258
2019,Schleswig-Holstein,Rural regions,No,0.99436,360,360,0.98662,1.00211
2019,Hamburg,Urban regions,No,0.99898,339,339,0.99559,1.00238
2019,Lower Saxony,Urban regions,No,0.99724,641,641,0.99317,1.00130
2019,Lower Saxony,Rural regions,No,0.99963,816,816,0.99831,1.00095
2019,North Rhine-Westphalia,Urban regions,No,0.99882,3120,3120,0.99761,1.00002
2019,Hesse,Rural regions,No,0.99985,222,222,0.99823,1.00147
2019,"Rhineland-Palatinate, Saarland",Urban regions,No,0.99814,678,678,0.99489,1.00139
2019,"Rhineland-Palatinate, Saarland",Rural regions,No,0.99732,206,206,0.99025,1.00440
2019,Baden-Wuerttemberg,Urban regions,No,0.99486,1486,1486,0.99122,0.99850
2019,Baden-Wuerttemberg,Rural regions,No,0.99895,156,156,0.99385,1.00405
2019,Bavaria,No answer / don't know,No,0.98773,72,72,0.96212,1.01334
2019,Bavaria,Urban regions,No,0.99801,1180,1180,0.99547,1.00056
2019,Bavaria,Rural regions,No,0.99767,1271,1271,0.99501,1.00032
2019,Berlin,No answer / don't know,No,0.98847,62,62,0.96168,1.01526
2019,Berlin,Urban regions,No,0.99789,675,675,0.99442,1.00135
2019,Brandenburg,Rural regions,No,0.99922,644,644,0.99706,1.00138
2019,Mecklenburg-Western Pomerania,Rural regions,No,0.99448,321,321,0.98635,1.00260
2019,Saxony-Anhalt,Rural regions,No,0.99957,429,429,0.99759,1.00154
2019,Thuringa,Rural regions,No,0.99161,385,385,0.98249,1.00073
2020,Schleswig-Holstein,Rural regions,No,0.99881,358,358,0.99524,1.00239
2020,Hamburg,Urban regions,No,0.99894,362,362,0.99558,1.00230
2020,Lower Saxony,Urban regions,No,0.99203,658,658,0.98523,0.99883
2020,Lower Saxony,Rural regions,No,0.99355,821,821,0.98807,0.99903
2020,Bremen,Urban regions,No,0.99839,140,140,0.99171,1.00506
2020,North Rhine-Westphalia,Urban regions,No,0.99653,3333,3333,0.99453,0.99853
2020,Hesse,Urban regions,No,0.99601,916,916,0.99192,1.00009
2020,Hesse,Rural regions,No,0.99983,191,191,0.99795,1.00170
2020,"Rhineland-Palatinate, Saarland",Urban regions,No,0.99030,647,647,0.98274,0.99786
2020,Baden-Wuerttemberg,Urban regions,No,0.99461,1545,1545,0.99095,0.99826
2020,Bavaria,Urban regions,No,0.99627,1316,1316,0.99298,0.99957
2020,Bavaria,Rural regions,No,0.99653,1306,1306,0.99334,0.99972
2020,Berlin,Urban regions,No,0.99051,856,856,0.98402,0.99701
2020,Brandenburg,Urban regions,No,0.97699,58,58,0.93806,1.01591
2020,Brandenburg,Rural regions,No,0.99864,619,619,0.99573,1.00155
2020,Mecklenburg-Western Pomerania,Rural regions,No,0.98882,272,272,0.97630,1.00134
2020,Saxony-Anhalt,Urban regions,No,0.99921,136,136,0.99446,1.00396
2020,Saxony-Anhalt,Rural regions,No,0.99375,424,424,0.98624,1.00126
2020,Thuringa,Rural regions,No,0.99405,377,377,0.98628,1.00182
2021,Schleswig-Holstein,Urban regions,No,0.99959,154,154,0.99637,1.00280
2021,Schleswig-Holstein,Rural regions,No,0.99957,271,271,0.99709,1.00204
2021,Hamburg,Urban regions,No,0.99620,265,265,0.98878,1.00362
2021,Lower Saxony,Urban regions,No,0.99390,473,473,0.98687,1.00092
2021,Lower Saxony,Rural regions,No,0.99681,583,583,0.99222,1.00139
2021,North Rhine-Westphalia,Urban regions,No,0.99205,2221,2221,0.98835,0.99574
2021,Hesse,Urban regions,No,0.99581,558,558,0.99044,1.00117
2021,"Rhineland-Palatinate, Saarland",Urban regions,No,0.99777,411,411,0.99321,1.00234
2021,Baden-Wuerttemberg,Urban regions,No,0.99960,1100,1100,0.99842,1.00078
2021,Baden-Wuerttemberg,Rural regions,No,0.97175,117,117,0.94160,1.00190
2021,Bavaria,Urban regions,No,0.99635,872,872,0.99235,1.00036
2021,Bavaria,Rural regions,No,0.99705,870,870,0.99344,1.00065
2021,Berlin,Urban regions,No,0.99935,557,557,0.99723,1.00147
2021,Mecklenburg-Western Pomerania,Rural regions,No,0.99919,212,212,0.99534,1.00303
2021,Saxony,Rural regions,No,0.99876,340,340,0.99502,1.00251
2022,Schleswig-Holstein,Urban regions,No,0.98320,250,250,0.96724,0.99916
2022,Schleswig-Holstein,Rural regions,No,0.99095,392,392,0.98156,1.00034
2022,Lower Saxony,Urban regions,No,0.99871,736,736,0.99612,1.00130
2022,Lower Saxony,Rural regions,No,0.99704,890,890,0.99346,1.00061
2022,Bremen,Urban regions,No,0.99880,138,138,0.99299,1.00460
2022,North Rhine-Westphalia,Urban regions,No,0.99613,3826,3826,0.99416,0.99810
2022,North Rhine-Westphalia,Rural regions,No,0.99979,84,84,0.99667,1.00291
2022,Hesse,Urban regions,No,0.99993,1007,1007,0.99939,1.00046
2022,Hesse,Rural regions,No,0.99399,238,238,0.98415,1.00383
2022,"Rhineland-Palatinate, Saarland",Urban regions,No,0.99694,701,701,0.99284,1.00103
2022,"Rhineland-Palatinate, Saarland",Rural regions,No,0.98992,190,190,0.97568,1.00416
2022,Baden-Wuerttemberg,Urban regions,No,0.99693,1981,1981,0.99450,0.99937
2022,Bavaria,Urban regions,No,0.99796,1737,1737,0.99584,1.00008
2022,Bavaria,Rural regions,No,0.99594,1380,1380,0.99258,0.99930
2022,Berlin,Urban regions,No,0.99927,1146,1146,0.99771,1.00083
2022,Brandenburg,Rural regions,No,0.99683,676,676,0.99259,1.00107
2022,Mecklenburg-Western Pomerania,Rural regions,No,0.99993,335,335,0.99904,1.00082
2022,Saxony,Urban regions,No,0.99973,637,637,0.99847,1.00100
2022,Saxony,Rural regions,No,0.99138,652,652,0.98428,0.99848
