year,bula_h,rentown,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,"Rhineland-Palatinate, Saarland",Tenant,No,0.97715,409,409,0.96265,0.99165
2019,Baden-Wuerttemberg,Owner,No,0.98980,959,959,0.98343,0.99616
2019,Baden-Wuerttemberg,Tenant,No,0.98424,725,725,0.97517,0.99331
2019,Bavaria,Owner,No,0.99595,1319,1319,0.99252,0.99938
2019,Bavaria,Tenant,No,0.98591,1204,1204,0.97925,0.99257
2019,Berlin,Owner,No,0.99445,158,158,0.98284,1.00607
2019,Berlin,Tenant,No,0.98089,579,579,0.96973,0.99205
2019,Brandenburg,Owner,No,0.99663,357,357,0.99060,1.00265
2019,Brandenburg,Tenant,No,0.98631,360,360,0.97429,0.99833
2019,Mecklenburg-Western Pomerania,Owner,No,0.98696,164,164,0.96955,1.00438
2019,Mecklenburg-Western Pomerania,Tenant,No,0.98885,236,236,0.97542,1.00227
2019,Saxony,Tenant,No,0.99342,611,611,0.98701,0.99984
2019,Saxony-Anhalt,Owner,No,0.99663,263,263,0.98962,1.00365
2019,Saxony-Anhalt,Tenant,No,0.98606,305,305,0.97288,0.99924
2019,Thuringa,Owner,No,0.99237,286,286,0.98228,1.00247
2019,Thuringa,Tenant,No,0.97909,298,298,0.96281,0.99536
2020,Schleswig-Holstein,Owner,No,0.98801,291,291,0.97548,1.00053
2020,Schleswig-Holstein,Tenant,No,0.96921,255,255,0.94797,0.99046
2020,Hamburg,Tenant,No,0.98601,263,263,0.97179,1.00023
2020,Lower Saxony,Owner,No,0.98848,729,729,0.98073,0.99623
2020,Lower Saxony,Tenant,No,0.97355,750,750,0.96205,0.98504
2020,Bremen,Owner,No,0.99994,49,49,0.99772,1.00216
2020,Bremen,Tenant,No,0.97522,91,91,0.94310,1.00734
2020,North Rhine-Westphalia,Owner,No,0.98931,1353,1353,0.98383,0.99479
2020,North Rhine-Westphalia,Tenant,No,0.96946,2032,2032,0.96197,0.97694
2020,Hesse,Owner,No,0.98866,467,467,0.97905,0.99827
2020,Hesse,Tenant,No,0.97276,640,640,0.96014,0.98538
2020,"Rhineland-Palatinate, Saarland",Owner,No,0.99864,435,435,0.99518,1.00211
2020,"Rhineland-Palatinate, Saarland",Tenant,No,0.95780,425,425,0.93867,0.97694
2020,Baden-Wuerttemberg,Owner,No,0.98699,871,871,0.97947,0.99452
2020,Baden-Wuerttemberg,Tenant,No,0.97829,863,863,0.96857,0.98802
2020,Bavaria,Owner,No,0.98870,1169,1169,0.98264,0.99476
2020,Bavaria,Tenant,No,0.98142,1453,1453,0.97447,0.98836
2020,Berlin,Tenant,No,0.97284,716,716,0.96092,0.98475
2020,Brandenburg,Owner,No,0.98066,324,324,0.96564,0.99568
2020,Brandenburg,Tenant,No,0.97726,353,353,0.96168,0.99283
2020,Mecklenburg-Western Pomerania,Tenant,No,0.97178,212,212,0.94944,0.99413
2020,Saxony,Owner,No,0.99935,371,371,0.99675,1.00195
2020,Saxony,Tenant,No,0.98812,613,613,0.97954,0.99671
2020,Saxony-Anhalt,Owner,No,0.98734,244,244,0.97328,1.00140
2020,Saxony-Anhalt,Tenant,No,0.98719,316,316,0.97476,0.99961
2020,Thuringa,Owner,No,0.98967,248,248,0.97706,1.00228
2020,Thuringa,Tenant,No,0.98584,319,319,0.97285,0.99882
2021,Schleswig-Holstein,Owner,No,0.99926,241,241,0.99581,1.00270
2021,Schleswig-Holstein,Tenant,No,0.96773,184,184,0.94213,0.99334
2021,Hamburg,Owner,No,0.99819,76,76,0.98856,1.00782
2021,Hamburg,Tenant,No,0.97970,189,189,0.95954,0.99986
2021,Lower Saxony,Owner,No,0.99308,558,558,0.98620,0.99996
2021,Lower Saxony,Tenant,No,0.97914,498,498,0.96657,0.99170
2021,Bremen,Tenant,No,0.98025,56,56,0.94347,1.01702
2021,North Rhine-Westphalia,Owner,No,0.98512,999,999,0.97760,0.99263
2021,North Rhine-Westphalia,Tenant,No,0.96835,1269,1269,0.95872,0.97799
2021,Hesse,Owner,No,0.99337,323,323,0.98450,1.00223
2021,Hesse,Tenant,No,0.97236,374,374,0.95572,0.98899
2021,"Rhineland-Palatinate, Saarland",Owner,No,0.99206,295,295,0.98191,1.00220
2021,"Rhineland-Palatinate, Saarland",Tenant,No,0.96704,238,238,0.94431,0.98977
2021,Baden-Wuerttemberg,Owner,No,0.99359,651,651,0.98746,0.99973
2021,Baden-Wuerttemberg,Tenant,No,0.97967,565,565,0.96803,0.99132
2021,Bavaria,Owner,No,0.99214,855,855,0.98622,0.99806
2021,Bavaria,Tenant,No,0.97942,887,887,0.97007,0.98877
2021,Berlin,Tenant,No,0.97175,448,448,0.95639,0.98711
2021,Brandenburg,Owner,No,0.99166,227,227,0.97981,1.00352
2021,Brandenburg,Tenant,No,0.99054,219,219,0.97769,1.00339
2021,Mecklenburg-Western Pomerania,Owner,No,0.99809,102,102,0.98959,1.00660
2021,Mecklenburg-Western Pomerania,Tenant,No,0.98788,159,159,0.97082,1.00494
2021,Saxony,Tenant,No,0.98761,465,465,0.97754,0.99767
2021,Saxony-Anhalt,Owner,No,0.99834,154,154,0.99189,1.00479
2021,Saxony-Anhalt,Tenant,No,0.98649,216,216,0.97106,1.00192
2021,Thuringa,Owner,No,0.99917,169,169,0.99483,1.00352
2021,Thuringa,Tenant,No,0.98284,213,213,0.96536,1.00032
2022,Schleswig-Holstein,Owner,No,0.98519,315,315,0.97183,0.99855
2022,Schleswig-Holstein,Tenant,No,0.95347,327,327,0.93061,0.97634
2022,Hamburg,Owner,No,0.99384,101,101,0.97850,1.00918
2022,Hamburg,Tenant,No,0.97289,337,337,0.95552,0.99025
2022,Lower Saxony,Owner,No,0.99110,836,836,0.98473,0.99747
2022,Lower Saxony,Tenant,No,0.97832,790,790,0.96815,0.98848
2022,Bremen,Tenant,No,0.98267,97,97,0.95657,1.00878
2022,North Rhine-Westphalia,Owner,No,0.99403,1620,1620,0.99028,0.99778
2022,North Rhine-Westphalia,Tenant,No,0.96593,2287,2287,0.95849,0.97337
2022,Hesse,Owner,No,0.99408,472,472,0.98715,1.00101
2022,Hesse,Tenant,No,0.96759,771,771,0.95508,0.98009
2022,"Rhineland-Palatinate, Saarland",Owner,No,0.99533,415,415,0.98877,1.00190
2022,"Rhineland-Palatinate, Saarland",Tenant,No,0.96077,475,475,0.94329,0.97825
2022,Baden-Wuerttemberg,Owner,No,0.99818,1009,1009,0.99556,1.00081
2022,Baden-Wuerttemberg,Tenant,No,0.97631,1271,1271,0.96794,0.98467
2022,Bavaria,Owner,No,0.99272,1316,1316,0.98813,0.99732
2022,Bavaria,Tenant,No,0.98111,1796,1796,0.97482,0.98741
2022,Berlin,Owner,No,0.97916,174,174,0.95787,1.00044
2022,Berlin,Tenant,No,0.98302,972,972,0.97490,0.99115
2022,Brandenburg,Owner,No,0.99774,330,330,0.99260,1.00287
2022,Brandenburg,Tenant,No,0.98679,410,410,0.97572,0.99786
2022,Mecklenburg-Western Pomerania,Owner,No,0.98880,131,131,0.97071,1.00689
2022,Mecklenburg-Western Pomerania,Tenant,No,0.98574,289,289,0.97205,0.99944
2022,Saxony,Owner,No,0.99867,471,471,0.99537,1.00197
2022,Saxony,Tenant,No,0.96932,818,818,0.95749,0.98114
2022,Saxony-Anhalt,Owner,No,0.98406,298,298,0.96981,0.99830
2022,Saxony-Anhalt,Tenant,No,0.97372,381,381,0.95764,0.98980
2022,Thuringa,Owner,No,0.99831,256,256,0.99327,1.00335
2022,Thuringa,Tenant,No,0.98176,315,315,0.96696,0.99656
