year,bula_h,pgisced97,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,Germany,0.95967,76,76,0.91514,1.00419
1984,Schleswig-Holstein,Upper Secondary Level,Germany,0.98351,206,206,0.96608,1.00094
1984,Hamburg,Lower Secondary Level,Germany,0.91363,43,43,0.82867,0.99858
1984,Hamburg,Upper Secondary Level,Germany,0.93285,127,127,0.88914,0.97655
1984,Lower Saxony,Lower Secondary Level,Germany,0.94744,308,308,0.92248,0.97240
1984,Lower Saxony,Upper Secondary Level,Germany,0.95276,525,525,0.93460,0.97093
1984,Lower Saxony,First Stage of Tertiary Education,Germany,0.95015,75,75,0.90056,0.99974
1984,Lower Saxony,Second Stage of Tertiary Education,Germany,0.95076,71,71,0.90008,1.00145
1984,Bremen,Lower Secondary Level,Germany,0.94348,34,34,0.86468,1.02227
1984,Bremen,Upper Secondary Level,Germany,0.87191,52,52,0.78019,0.96363
1984,North Rhine-Westphalia,Pre-primary Level,Germany,0.92226,50,50,0.84729,0.99723
1984,North Rhine-Westphalia,Primary Level,Southern Europe,0.26235,150,264,0.20919,0.31552
1984,North Rhine-Westphalia,Primary Level,Western Asia,0.34752,114,264,0.28997,0.40507
1984,North Rhine-Westphalia,Lower Secondary Level,Germany,0.89024,567,824,0.86888,0.91160
1984,North Rhine-Westphalia,Lower Secondary Level,Southern Europe,0.02974,138,824,0.01813,0.04135
1984,North Rhine-Westphalia,Lower Secondary Level,Western Asia,0.03733,119,824,0.02438,0.05029
1984,North Rhine-Westphalia,Upper Secondary Level,Germany,0.93273,1272,1458,0.91987,0.94559
1984,North Rhine-Westphalia,Upper Secondary Level,Southern Europe,0.01342,111,1458,0.00751,0.01933
1984,North Rhine-Westphalia,Upper Secondary Level,Western Asia,0.01204,75,1458,0.00644,0.01764
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Germany,0.86814,59,59,0.78107,0.95522
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Germany,0.89401,138,138,0.84246,0.94556
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Germany,0.91843,193,193,0.87971,0.95714
1984,Hesse,Primary Level,Southern Europe,0.28380,56,92,0.19117,0.37643
1984,Hesse,Primary Level,Western Asia,0.23759,36,92,0.15014,0.32504
1984,Hesse,Lower Secondary Level,Germany,0.85392,200,327,0.81558,0.89226
1984,Hesse,Lower Secondary Level,Southern Europe,0.03409,72,327,0.01439,0.05379
1984,Hesse,Lower Secondary Level,Western Asia,0.03483,55,327,0.01493,0.05473
1984,Hesse,Upper Secondary Level,Germany,0.89939,420,547,0.87416,0.92462
1984,Hesse,Upper Secondary Level,Southern Europe,0.03080,77,547,0.01631,0.04529
1984,Hesse,Upper Secondary Level,Western Asia,0.02154,50,547,0.00936,0.03372
1984,Hesse,First Stage of Tertiary Education,Germany,0.95668,48,48,0.89848,1.01488
1984,Hesse,Second Stage of Tertiary Education,Germany,0.85588,71,71,0.77360,0.93815
1984,"Rhineland-Palatinate, Saarland",Primary Level,Southern Europe,0.43525,46,46,0.29039,0.58011
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Germany,0.94956,252,252,0.92249,0.97664
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Germany,0.94803,347,347,0.92464,0.97142
