year,bula_h,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Germany,0.96567,346,346,0.94645,0.98488
1984,Hamburg,Germany,0.90529,221,258,0.86949,0.94109
1984,Hamburg,Western Asia,0.03257,37,258,0.01087,0.05427
1984,Lower Saxony,Germany,0.94140,1035,1184,0.92802,0.95479
1984,Lower Saxony,Southern Europe,0.00886,86,1184,0.00352,0.01420
1984,Lower Saxony,Western Asia,0.01236,63,1184,0.00606,0.01865
1984,Bremen,Germany,0.89727,98,98,0.83685,0.95769
1984,North Rhine-Westphalia,Germany,0.89389,2306,3085,0.88302,0.90476
1984,North Rhine-Westphalia,Southern Europe,0.02373,430,3085,0.01836,0.02911
1984,North Rhine-Westphalia,Western Asia,0.02986,349,3085,0.02385,0.03586
1984,Hesse,Germany,0.87110,777,1162,0.85183,0.89038
1984,Hesse,Southern Europe,0.03520,232,1162,0.02460,0.04580
1984,Hesse,Western Asia,0.03096,153,1162,0.02100,0.04093
1984,"Rhineland-Palatinate, Saarland",Germany,0.93690,701,796,0.92000,0.95381
1984,"Rhineland-Palatinate, Saarland",Southern Europe,0.02527,95,796,0.01436,0.03618
1984,Baden-Wuerttemberg,Germany,0.86352,1376,2045,0.84863,0.87840
1984,Baden-Wuerttemberg,Southern Europe,0.03351,458,2045,0.02571,0.04131
1984,Baden-Wuerttemberg,Western Asia,0.02427,211,2045,0.01760,0.03094
1984,Bavaria,Germany,0.91596,1646,2008,0.90382,0.92810
1984,Bavaria,Southern Europe,0.01860,219,2008,0.01269,0.02451
1984,Bavaria,Western Asia,0.01342,109,2008,0.00839,0.01846
1984,Bavaria,Eastern Europe,0.01852,34,2008,0.01263,0.02442
1984,Berlin,Germany,0.89649,292,364,0.86515,0.92783
1984,Berlin,Western Asia,0.04156,72,364,0.02103,0.06209
1985,Schleswig-Holstein,Germany,0.96403,314,314,0.94341,0.98466
1985,Hamburg,Germany,0.91757,211,211,0.88038,0.95477
1985,Lower Saxony,Germany,0.94286,953,1061,0.92888,0.95683
1985,Lower Saxony,Southern Europe,0.00792,58,1061,0.00259,0.01326
1985,Lower Saxony,Western Asia,0.01098,50,1061,0.00470,0.01725
1985,Bremen,Germany,0.91169,90,90,0.85274,0.97064
1985,North Rhine-Westphalia,Germany,0.89711,2161,2808,0.88587,0.90835
1985,North Rhine-Westphalia,Southern Europe,0.02279,360,2808,0.01727,0.02831
1985,North Rhine-Westphalia,Western Asia,0.02588,287,2808,0.02000,0.03175
1985,Hesse,Germany,0.86776,714,1054,0.84730,0.88823
1985,Hesse,Southern Europe,0.03473,201,1054,0.02367,0.04579
1985,Hesse,Western Asia,0.03131,139,1054,0.02079,0.04182
1985,"Rhineland-Palatinate, Saarland",Germany,0.93826,643,732,0.92081,0.95571
1985,"Rhineland-Palatinate, Saarland",Southern Europe,0.02656,89,732,0.01490,0.03822
1985,Baden-Wuerttemberg,Germany,0.85763,1256,1849,0.84169,0.87356
1985,Baden-Wuerttemberg,Southern Europe,0.03673,405,1849,0.02815,0.04530
1985,Baden-Wuerttemberg,Western Asia,0.02203,188,1849,0.01533,0.02872
1985,Bavaria,Germany,0.91648,1515,1819,0.90376,0.92920
1985,Bavaria,Southern Europe,0.01875,185,1819,0.01251,0.02498
1985,Bavaria,Western Asia,0.01152,85,1819,0.00662,0.01643
1985,Bavaria,Eastern Europe,0.01948,34,1819,0.01313,0.02584
1985,Berlin,Germany,0.89325,263,323,0.85952,0.92697
1985,Berlin,Western Asia,0.03793,60,323,0.01706,0.05879
1986,Schleswig-Holstein,Germany,0.96216,285,285,0.93997,0.98435
1986,Hamburg,Germany,0.91578,186,186,0.87576,0.95580
1986,Lower Saxony,Germany,0.93501,936,1052,0.92011,0.94991
1986,Lower Saxony,Southern Europe,0.00804,66,1052,0.00264,0.01344
1986,Lower Saxony,Western Asia,0.01104,50,1052,0.00472,0.01735
1986,Bremen,Germany,0.91912,85,85,0.86081,0.97743
1986,North Rhine-Westphalia,Germany,0.89396,2084,2713,0.88237,0.90554
1986,North Rhine-Westphalia,Southern Europe,0.02272,340,2713,0.01711,0.02833
1986,North Rhine-Westphalia,Western Asia,0.02723,289,2713,0.02111,0.03336
1986,Hesse,Germany,0.86079,671,969,0.83899,0.88260
1986,Hesse,Southern Europe,0.03508,181,969,0.02349,0.04667
1986,Hesse,Western Asia,0.02875,117,969,0.01822,0.03927
1986,"Rhineland-Palatinate, Saarland",Germany,0.93756,643,728,0.91997,0.95515
1986,"Rhineland-Palatinate, Saarland",Southern Europe,0.02587,85,728,0.01433,0.03741
1986,Baden-Wuerttemberg,Germany,0.84975,1222,1804,0.83326,0.86624
1986,Baden-Wuerttemberg,Southern Europe,0.03829,385,1804,0.02943,0.04715
1986,Baden-Wuerttemberg,Western Asia,0.02459,197,1804,0.01744,0.03174
1986,Bavaria,Germany,0.90968,1400,1701,0.89605,0.92330
1986,Bavaria,Southern Europe,0.01976,178,1701,0.01314,0.02638
1986,Bavaria,Western Asia,0.01279,89,1701,0.00745,0.01813
1986,Bavaria,Eastern Europe,0.02274,34,1701,0.01565,0.02982
1986,Berlin,Germany,0.88557,246,305,0.84978,0.92135
1986,Berlin,Western Asia,0.03801,59,305,0.01652,0.05951
1987,Schleswig-Holstein,Germany,0.95759,283,283,0.93407,0.98111
1987,Hamburg,Germany,0.90880,163,163,0.86447,0.95314
1987,Lower Saxony,Germany,0.93364,937,1051,0.91858,0.94869
1987,Lower Saxony,Southern Europe,0.00875,61,1051,0.00312,0.01439
1987,Lower Saxony,Western Asia,0.01304,53,1051,0.00617,0.01990
