year,bula_h,quintil_oecd,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,1st Quintile,Germany,0.94720,52,52,0.88582,1.00858
1984,Schleswig-Holstein,2nd Quintile,Germany,0.94655,68,68,0.89269,1.00041
1984,Schleswig-Holstein,3rd Quintile,Germany,0.94165,56,56,0.87969,1.00360
1984,Schleswig-Holstein,4th Quintile,Germany,0.98094,86,86,0.95187,1.01001
1984,Schleswig-Holstein,5th Quintile,Germany,0.99375,82,82,0.97658,1.01091
1984,Hamburg,2nd Quintile,Germany,0.86470,37,37,0.75296,0.97643
1984,Hamburg,3rd Quintile,Germany,0.94449,46,46,0.87759,1.01139
1984,Hamburg,4th Quintile,Germany,0.93983,54,54,0.87580,1.00385
1984,Hamburg,5th Quintile,Germany,0.94976,62,62,0.89494,1.00458
1984,Lower Saxony,1st Quintile,Germany,0.93436,218,293,0.90596,0.96277
1984,Lower Saxony,1st Quintile,Southern Europe,0.01497,34,293,0.00104,0.02890
1984,Lower Saxony,1st Quintile,Western Asia,0.03584,41,293,0.01452,0.05716
1984,Lower Saxony,2nd Quintile,Germany,0.92882,200,200,0.89310,0.96455
1984,Lower Saxony,3rd Quintile,Germany,0.95798,206,206,0.93051,0.98545
1984,Lower Saxony,4th Quintile,Germany,0.95086,215,215,0.92189,0.97982
1984,Lower Saxony,5th Quintile,Germany,0.93773,194,194,0.90364,0.97183
1984,North Rhine-Westphalia,1st Quintile,Germany,0.83526,418,729,0.80831,0.86220
1984,North Rhine-Westphalia,1st Quintile,Southern Europe,0.03171,136,729,0.01898,0.04443
1984,North Rhine-Westphalia,1st Quintile,Western Asia,0.07255,175,729,0.05371,0.09139
1984,North Rhine-Westphalia,2nd Quintile,Germany,0.88633,412,607,0.86105,0.91160
1984,North Rhine-Westphalia,2nd Quintile,Southern Europe,0.02819,97,607,0.01501,0.04137
1984,North Rhine-Westphalia,2nd Quintile,Western Asia,0.04688,98,607,0.03005,0.06371
1984,North Rhine-Westphalia,3rd Quintile,Germany,0.89866,435,552,0.87346,0.92386
1984,North Rhine-Westphalia,3rd Quintile,Southern Europe,0.02941,73,552,0.01530,0.04351
1984,North Rhine-Westphalia,3rd Quintile,Western Asia,0.01803,44,552,0.00692,0.02914
1984,North Rhine-Westphalia,4th Quintile,Germany,0.90842,501,592,0.88517,0.93168
1984,North Rhine-Westphalia,4th Quintile,Southern Europe,0.02086,91,592,0.00934,0.03238
1984,North Rhine-Westphalia,5th Quintile,Germany,0.93884,535,568,0.91912,0.95856
1984,North Rhine-Westphalia,5th Quintile,Southern Europe,0.01010,33,568,0.00187,0.01833
1984,Hesse,1st Quintile,Germany,0.80205,120,246,0.75216,0.85194
1984,Hesse,1st Quintile,Southern Europe,0.05655,61,246,0.02763,0.08547
1984,Hesse,1st Quintile,Western Asia,0.06637,65,246,0.03520,0.09755
1984,Hesse,2nd Quintile,Germany,0.86250,130,217,0.81658,0.90843
1984,Hesse,2nd Quintile,Southern Europe,0.03858,45,217,0.01290,0.06427
1984,Hesse,2nd Quintile,Western Asia,0.05546,42,217,0.02494,0.08599
1984,Hesse,3rd Quintile,Germany,0.82686,124,171,0.76998,0.88374
1984,Hesse,3rd Quintile,Southern Europe,0.05192,47,171,0.01856,0.08527
1984,Hesse,4th Quintile,Germany,0.90024,159,201,0.85871,0.94177
1984,Hesse,4th Quintile,Southern Europe,0.03245,42,201,0.00789,0.05701
1984,Hesse,5th Quintile,Germany,0.92091,242,278,0.88913,0.95269
1984,Hesse,5th Quintile,Southern Europe,0.01311,36,278,-0.00028,0.02651
