,Unnamed: 0,year,bula_h,sampreg,region_origin,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Schleswig-Holstein,West,Germany,1.0,346,11346,0.97431,1.03003
1,1,1984,Hamburg,West,Germany,0.96527,221,11346,0.93136,1.00295
2,2,1984,Hamburg,West,Western Asia,0.03473,37,11346,0.02782,0.04457
3,3,1984,Lower Saxony,West,Germany,0.97795,1035,11346,0.96455,0.99198
4,4,1984,Lower Saxony,West,Southern Europe,0.00921,86,11346,0.00807,0.01073
5,5,1984,Lower Saxony,West,Western Asia,0.01284,63,11346,0.01216,0.01367
6,6,1984,Bremen,West,Germany,1.0,98,11346,0.94706,1.05268
7,7,1984,North Rhine-Westphalia,West,Germany,0.94344,2306,11346,0.93237,0.9546
8,8,1984,North Rhine-Westphalia,West,Southern Europe,0.02505,430,11346,0.02315,0.02694
9,9,1984,North Rhine-Westphalia,West,Western Asia,0.03151,349,11346,0.0301,0.03321
10,10,1984,Hesse,West,Germany,0.9294,777,11346,0.9134,0.94732
11,11,1984,Hesse,West,Southern Europe,0.03756,232,11346,0.03224,0.04357
12,12,1984,Hesse,West,Western Asia,0.03304,153,11346,0.02909,0.03704
13,13,1984,"Rhineland-Palatinate, Saarland",West,Germany,0.97374,701,11346,0.95896,0.98827
14,14,1984,"Rhineland-Palatinate, Saarland",West,Southern Europe,0.02626,95,11346,0.02195,0.03099
15,15,1984,Baden-Wuerttemberg,West,Germany,0.93729,1376,11346,0.92455,0.95009
16,16,1984,Baden-Wuerttemberg,West,Southern Europe,0.03637,458,11346,0.03359,0.04012
17,17,1984,Baden-Wuerttemberg,West,Western Asia,0.02634,211,11346,0.02442,0.02903
18,18,1984,Bavaria,West,Germany,0.9477,1646,11346,0.93526,0.95966
19,19,1984,Bavaria,West,Southern Europe,0.01924,219,11346,0.01765,0.02113
20,20,1984,Bavaria,West,Western Asia,0.01389,109,11346,0.01237,0.01554
21,21,1984,Bavaria,West,Eastern Europe,0.01917,34,11346,0.01696,0.0211
22,22,1984,Berlin,West,Germany,0.95569,292,11346,0.92495,0.98747
23,23,1984,Berlin,West,Western Asia,0.04431,72,11346,0.04062,0.04856
24,24,1985,Schleswig-Holstein,West,Germany,1.0,314,10261,0.96157,1.0351
25,25,1985,Hamburg,West,Germany,1.0,211,10261,0.9481,1.04337
26,26,1985,Lower Saxony,West,Germany,0.98036,953,10261,0.95888,0.99991
27,27,1985,Lower Saxony,West,Southern Europe,0.00824,58,10261,0.00678,0.00981
28,28,1985,Lower Saxony,West,Western Asia,0.01141,50,10261,0.0107,0.01219
29,29,1985,Bremen,West,Germany,1.0,90,10261,0.93953,1.06425
30,30,1985,North Rhine-Westphalia,West,Germany,0.94856,2161,10261,0.93671,0.96047
31,31,1985,North Rhine-Westphalia,West,Southern Europe,0.02408,360,10261,0.02231,0.02589
32,32,1985,North Rhine-Westphalia,West,Western Asia,0.02736,287,10261,0.02614,0.02835
33,33,1985,Hesse,West,Germany,0.92931,714,10261,0.90756,0.95152
34,34,1985,Hesse,West,Southern Europe,0.03719,201,10261,0.03189,0.04304
35,35,1985,Hesse,West,Western Asia,0.0335,139,10261,0.02941,0.03841
36,36,1985,"Rhineland-Palatinate, Saarland",West,Germany,0.97246,643,10261,0.95335,0.99361
37,37,1985,"Rhineland-Palatinate, Saarland",West,Southern Europe,0.02754,89,10261,0.02352,0.03182
38,38,1985,Baden-Wuerttemberg,West,Germany,0.93588,1256,10261,0.9172,0.95097
39,39,1985,Baden-Wuerttemberg,West,Southern Europe,0.04009,405,10261,0.03624,0.04529
40,40,1985,Baden-Wuerttemberg,West,Western Asia,0.02404,188,10261,0.02196,0.02617
41,41,1985,Bavaria,West,Germany,0.94851,1515,10261,0.93293,0.96257
42,42,1985,Bavaria,West,Southern Europe,0.01941,185,10261,0.01743,0.02108
43,43,1985,Bavaria,West,Western Asia,0.01193,85,10261,0.01091,0.0131
44,44,1985,Bavaria,West,Eastern Europe,0.02016,34,10261,0.01781,0.02244
45,45,1985,Berlin,West,Germany,0.95927,263,10261,0.91772,1.00228
46,46,1985,Berlin,West,Western Asia,0.04073,60,10261,0.03687,0.0442
47,47,1986,Schleswig-Holstein,West,Germany,1.0,285,9828,0.96664,1.03067
48,48,1986,Hamburg,West,Germany,1.0,186,9828,0.95035,1.04932
49,49,1986,Lower Saxony,West,Germany,0.98002,936,9828,0.95879,1.00366
50,50,1986,Lower Saxony,West,Southern Europe,0.00842,66,9828,0.00688,0.0102
51,51,1986,Lower Saxony,West,Western Asia,0.01156,50,9828,0.01051,0.01251
52,52,1986,Bremen,West,Germany,1.0,85,9828,0.90111,1.0812
53,53,1986,North Rhine-Westphalia,West,Germany,0.94709,2084,9828,0.93258,0.96335
54,54,1986,North Rhine-Westphalia,West,Southern Europe,0.02407,340,9828,0.02248,0.02649
55,55,1986,North Rhine-Westphalia,West,Western Asia,0.02884,289,9828,0.02745,0.0302
56,56,1986,Hesse,West,Germany,0.93095,671,9828,0.90408,0.95887
57,57,1986,Hesse,West,Southern Europe,0.03797,181,9828,0.03153,0.04604
58,58,1986,Hesse,West,Western Asia,0.03108,117,9828,0.02658,0.03617
59,59,1986,"Rhineland-Palatinate, Saarland",West,Germany,0.97314,643,9828,0.94879,0.99852
60,60,1986,"Rhineland-Palatinate, Saarland",West,Southern Europe,0.02686,85,9828,0.0225,0.03191
61,61,1986,Baden-Wuerttemberg,West,Germany,0.93109,1222,9828,0.90911,0.95327
62,62,1986,Baden-Wuerttemberg,West,Southern Europe,0.04197,385,9828,0.03759,0.04699
63,63,1986,Baden-Wuerttemberg,West,Western Asia,0.02694,197,9828,0.02519,0.02872
64,64,1986,Bavaria,West,Germany,0.94271,1400,9828,0.92505,0.96196
65,65,1986,Bavaria,West,Southern Europe,0.02048,178,9828,0.01828,0.02325
66,66,1986,Bavaria,West,Western Asia,0.01325,89,9828,0.01194,0.0146
67,67,1986,Bavaria,West,Eastern Europe,0.02356,34,9828,0.0208,0.02582
68,68,1986,Berlin,West,Germany,0.95885,246,9828,0.91392,1.00481
69,69,1986,Berlin,West,Western Asia,0.04115,59,9828,0.03597,0.04624
70,70,1987,Schleswig-Holstein,West,Germany,1.0,283,9701,0.95159,1.05055
71,71,1987,Hamburg,West,Germany,1.0,163,9701,0.94453,1.06115
72,72,1987,Lower Saxony,West,Germany,0.97721,937,9701,0.94963,1.00236
73,73,1987,Lower Saxony,West,Southern Europe,0.00915,61,9701,0.00773,0.01122
74,74,1987,Lower Saxony,West,Western Asia,0.01364,53,9701,0.01229,0.01473
75,75,1987,Bremen,West,Germany,1.0,79,9701,0.8851,1.0938
76,76,1987,North Rhine-Westphalia,West,Germany,0.94515,2063,9701,0.92621,0.96335
77,77,1987,North Rhine-Westphalia,West,Southern Europe,0.02452,328,9701,0.02263,0.02649
78,78,1987,North Rhine-Westphalia,West,Western Asia,0.03032,285,9701,0.02869,0.03203
79,79,1987,Hesse,West,Germany,0.92425,662,9701,0.89511,0.95709
80,80,1987,Hesse,West,Southern Europe,0.04027,176,9701,0.03505,0.04813
81,81,1987,Hesse,West,Western Asia,0.03548,133,9701,0.03026,0.04146
82,82,1987,"Rhineland-Palatinate, Saarland",West,Germany,0.97166,636,9701,0.9441,0.99749
83,83,1987,"Rhineland-Palatinate, Saarland",West,Southern Europe,0.02834,87,9701,0.02401,0.033
84,84,1987,Baden-Wuerttemberg,West,Germany,0.92533,1203,9701,0.90541,0.94799
85,85,1987,Baden-Wuerttemberg,West,Southern Europe,0.04593,387,9701,0.04131,0.05149
86,86,1987,Baden-Wuerttemberg,West,Western Asia,0.02874,195,9701,0.02668,0.03084
87,87,1987,Bavaria,West,Germany,0.93869,1365,9701,0.92207,0.95719
88,88,1987,Bavaria,West,Southern Europe,0.02191,173,9701,0.01977,0.02459
89,89,1987,Bavaria,West,Western Asia,0.01572,87,9701,0.01439,0.01693
90,90,1987,Bavaria,West,Eastern Europe,0.02367,33,9701,0.02067,0.02632
91,91,1987,Berlin,West,Germany,0.95637,249,9701,0.90993,1.01091
92,92,1987,Berlin,West,Western Asia,0.04363,63,9701,0.03896,0.04804
