year,bula_h,regtyp,region_origin,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,Germany,0.017797512561365428,146,10157,0.01775994541119808,0.017835079711532774
1985,Schleswig-Holstein,Rural regions,Germany,0.02200505165622411,168,10157,0.021963368789100067,0.022046734523348155
1985,Hamburg,Urban regions,Germany,0.02650391763780867,205,10157,0.026458277155765306,0.026549558119852032
1985,Lower Saxony,Urban regions,Germany,0.04959763969996674,414,10157,0.049535950045208645,0.04965932935472484
1985,Lower Saxony,Urban regions,Southern Europe,0.0005932021876628029,33,10157,0.0005862838683394115,0.0006001205069861942
1985,Lower Saxony,Urban regions,Western Asia,0.0011645387923125592,44,10157,0.0011548481617268663,0.0011742294228982522
1985,Lower Saxony,Rural regions,Germany,0.06729250355851676,539,10157,0.06722131926835008,0.06736368784868345
1985,Bremen,Urban regions,Germany,0.011916984843064046,90,10157,0.011886152396148394,0.011947817289979698
1985,North Rhine-Westphalia,Urban regions,Germany,0.24654981894046202,2091,10157,0.24642735515020567,0.24667228273071837
1985,North Rhine-Westphalia,Urban regions,Southern Europe,0.006475802685223513,360,10157,0.006453011646965399,0.006498593723481627
1985,North Rhine-Westphalia,Urban regions,Western Asia,0.007356024169986475,287,10157,0.007331744296951405,0.0073803040430215445
1985,North Rhine-Westphalia,Rural regions,Germany,0.008491537537799007,70,10157,0.008465465831116877,0.008517609244481137
1985,Hesse,Urban regions,Germany,0.0693196446864953,595,10157,0.06924747471737953,0.06939181465561108
1985,Hesse,Urban regions,Southern Europe,0.00329509569644083,197,10157,0.0032788122850373417,0.0033113791078443183
1985,Hesse,Urban regions,Western Asia,0.002795726122175523,124,10157,0.00278072349006661,0.002810728754284436
1985,Hesse,Rural regions,Germany,0.014661286579062786,119,10157,0.01462713530608172,0.014695437852043853
1985,"Rhineland-Palatinate, Saarland",Urban regions,Germany,0.060293665720642695,508,10157,0.060226032510147263,0.060361298931138126
1985,"Rhineland-Palatinate, Saarland",Urban regions,Southern Europe,0.001978115474688894,87,10157,0.0019654906913271885,0.0019907402580505995
1985,"Rhineland-Palatinate, Saarland",Rural regions,Germany,0.016114448797451116,135,10157,0.016078671453116585,0.016150226141785646
1985,Baden-Wuerttemberg,Urban regions,Germany,0.11434396227406239,1055,10157,0.11425354170321564,0.11443438284490914
1985,Baden-Wuerttemberg,Urban regions,Southern Europe,0.005361962606697749,373,10157,0.0053412123963149484,0.0053827128170805495
1985,Baden-Wuerttemberg,Urban regions,Western Asia,0.002833397408860364,148,10157,0.002818294323031114,0.0028485004946896143
1985,Baden-Wuerttemberg,Rural regions,Germany,0.02192069229342712,201,10157,0.02187908760725871,0.021962296979595532
1985,Baden-Wuerttemberg,Rural regions,Southern Europe,0.00047476627499845473,32,10157,0.00046857664207462926,0.0004809559079222802
1985,Baden-Wuerttemberg,Rural regions,Western Asia,0.0006662529980979836,40,10157,0.0006589213274584951,0.000673584668737472
