year,age_gr,bula_h,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Hesse,Southern Europe,0.04001,53,317,0.01840,0.06162
1985,17-29 y.,Hesse,Western Asia,0.05645,68,317,0.03101,0.08190
1985,17-29 y.,"Rhineland-Palatinate, Saarland",Germany,0.91815,197,197,0.87977,0.95653
1985,17-29 y.,Baden-Wuerttemberg,Germany,0.86682,385,583,0.83922,0.89443
1985,17-29 y.,Baden-Wuerttemberg,Southern Europe,0.04290,110,583,0.02644,0.05936
1985,17-29 y.,Baden-Wuerttemberg,Western Asia,0.03377,88,583,0.01910,0.04845
1985,17-29 y.,Bavaria,Germany,0.93955,441,476,0.91812,0.96098
1985,17-29 y.,Bavaria,Southern Europe,0.01476,35,476,0.00392,0.02561
1985,17-29 y.,Berlin,Germany,0.87285,62,62,0.78925,0.95645
1985,30-45 y.,Schleswig-Holstein,Germany,0.94511,110,110,0.90235,0.98787
1985,30-45 y.,Hamburg,Germany,0.82063,60,60,0.72273,0.91853
1985,30-45 y.,Lower Saxony,Germany,0.92450,280,313,0.89518,0.95381
1985,30-45 y.,Lower Saxony,Southern Europe,0.01527,33,313,0.00167,0.02888
1985,30-45 y.,North Rhine-Westphalia,Germany,0.86187,671,923,0.83959,0.88414
1985,30-45 y.,North Rhine-Westphalia,Southern Europe,0.03160,135,923,0.02031,0.04289
1985,30-45 y.,North Rhine-Westphalia,Western Asia,0.04065,117,923,0.02790,0.05340
1985,30-45 y.,Hesse,Germany,0.83050,184,307,0.78847,0.87254
1985,30-45 y.,Hesse,Southern Europe,0.05749,87,307,0.03141,0.08357
1985,30-45 y.,Hesse,Western Asia,0.04552,36,307,0.02217,0.06888
1985,30-45 y.,"Rhineland-Palatinate, Saarland",Germany,0.90389,126,158,0.85778,0.94999
1985,30-45 y.,"Rhineland-Palatinate, Saarland",Southern Europe,0.06420,32,158,0.02586,0.10255
1985,30-45 y.,Baden-Wuerttemberg,Germany,0.82684,346,566,0.79564,0.85804
1985,30-45 y.,Baden-Wuerttemberg,Southern Europe,0.05597,156,566,0.03701,0.07492
1985,30-45 y.,Baden-Wuerttemberg,Western Asia,0.03549,64,566,0.02024,0.05075
1985,30-45 y.,Bavaria,Germany,0.86204,423,554,0.83329,0.89078
1985,30-45 y.,Bavaria,Southern Europe,0.03703,91,554,0.02129,0.05276
1985,30-45 y.,Bavaria,Western Asia,0.02412,40,554,0.01133,0.03691
1985,30-45 y.,Berlin,Germany,0.81236,77,77,0.72459,0.90014
1985,46-65 y.,Schleswig-Holstein,Germany,0.96040,91,91,0.92011,1.00069
1985,46-65 y.,Hamburg,Germany,0.92898,56,56,0.86109,0.99686
1985,46-65 y.,Lower Saxony,Germany,0.92904,282,282,0.89902,0.95906
1985,46-65 y.,North Rhine-Westphalia,Germany,0.89426,626,809,0.87306,0.91546
1985,46-65 y.,North Rhine-Westphalia,Southern Europe,0.02695,136,809,0.01578,0.03811
1985,46-65 y.,North Rhine-Westphalia,Western Asia,0.01297,47,809,0.00517,0.02077
1985,46-65 y.,Hesse,Germany,0.86603,247,342,0.82988,0.90218
1985,46-65 y.,Hesse,Southern Europe,0.03204,61,342,0.01335,0.05073
1985,46-65 y.,Hesse,Western Asia,0.01872,34,342,0.00433,0.03311
1985,46-65 y.,"Rhineland-Palatinate, Saarland",Germany,0.95691,226,257,0.93203,0.98178
1985,46-65 y.,"Rhineland-Palatinate, Saarland",Southern Europe,0.02348,31,257,0.00493,0.04203
1985,46-65 y.,Baden-Wuerttemberg,Germany,0.82456,352,524,0.79196,0.85716
1985,46-65 y.,Baden-Wuerttemberg,Southern Europe,0.03605,136,524,0.02008,0.05203
1985,46-65 y.,Baden-Wuerttemberg,Western Asia,0.01307,36,524,0.00333,0.02280
1985,46-65 y.,Bavaria,Germany,0.91814,450,508,0.89427,0.94200
1985,46-65 y.,Bavaria,Southern Europe,0.01765,58,508,0.00619,0.02911
1985,46-65 y.,Berlin,Germany,0.93067,87,87,0.87699,0.98436
1985,66 and older,Lower Saxony,Germany,0.98323,125,125,0.96062,1.00583
1985,66 and older,Bremen,Germany,0.97609,32,32,0.92232,1.02987
1985,66 and older,North Rhine-Westphalia,Germany,0.97212,238,238,0.95115,0.99308
1985,66 and older,Hesse,Germany,0.94007,87,87,0.88990,0.99024
1985,66 and older,"Rhineland-Palatinate, Saarland",Germany,0.96655,94,94,0.93000,1.00309
1985,66 and older,Baden-Wuerttemberg,Germany,0.96743,173,173,0.94090,0.99396
1985,66 and older,Bavaria,Germany,0.97374,201,201,0.95157,0.99590
1985,66 and older,Berlin,Germany,0.96918,37,37,0.91273,1.02564
1986,17-29 y.,Schleswig-Holstein,Germany,0.97332,73,73,0.93609,1.01054
1986,17-29 y.,Hamburg,Germany,0.94048,46,46,0.87134,1.00961
1986,17-29 y.,Lower Saxony,Germany,0.94829,276,276,0.92212,0.97447
1986,17-29 y.,North Rhine-Westphalia,Germany,0.90782,606,804,0.88781,0.92783
1986,17-29 y.,North Rhine-Westphalia,Southern Europe,0.01898,78,804,0.00954,0.02841
1986,17-29 y.,North Rhine-Westphalia,Western Asia,0.04132,120,804,0.02755,0.05509
1986,17-29 y.,Hesse,Germany,0.87491,197,299,0.83735,0.91248
1986,17-29 y.,Hesse,Southern Europe,0.03662,44,299,0.01529,0.05794
1986,17-29 y.,Hesse,Western Asia,0.05441,58,299,0.02866,0.08017
1986,17-29 y.,"Rhineland-Palatinate, Saarland",Germany,0.92788,191,191,0.89109,0.96466
1986,17-29 y.,Baden-Wuerttemberg,Germany,0.86377,390,582,0.83588,0.89167
1986,17-29 y.,Baden-Wuerttemberg,Southern Europe,0.04074,103,582,0.02466,0.05681
1986,17-29 y.,Baden-Wuerttemberg,Western Asia,0.03661,89,582,0.02134,0.05188
1986,17-29 y.,Bavaria,Germany,0.93630,404,442,0.91351,0.95909
1986,17-29 y.,Bavaria,Southern Europe,0.01609,38,442,0.00434,0.02783
1986,17-29 y.,Berlin,Germany,0.85431,57,57,0.76191,0.94672
1986,30-45 y.,Schleswig-Holstein,Germany,0.94083,97,97,0.89363,0.98803
1986,30-45 y.,Hamburg,Germany,0.81127,50,50,0.70171,0.92083
1986,30-45 y.,Lower Saxony,Germany,0.91331,255,255,0.87871,0.94791
1986,30-45 y.,North Rhine-Westphalia,Germany,0.86215,645,875,0.83929,0.88501
1986,30-45 y.,North Rhine-Westphalia,Southern Europe,0.03195,124,875,0.02029,0.04361
1986,30-45 y.,North Rhine-Westphalia,Western Asia,0.04042,106,875,0.02736,0.05348
1986,30-45 y.,Hesse,Germany,0.82533,177,257,0.77882,0.87184
1986,30-45 y.,Hesse,Southern Europe,0.05763,80,257,0.02908,0.08618
1986,30-45 y.,"Rhineland-Palatinate, Saarland",Germany,0.88586,133,165,0.83720,0.93453
1986,30-45 y.,"Rhineland-Palatinate, Saarland",Southern Europe,0.06135,32,165,0.02462,0.09807
1986,30-45 y.,Baden-Wuerttemberg,Germany,0.81530,325,536,0.78241,0.84818
1986,30-45 y.,Baden-Wuerttemberg,Southern Europe,0.05831,147,536,0.03846,0.07817
1986,30-45 y.,Baden-Wuerttemberg,Western Asia,0.04146,64,536,0.02457,0.05836
1986,30-45 y.,Bavaria,Germany,0.86232,402,521,0.83270,0.89193
1986,30-45 y.,Bavaria,Southern Europe,0.03587,81,521,0.01988,0.05185
1986,30-45 y.,Bavaria,Western Asia,0.02517,38,521,0.01170,0.03863
1986,30-45 y.,Berlin,Germany,0.78897,66,66,0.68977,0.88817
1986,46-65 y.,Schleswig-Holstein,Germany,0.95600,83,83,0.91161,1.00039
1986,46-65 y.,Hamburg,Germany,0.91759,50,50,0.84059,0.99459
1986,46-65 y.,Lower Saxony,Germany,0.92450,287,287,0.89388,0.95512
1986,46-65 y.,North Rhine-Westphalia,Germany,0.88879,610,807,0.86709,0.91050
1986,46-65 y.,North Rhine-Westphalia,Southern Europe,0.02784,137,807,0.01648,0.03919
1986,46-65 y.,North Rhine-Westphalia,Western Asia,0.01628,60,807,0.00754,0.02501
1986,46-65 y.,Hesse,Germany,0.84887,214,270,0.80607,0.89167
1986,46-65 y.,Hesse,Southern Europe,0.03234,56,270,0.01120,0.05348
1986,46-65 y.,"Rhineland-Palatinate, Saarland",Germany,0.95895,228,228,0.93314,0.98476
1986,46-65 y.,Baden-Wuerttemberg,Germany,0.82625,358,534,0.79409,0.85842
1986,46-65 y.,Baden-Wuerttemberg,Southern Europe,0.03945,132,534,0.02293,0.05598
1986,46-65 y.,Baden-Wuerttemberg,Western Asia,0.01387,44,534,0.00394,0.02380
1986,46-65 y.,Bavaria,Germany,0.91217,416,474,0.88666,0.93767
1986,46-65 y.,Bavaria,Southern Europe,0.02006,58,474,0.00742,0.03269
1986,46-65 y.,Berlin,Germany,0.92239,88,88,0.86617,0.97862
1986,66 and older,Hamburg,Germany,0.99575,40,40,0.97532,1.01617
1986,66 and older,Lower Saxony,Germany,0.97239,118,118,0.94270,1.00208
1986,66 and older,Bremen,Germany,0.97398,32,32,0.91794,1.03002
1986,66 and older,North Rhine-Westphalia,Germany,0.95811,223,223,0.93176,0.98447
1986,66 and older,Hesse,Germany,0.92586,83,83,0.86915,0.98257
1986,66 and older,"Rhineland-Palatinate, Saarland",Germany,0.96258,91,91,0.92337,1.00179
1986,66 and older,Baden-Wuerttemberg,Germany,0.94449,149,149,0.90760,0.98138
