"plb0022_h","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","Schleswig-Holstein","170","0.417667308643713","0.368532028540361","0.466802588747066"
"Voll erwerbstaetig","1984","Hamburg","145","0.380757842101538","0.326791549640911","0.434724134562165"
"Voll erwerbstaetig","1984","Niedersachsen","509","0.373931065937694","0.346978841179656","0.400883290695731"
"Voll erwerbstaetig","1984","Bremen","41","0.217554010891152","0.147435448703968","0.287672573078336"
"Voll erwerbstaetig","1984","Nordrhein-Westfalen","1493","0.405543772713859","0.388725260983765","0.422362284443952"
"Voll erwerbstaetig","1984","Hessen","595","0.407242758955664","0.38002758929525","0.434457928616078"
"Voll erwerbstaetig","1984","Rheinland-Pfalz,Saarland","369","0.384587733197791","0.35199716014215","0.417178306253432"
"Voll erwerbstaetig","1984","Baden-Wuerttemberg","1183","0.444769565162318","0.424335814476754","0.465203315847882"
"Voll erwerbstaetig","1984","Bayern","1002","0.426182180862563","0.405081740338697","0.447282621386429"
"Voll erwerbstaetig","1984","Saarland","","","",""
"Voll erwerbstaetig","1984","Berlin","217","0.465926362606413","0.417758353582637","0.514094371630189"
"Voll erwerbstaetig","1984","Brandenburg","","","",""
"Voll erwerbstaetig","1984","Mecklenburg-Vorpommern","","","",""
"Voll erwerbstaetig","1984","Sachsen","","","",""
"Voll erwerbstaetig","1984","Sachsen-Anhalt","","","",""
"Voll erwerbstaetig","1984","Thueringen","","","",""
"Teilzeitbeschaeftigung","1984","Schleswig-Holstein","32","0.07611985866773","0.0496988489257405","0.102540868409719"
"Teilzeitbeschaeftigung","1984","Hamburg","","","",""
"Teilzeitbeschaeftigung","1984","Niedersachsen","72","0.0577471430454334","0.0447533258774033","0.0707409602134635"
"Teilzeitbeschaeftigung","1984","Bremen","","","",""
"Teilzeitbeschaeftigung","1984","Nordrhein-Westfalen","148","0.0487839779531873","0.0414051575957681","0.0561627983106064"
"Teilzeitbeschaeftigung","1984","Hessen","73","0.0656567288504338","0.0519372132303186","0.079376244470549"
"Teilzeitbeschaeftigung","1984","Rheinland-Pfalz,Saarland","","","",""
"Teilzeitbeschaeftigung","1984","Baden-Wuerttemberg","135","0.0633234031280342","0.0533090964858905","0.073337709770178"
"Teilzeitbeschaeftigung","1984","Bayern","121","0.0543394064981782","0.0446670575815634","0.0640117554147931"
"Teilzeitbeschaeftigung","1984","Saarland","","","",""
"Teilzeitbeschaeftigung","1984","Berlin","31","0.0674185142628538","0.04320641384746","0.0916306146782477"
"Teilzeitbeschaeftigung","1984","Brandenburg","","","",""
"Teilzeitbeschaeftigung","1984","Mecklenburg-Vorpommern","","","",""
"Teilzeitbeschaeftigung","1984","Sachsen","","","",""
"Teilzeitbeschaeftigung","1984","Sachsen-Anhalt","","","",""
"Teilzeitbeschaeftigung","1984","Thueringen","","","",""
"Ausbildung/Lehre","1984","Schleswig-Holstein","","","",""
"Ausbildung/Lehre","1984","Hamburg","","","",""
"Ausbildung/Lehre","1984","Niedersachsen","54","0.0422338743318545","0.0310305227085261","0.0534372259551829"
"Ausbildung/Lehre","1984","Bremen","","","",""
"Ausbildung/Lehre","1984","Nordrhein-Westfalen","108","0.0287862945764031","0.023058874502489","0.0345137146503172"
