"plb0022_h","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Schleswig-Holstein","63","0.458398072569695","0.374962874840383","0.541833270299007"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Hamburg","53","0.436847876656339","0.345799198963482","0.527896554349196"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Niedersachsen","172","0.389184989119135","0.344036629538613","0.434333348699657"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Bremen","","","",""
"Voll erwerbstaetig","1984","16-34 Jahre alt","Nordrhein-Westfalen","565","0.447001567815695","0.419901816733901","0.474101318897489"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Hessen","245","0.468627778027766","0.425445768770735","0.511809787284798"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","157","0.496939346356101","0.441985714674729","0.551892978037474"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Baden-Wuerttemberg","453","0.509280639394349","0.475791314841705","0.542769963946994"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Bayern","381","0.513494775237824","0.478214442626849","0.548775107848799"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Saarland","","","",""
"Voll erwerbstaetig","1984","16-34 Jahre alt","Berlin","75","0.551763164983823","0.469088810160592","0.634437519807055"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Brandenburg","","","",""
"Voll erwerbstaetig","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Voll erwerbstaetig","1984","16-34 Jahre alt","Sachsen","","","",""
"Voll erwerbstaetig","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"Voll erwerbstaetig","1984","16-34 Jahre alt","Thueringen","","","",""
"Voll erwerbstaetig","1984","35-65 Jahre alt","Schleswig-Holstein","106","0.523631042881685","0.455428761865779","0.591833323897592"
"Voll erwerbstaetig","1984","35-65 Jahre alt","Hamburg","92","0.55335972085535","0.474065354626432","0.632654087084268"
"Voll erwerbstaetig","1984","35-65 Jahre alt","Niedersachsen","336","0.502399137375365","0.463571284114943","0.541226990635787"
"Voll erwerbstaetig","1984","35-65 Jahre alt","Bremen","","","",""
"Voll erwerbstaetig","1984","35-65 Jahre alt","Nordrhein-Westfalen","924","0.499213421739789","0.475396310838737","0.52303053264084"
"Voll erwerbstaetig","1984","35-65 Jahre alt","Hessen","350","0.494299922886781","0.455413050968894","0.533186794804668"
"Voll erwerbstaetig","1984","35-65 Jahre alt","Rheinland-Pfalz,Saarland","210","0.445397739263239","0.39820142183345","0.492594056693028"
"Voll erwerbstaetig","1984","35-65 Jahre alt","Baden-Wuerttemberg","724","0.553320287997456","0.525203675324962","0.58143690066995"
"Voll erwerbstaetig","1984","35-65 Jahre alt","Bayern","619","0.517570306180746","0.488054399868822","0.547086212492669"
"Voll erwerbstaetig","1984","35-65 Jahre alt","Saarland","","","",""
"Voll erwerbstaetig","1984","35-65 Jahre alt","Berlin","141","0.601242027922843","0.537404916654137","0.66507913919155"
"Voll erwerbstaetig","1984","35-65 Jahre alt","Brandenburg","","","",""
"Voll erwerbstaetig","1984","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Voll erwerbstaetig","1984","35-65 Jahre alt","Sachsen","","","",""
"Voll erwerbstaetig","1984","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"Voll erwerbstaetig","1984","35-65 Jahre alt","Thueringen","","","",""
"Voll erwerbstaetig","1984","66 und älter","Schleswig-Holstein","","","",""
