"plb0022_h","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Hamburg","","","",""
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Niedersachsen","30","0.105475478934395","0.0449689315746181","0.165982026294171"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Bremen","","","",""
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Nordrhein-Westfalen","172","0.285827842896473","0.24198772305258","0.329667962740366"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Hessen","77","0.305723919043881","0.23021280406558","0.381235034022183"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","44","0.446866335163351","0.335091211347412","0.558641458979291"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Baden-Wuerttemberg","185","0.347771880506265","0.297516156427139","0.398027604585392"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Bayern","68","0.272224237174113","0.197690997927263","0.346757476420963"
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Saarland","","","",""
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Berlin","","","",""
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Sachsen","","","",""
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Voll erwerbstaetig","1984","(noch) kein Abschluss","Thueringen","","","",""
"Voll erwerbstaetig","1984","Hauptschulabschluss","Schleswig-Holstein","101","0.416022037876445","0.351617980297405","0.480426095455485"
"Voll erwerbstaetig","1984","Hauptschulabschluss","Hamburg","67","0.316272742469001","0.245102491685574","0.387442993252427"
"Voll erwerbstaetig","1984","Hauptschulabschluss","Niedersachsen","311","0.369670463233994","0.335100542225835","0.404240384242154"
"Voll erwerbstaetig","1984","Hauptschulabschluss","Bremen","","","",""
"Voll erwerbstaetig","1984","Hauptschulabschluss","Nordrhein-Westfalen","855","0.385189720972858","0.363221225333708","0.407158216612008"
"Voll erwerbstaetig","1984","Hauptschulabschluss","Hessen","325","0.379687197659832","0.34396457611702","0.415409819202645"
"Voll erwerbstaetig","1984","Hauptschulabschluss","Rheinland-Pfalz,Saarland","242","0.363167872985622","0.324526210603096","0.401809535368149"
"Voll erwerbstaetig","1984","Hauptschulabschluss","Baden-Wuerttemberg","719","0.452887906672701","0.426442360082503","0.479333453262899"
"Voll erwerbstaetig","1984","Hauptschulabschluss","Bayern","606","0.41550992280339","0.388679664030835","0.442340181575944"
"Voll erwerbstaetig","1984","Hauptschulabschluss","Saarland","","","",""
"Voll erwerbstaetig","1984","Hauptschulabschluss","Berlin","111","0.444456187545889","0.37756732722759","0.511345047864187"
"Voll erwerbstaetig","1984","Hauptschulabschluss","Brandenburg","","","",""
"Voll erwerbstaetig","1984","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"Voll erwerbstaetig","1984","Hauptschulabschluss","Sachsen","","","",""
"Voll erwerbstaetig","1984","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"Voll erwerbstaetig","1984","Hauptschulabschluss","Thueringen","","","",""
"Voll erwerbstaetig","1984","Realschulabschluss","Schleswig-Holstein","39","0.417506597958729","0.316736575783677","0.518276620133781"
"Voll erwerbstaetig","1984","Realschulabschluss","Hamburg","","","",""
"Voll erwerbstaetig","1984","Realschulabschluss","Niedersachsen","88","0.376797947215739","0.313898132061293","0.439697762370184"
"Voll erwerbstaetig","1984","Realschulabschluss","Bremen","","","",""
"Voll erwerbstaetig","1984","Realschulabschluss","Nordrhein-Westfalen","197","0.418703829397176","0.373766237801524","0.463641420992827"
"Voll erwerbstaetig","1984","Realschulabschluss","Hessen","86","0.457749739840872","0.386721487892737","0.528777991789006"
"Voll erwerbstaetig","1984","Realschulabschluss","Rheinland-Pfalz,Saarland","46","0.416110286869586","0.323575616932247","0.508644956806924"
"Voll erwerbstaetig","1984","Realschulabschluss","Baden-Wuerttemberg","114","0.387566091431887","0.330804132654394","0.444328050209381"
"Voll erwerbstaetig","1984","Realschulabschluss","Bayern","176","0.458492346308733","0.407721363103454","0.509263329514011"
"Voll erwerbstaetig","1984","Realschulabschluss","Saarland","","","",""
"Voll erwerbstaetig","1984","Realschulabschluss","Berlin","42","0.507287168801803","0.394887464220217","0.619686873383388"
"Voll erwerbstaetig","1984","Realschulabschluss","Brandenburg","","","",""
"Voll erwerbstaetig","1984","Realschulabschluss","Mecklenburg-Vorpommern","","","",""
"Voll erwerbstaetig","1984","Realschulabschluss","Sachsen","","","",""
"Voll erwerbstaetig","1984","Realschulabschluss","Sachsen-Anhalt","","","",""
"Voll erwerbstaetig","1984","Realschulabschluss","Thueringen","","","",""
"Voll erwerbstaetig","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Voll erwerbstaetig","1984","(Fach-)Abitur","Hamburg","","","",""
"Voll erwerbstaetig","1984","(Fach-)Abitur","Niedersachsen","","","",""
"Voll erwerbstaetig","1984","(Fach-)Abitur","Bremen","","","",""
"Voll erwerbstaetig","1984","(Fach-)Abitur","Nordrhein-Westfalen","95","0.326587049472073","0.269692842411677","0.383481256532469"
"Voll erwerbstaetig","1984","(Fach-)Abitur","Hessen","41","0.299489176847431","0.212293862173653","0.386684491521209"
