"plb0022_h","year","sex","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","maennlich","4126","0.634745142275633","0.622568796615767","0.646921487935498"
"Voll erwerbstaetig","1984","weiblich","1598","0.21012292267901","0.200013138661528","0.220232706696492"
"Teilzeitbeschaeftigung","1984","maennlich","41","0.00780515810724555","0.00557975541063996","0.0100305608038511"
"Teilzeitbeschaeftigung","1984","weiblich","620","0.0966113107361127","0.0892800828861441","0.103942538586081"
"Ausbildung/Lehre","1984","maennlich","263","0.0399159189356179","0.0349654427527104","0.0448663951185254"
"Ausbildung/Lehre","1984","weiblich","176","0.0271485917717487","0.0231156466226691","0.0311815369208283"
"Geringfuegig erwerbstaetig","1984","maennlich","61","0.0117727225487791","0.00904508821656539","0.0145003568809928"
"Geringfuegig erwerbstaetig","1984","weiblich","280","0.045306006195988","0.04014498799109","0.0504670244008861"
"Altersteilzeit mit Arbeitszeit Null","1984","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","maennlich","","","",""
"Freiwilliger Wehrdienst","1984","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","maennlich","","","",""
"Werkstatt fuer Behinderte","1984","weiblich","","","",""
"Nicht erwerbstaetig","1984","maennlich","1482","0.298668690705528","0.287094896981753","0.310242484429302"
"Nicht erwerbstaetig","1984","weiblich","3563","0.620658771722594","0.608617651913095","0.632699891532094"
"Betriebliches Praktikum","1984","maennlich","","","",""
"Betriebliches Praktikum","1984","weiblich","","","",""
"Wehrpflicht/Zivildienst","1984","maennlich","34","0.00709236742719707","0.00497025048356691","0.00921448437082724"
"Wehrpflicht/Zivildienst","1984","weiblich","","","",""
"Voll erwerbstaetig","1985","maennlich","3732","0.626535656463733","0.613702638763164","0.639368674164301"
"Voll erwerbstaetig","1985","weiblich","1526","0.230605967479515","0.219605112349896","0.241606822609135"
"Teilzeitbeschaeftigung","1985","maennlich","57","0.011438057943174","0.00861701683381862","0.0142590990525293"
"Teilzeitbeschaeftigung","1985","weiblich","698","0.118686147653065","0.11023954464116","0.127132750664969"
"Ausbildung/Lehre","1985","maennlich","171","0.0291186310572927","0.0246579632094995","0.0335792989050859"
"Ausbildung/Lehre","1985","weiblich","114","0.0206265779942656","0.0169146074897333","0.0243385484987978"
"Geringfuegig erwerbstaetig","1985","maennlich","57","0.0115394617788973","0.00870608865667097","0.0143728349011236"
"Geringfuegig erwerbstaetig","1985","weiblich","176","0.0309574517865955","0.0264339913763112","0.0354809121968797"
"Altersteilzeit mit Arbeitszeit Null","1985","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","weiblich","","","",""
"Freiwilliger Wehrdienst","1985","maennlich","","","",""
"Freiwilliger Wehrdienst","1985","weiblich","","","",""
"FSJ/FOeJ/BFD","1985","maennlich","","","",""
"FSJ/FOeJ/BFD","1985","weiblich","","","",""
"Werkstatt fuer Behinderte","1985","maennlich","","","",""
"Werkstatt fuer Behinderte","1985","weiblich","","","",""
"Nicht erwerbstaetig","1985","maennlich","1403","0.313679037212067","0.30136961394203","0.325988460482104"
"Nicht erwerbstaetig","1985","weiblich","3118","0.599123855086559","0.586324733030618","0.611922977142501"
"Betriebliches Praktikum","1985","maennlich","","","",""
"Betriebliches Praktikum","1985","weiblich","","","",""
