"plb0022_h","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","16-34 Jahre alt","maennlich","1374","0.59536604345586","0.575210504086461","0.615521582825259"
"Voll erwerbstaetig","1984","16-34 Jahre alt","weiblich","803","0.345062448822982","0.325817441388474","0.36430745625749"
"Voll erwerbstaetig","1984","35-65 Jahre alt","maennlich","2740","0.823498243208","0.810330055461391","0.836666430954609"
"Voll erwerbstaetig","1984","35-65 Jahre alt","weiblich","790","0.212696260819451","0.198344235776865","0.227048285862036"
"Voll erwerbstaetig","1984","66 und älter","maennlich","","","",""
"Voll erwerbstaetig","1984","66 und älter","weiblich","","","",""
"Teilzeitbeschaeftigung","1984","16-34 Jahre alt","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","16-34 Jahre alt","weiblich","167","0.0747481481623009","0.0641018288498769","0.0853944674747249"
"Teilzeitbeschaeftigung","1984","35-65 Jahre alt","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","35-65 Jahre alt","weiblich","448","0.151415014195511","0.138843307463029","0.163986720927993"
"Teilzeitbeschaeftigung","1984","66 und älter","maennlich","","","",""
"Teilzeitbeschaeftigung","1984","66 und älter","weiblich","","","",""
"Ausbildung/Lehre","1984","16-34 Jahre alt","maennlich","262","0.112714854243533","0.0997283155600009","0.125701392927066"
"Ausbildung/Lehre","1984","16-34 Jahre alt","weiblich","175","0.0872411157586541","0.0758173858271306","0.0986648456901775"
"Ausbildung/Lehre","1984","35-65 Jahre alt","maennlich","","","",""
"Ausbildung/Lehre","1984","35-65 Jahre alt","weiblich","","","",""
"Ausbildung/Lehre","1984","66 und älter","maennlich","","","",""
"Ausbildung/Lehre","1984","66 und älter","weiblich","","","",""
"Geringfuegig erwerbstaetig","1984","16-34 Jahre alt","maennlich","31","0.0155090311598728","0.0104348095132489","0.0205832528064967"
"Geringfuegig erwerbstaetig","1984","16-34 Jahre alt","weiblich","104","0.0471523110141496","0.0385714173256613","0.0557332047026379"
"Geringfuegig erwerbstaetig","1984","35-65 Jahre alt","maennlich","","","",""
"Geringfuegig erwerbstaetig","1984","35-65 Jahre alt","weiblich","167","0.0589074669018029","0.0506496844632909","0.067165249340315"
"Geringfuegig erwerbstaetig","1984","66 und älter","maennlich","","","",""
"Geringfuegig erwerbstaetig","1984","66 und älter","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","16-34 Jahre alt","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","16-34 Jahre alt","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","35-65 Jahre alt","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","35-65 Jahre alt","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","66 und älter","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","66 und älter","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","16-34 Jahre alt","maennlich","","","",""
"Freiwilliger Wehrdienst","1984","16-34 Jahre alt","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","35-65 Jahre alt","maennlich","","","",""
"Freiwilliger Wehrdienst","1984","35-65 Jahre alt","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","66 und älter","maennlich","","","",""
"Freiwilliger Wehrdienst","1984","66 und älter","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","16-34 Jahre alt","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","16-34 Jahre alt","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","35-65 Jahre alt","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","35-65 Jahre alt","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","66 und älter","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","66 und älter","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","16-34 Jahre alt","maennlich","","","",""
"Werkstatt fuer Behinderte","1984","16-34 Jahre alt","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","35-65 Jahre alt","maennlich","","","",""
"Werkstatt fuer Behinderte","1984","35-65 Jahre alt","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","66 und älter","maennlich","","","",""
"Werkstatt fuer Behinderte","1984","66 und älter","weiblich","","","",""
