"plb0022_h","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2177","0.470788722719535","0.456398726124425","0.485178719314644"
"Voll erwerbstaetig","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","3530","0.510407833407596","0.498105807675273","0.522709859139919"
"Voll erwerbstaetig","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Voll erwerbstaetig","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","188","0.0421299742854389","0.0363385949908376","0.0479213535800402"
"Teilzeitbeschaeftigung","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","461","0.0799855487909483","0.0733097409954161","0.0866613565864805"
"Teilzeitbeschaeftigung","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","437","0.1000364502668","0.0913862787900747","0.108686621743526"
"Ausbildung/Lehre","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","135","0.0312580459885945","0.0262413464888314","0.0362747454883577"
"Geringfuegig erwerbstaetig","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","185","0.0333193731504487","0.028902746853264","0.0377359994476334"
"Geringfuegig erwerbstaetig","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1650","0.345478982186842","0.331769983503784","0.3591879808699"
"Nicht erwerbstaetig","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2165","0.376245853733398","0.364324012897962","0.388167694568834"
"Nicht erwerbstaetig","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1984","66 und älter","Westdeutschland, alte Bundeslaender","1230","0.965774880802731","0.955815013698619","0.975734747906842"
"Nicht erwerbstaetig","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","35","0.01030782455279","0.00739598998286284","0.0132196591227171"
"Wehrpflicht/Zivildienst","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2085","0.508631206625672","0.493484938289974","0.523777474961371"
"Voll erwerbstaetig","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","3154","0.500036506983712","0.48715315478321","0.512919859184215"
"Voll erwerbstaetig","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Voll erwerbstaetig","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","217","0.0535839391527285","0.046761200603121","0.0604066777023361"
