"plb0022_h","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1984","Westdeutschland, alte Bundeslaender","5724","0.409652459769781","0.400942215013549","0.418362704526013"
"Voll erwerbstaetig","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1984","Westdeutschland, alte Bundeslaender","661","0.0548813924532608","0.0508474990840594","0.0589152858224623"
"Teilzeitbeschaeftigung","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1984","Westdeutschland, alte Bundeslaender","439","0.0331479454591588","0.0299770858326233","0.0363188050856942"
"Ausbildung/Lehre","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","Westdeutschland, alte Bundeslaender","341","0.0295487512656708","0.0265494152395347","0.0325480872918069"
"Geringfuegig erwerbstaetig","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1984","Westdeutschland, alte Bundeslaender","5045","0.469355969259296","0.460516595237213","0.478195343281379"
"Nicht erwerbstaetig","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1984","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","Westdeutschland, alte Bundeslaender","35","0.00341348179283264","0.0023804231023156","0.00444654048334968"
"Wehrpflicht/Zivildienst","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1985","Westdeutschland, alte Bundeslaender","5258","0.416933099927023","0.40775664999856","0.426109549855486"
"Voll erwerbstaetig","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","Westdeutschland, alte Bundeslaender","755","0.0682144867190609","0.0635222641639777","0.0729067092741442"
"Teilzeitbeschaeftigung","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1985","Westdeutschland, alte Bundeslaender","285","0.0246229943779053","0.0217387038257375","0.0275072849300731"
"Ausbildung/Lehre","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","Westdeutschland, alte Bundeslaender","233","0.0218192171537969","0.0191002030301578","0.0245382312774359"
"Geringfuegig erwerbstaetig","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1985","Westdeutschland, alte Bundeslaender","4521","0.464791634325324","0.455508964232372","0.474074304418276"
"Nicht erwerbstaetig","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1985","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","Westdeutschland, alte Bundeslaender","38","0.0036185674968904","0.0025010264853493","0.00473610850843149"
"Wehrpflicht/Zivildienst","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1986","Westdeutschland, alte Bundeslaender","5031","0.417700626934957","0.408332331351309","0.427068922518604"
"Voll erwerbstaetig","1986","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","Westdeutschland, alte Bundeslaender","642","0.0598053866665635","0.0553010183943284","0.0643097549387986"
"Teilzeitbeschaeftigung","1986","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1986","Westdeutschland, alte Bundeslaender","364","0.0313170734023977","0.0280085343301745","0.034625612474621"
"Ausbildung/Lehre","1986","Ostdeutschland, neue Bundeslaender","","","",""
